,PID,practice,run,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt,long_iti,simulation,version,level_0,index,block,no_response
0,87740,1,0,1,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1500,1000,gain,1,934,0,19,1,,,0,0
1,87740,1,0,2,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,1000,1500,no_gain,0,987,0,19,1,,,0,0
2,87740,1,0,3,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,2000,1000,no_gain,0,1009,0,19,1,,,0,0
3,87740,1,0,4,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1000,2000,gain,1,1119,0,19,1,,,0,0
4,87740,0,1,5,K,42,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,gain,3200,1200,no_response,0,NaN,1,19,1,0.0,4.0,1,1
5,87740,0,1,6,B,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,gain,1300,2800,gain,1,1264,0,19,1,1.0,5.0,1,0
6,87740,0,1,7,J,19,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,no_gain,1200,1500,no_gain,1,1109,0,19,1,2.0,6.0,1,0
7,87740,0,1,8,D,37,Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg,no_gain,1400,1300,no_gain,1,1133,0,19,1,3.0,7.0,1,0
8,87740,0,1,9,C,5,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,no_gain,1400,1000,no_gain,1,1484,0,19,1,4.0,8.0,1,0
9,87740,0,1,10,E,25,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,gain,1200,1700,gain,1,1418,0,19,1,5.0,9.0,1,0
10,87740,0,1,11,I,2,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,no_gain,1200,1700,no_gain,1,1464,0,19,1,6.0,10.0,1,0
11,87740,0,1,12,H,14,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,gain,1100,2200,gain,1,736,0,19,1,7.0,11.0,1,0
12,87740,0,1,13,L,22,Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg,gain,1200,1800,gain,1,1029,0,19,1,8.0,12.0,1,0
13,87740,0,1,14,F,26,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,no_gain,3700,1600,no_response,0,NaN,1,19,1,9.0,13.0,1,1
14,87740,0,1,15,G,7,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,gain,2300,1200,no_response,0,NaN,0,19,1,10.0,14.0,1,1
