,PID,practice,run,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt,long_iti,simulation,version,level_0,index,block,no_response
27,14054,0,1,28,G,47,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,gain,4500,2300,no_response,0,NaN,1,20,3,23.0,27.0,2,1
28,14054,0,1,29,C,2,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,no_gain,2100,3000,no_response,0,NaN,0,20,3,24.0,28.0,3,1
29,14054,0,1,30,A,3,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,no_gain,1400,3100,no_response,0,NaN,0,20,3,25.0,29.0,3,1
30,14054,0,1,31,G,47,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,gain,1600,1300,no_response,0,NaN,0,20,3,26.0,30.0,3,1
31,14054,0,1,32,F,16,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,no_gain,1700,1200,no_response,0,NaN,0,20,3,27.0,31.0,3,1
32,14054,0,1,33,I,26,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,gain,4100,1600,no_response,0,NaN,1,20,3,28.0,32.0,3,1
33,14054,0,1,34,H,15,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,gain,2200,1900,no_response,0,NaN,0,20,3,29.0,33.0,3,1
34,14054,0,1,35,B,9,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,gain,2500,1700,no_response,0,NaN,0,20,3,30.0,34.0,3,1
35,14054,0,1,36,E,46,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,no_gain,1100,3100,no_response,0,NaN,0,20,3,31.0,35.0,3,1
36,14054,0,1,37,L,35,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,gain,1000,3300,no_response,0,NaN,0,20,3,32.0,36.0,3,1
37,14054,0,1,38,J,17,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,no_gain,2400,3300,no_response,0,NaN,0,20,3,33.0,37.0,3,1
38,14054,0,1,39,D,40,Stimuli/Experimental_stims/objects/fabian-blank-pElSkGRA2NU-unsplash.jpg,gain,1300,1200,no_response,0,NaN,0,20,3,34.0,38.0,3,1
39,14054,0,1,40,K,32,Stimuli/Experimental_stims/body_parts/towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg,no_gain,3700,1700,no_response,0,NaN,1,20,3,35.0,39.0,3,1
40,14054,0,2,41,C,2,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,no_gain,1500,2500,no_response,0,NaN,0,16,3,36.0,40.0,4,1
41,14054,0,2,42,D,40,Stimuli/Experimental_stims/objects/fabian-blank-pElSkGRA2NU-unsplash.jpg,gain,1100,1600,no_response,0,NaN,0,16,3,37.0,41.0,4,1
42,14054,0,2,43,H,15,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,gain,3000,1100,no_response,0,NaN,0,16,3,38.0,42.0,4,1
43,14054,0,2,44,K,32,Stimuli/Experimental_stims/body_parts/towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg,no_gain,1400,2700,no_response,0,NaN,0,16,3,39.0,43.0,4,1
44,14054,0,2,45,F,16,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,no_gain,3600,1600,no_response,0,NaN,1,16,3,40.0,44.0,4,1
45,14054,0,2,46,J,17,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,no_gain,1700,3000,no_response,0,NaN,0,16,3,41.0,45.0,4,1
46,14054,0,2,47,B,9,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,gain,1300,1300,no_response,0,NaN,0,16,3,42.0,46.0,4,1
47,14054,0,2,48,E,46,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,no_gain,1600,1900,no_response,0,NaN,0,16,3,43.0,47.0,4,1
48,14054,0,2,49,I,26,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,gain,3000,2100,no_response,0,NaN,0,16,3,44.0,48.0,4,1
49,14054,0,2,50,A,3,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,no_gain,1300,1300,no_response,0,NaN,0,16,3,45.0,49.0,4,1
50,14054,0,2,51,G,47,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,gain,1300,1400,no_response,0,NaN,0,16,3,46.0,50.0,4,1
51,14054,0,2,52,L,35,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,gain,3800,1200,no_response,0,NaN,1,16,3,47.0,51.0,4,1
52,14054,0,2,53,C,2,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,no_gain,1700,1700,no_response,0,NaN,0,16,3,48.0,52.0,5,1
53,14054,0,2,54,F,16,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,no_gain,1000,3500,no_response,0,NaN,0,16,3,49.0,53.0,5,1
54,14054,0,2,55,G,47,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,gain,1500,2500,no_response,0,NaN,0,16,3,50.0,54.0,5,1
55,14054,0,2,56,J,17,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,no_gain,1200,1200,no_response,0,NaN,0,16,3,51.0,55.0,5,1
56,14054,0,2,57,D,40,Stimuli/Experimental_stims/objects/fabian-blank-pElSkGRA2NU-unsplash.jpg,gain,1700,1400,no_response,0,NaN,0,16,3,52.0,56.0,5,1
