,PID,practice,run,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt,long_iti,simulation,version,level_0,index,block,no_response
0,66833,1,0,1,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1500,1000,no_gain,0,146,0,3,2,,,0,0
1,66833,1,0,2,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,1000,1500,gain,0,80,0,3,2,,,0,0
2,66833,1,0,3,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,2000,1000,gain,0,509,0,3,2,,,0,0
3,66833,1,0,4,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1000,2000,no_gain,0,171,0,3,2,,,0,0
4,66833,0,1,5,K,46,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,gain,4200,1800,gain,1,132,1,3,2,0.0,4.0,1,0
5,66833,0,1,6,B,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,no_gain,1200,2100,gain,0,2,0,3,2,1.0,5.0,1,0
6,66833,0,1,7,J,14,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,no_gain,1100,1900,gain,0,91,0,3,2,2.0,6.0,1,0
7,66833,0,1,8,D,20,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,gain,1000,1100,gain,1,222,0,3,2,3.0,7.0,1,0
8,66833,0,1,9,C,2,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,no_gain,2100,1400,gain,0,52,0,3,2,4.0,8.0,1,0
9,66833,0,1,10,E,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,gain,2000,2000,no_gain,0,18,0,3,2,5.0,9.0,1,0
10,66833,0,1,11,I,28,Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg,gain,1300,2900,no_gain,0,67,0,3,2,6.0,10.0,1,0
11,66833,0,1,12,H,23,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,gain,1100,1900,no_gain,0,60,0,3,2,7.0,11.0,1,0
