,PID,practice,run,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt,long_iti,simulation,version,level_0,index,block,no_response
0,90251,1,0,1,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1500,1000,gain,1,713,0,7,4,,,0,0
1,90251,1,0,2,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,1000,1500,no_gain,0,55,0,7,4,,,0,0
2,90251,1,0,3,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,2000,1000,no_gain,0,820,0,7,4,,,0,0
3,90251,1,0,4,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1000,2000,gain,1,357,0,7,4,,,0,0
4,90251,0,1,5,K,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,gain,1100,1300,no_gain,0,509,0,7,4,0.0,4.0,1,0
5,90251,0,1,6,B,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,no_gain,1300,2100,no_gain,1,884,0,7,4,1.0,5.0,1,0
6,90251,0,1,7,J,42,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,no_gain,1400,1900,no_gain,1,643,0,7,4,2.0,6.0,1,0
7,90251,0,1,8,D,23,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,gain,1200,1500,no_gain,0,1137,0,7,4,3.0,7.0,1,0
8,90251,0,1,9,C,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,gain,1900,2600,no_gain,0,409,0,7,4,4.0,8.0,1,0
9,90251,0,1,10,E,26,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,no_gain,1100,3400,no_gain,1,398,0,7,4,5.0,9.0,1,0
10,90251,0,1,11,I,8,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,no_gain,2400,1700,NaN,0,NaN,0,7,4,6.0,10.0,1,1
11,90251,0,1,12,H,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,gain,4500,2100,NaN,0,NaN,1,7,4,7.0,11.0,1,1
12,90251,0,1,13,L,21,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1900,2100,NaN,0,NaN,0,7,4,8.0,12.0,1,1
13,90251,0,1,14,F,35,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,gain,1900,3100,NaN,0,NaN,0,7,4,9.0,13.0,1,1
14,90251,0,1,15,G,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,no_gain,1200,1400,NaN,0,NaN,0,7,4,10.0,14.0,1,1
15,90251,0,1,16,A,45,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,gain,1200,1500,NaN,0,NaN,0,7,4,11.0,15.0,1,1
16,90251,0,1,17,H,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,gain,4000,2400,NaN,0,NaN,1,7,4,12.0,16.0,2,1
17,90251,0,1,18,A,45,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,gain,1100,1300,NaN,0,NaN,0,7,4,13.0,17.0,2,1
18,90251,0,1,19,I,8,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,no_gain,2000,1200,NaN,0,NaN,0,7,4,14.0,18.0,2,1
19,90251,0,1,20,J,42,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,no_gain,1100,1900,NaN,0,NaN,0,7,4,15.0,19.0,2,1
20,90251,0,1,21,E,26,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,no_gain,2200,2700,NaN,0,NaN,0,7,4,16.0,20.0,2,1
21,90251,0,1,22,F,35,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,gain,3700,2200,NaN,0,NaN,1,7,4,17.0,21.0,2,1
22,90251,0,1,23,K,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,gain,1300,1100,NaN,0,NaN,0,7,4,18.0,22.0,2,1
23,90251,0,1,24,D,23,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,gain,1300,1000,NaN,0,NaN,0,7,4,19.0,23.0,2,1
24,90251,0,1,25,B,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,no_gain,2400,2800,NaN,0,NaN,0,7,4,20.0,24.0,2,1
25,90251,0,1,26,L,21,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1400,1400,NaN,0,NaN,0,7,4,21.0,25.0,2,1
26,90251,0,1,27,C,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,gain,1200,3200,NaN,0,NaN,0,7,4,22.0,26.0,2,1
27,90251,0,1,28,G,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,no_gain,1500,2000,NaN,0,NaN,0,7,4,23.0,27.0,2,1
28,90251,0,1,29,C,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,gain,3300,1800,NaN,0,NaN,1,7,4,24.0,28.0,3,1
29,90251,0,1,30,A,45,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,gain,2700,2000,gain,1,126,0,7,4,25.0,29.0,3,0
30,90251,0,1,31,G,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,no_gain,1400,2400,NaN,0,NaN,0,7,4,26.0,30.0,3,1
31,90251,0,1,32,F,35,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,gain,1500,1700,NaN,0,NaN,0,7,4,27.0,31.0,3,1
32,90251,0,1,33,I,8,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,no_gain,1900,1100,NaN,0,NaN,0,7,4,28.0,32.0,3,1
