,PID,practice,run,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt,long_iti,simulation,version,level_0,index,block,no_response
0,64283,1,0,1,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1500,1000,gain,1,1351,0,7,4,,,0,0
1,64283,1,0,2,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,1000,1500,no_gain,0,518,0,7,4,,,0,0
2,64283,1,0,3,prac2,NaN,Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg,no-gain,2000,1000,no_gain,0,689,0,7,4,,,0,0
3,64283,1,0,4,prac1,NaN,Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg,gain,1000,2000,gain,1,499,0,7,4,,,0,0
4,64283,0,1,5,K,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,no_gain,1100,1300,no_gain,1,539,0,7,4,0.0,4.0,1,0
5,64283,0,1,6,B,19,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,gain,1300,2100,gain,1,553,0,7,4,1.0,5.0,1,0
6,64283,0,1,7,J,18,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,gain,1400,1900,gain,1,456,0,7,4,2.0,6.0,1,0
7,64283,0,1,8,D,21,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1200,1500,no_gain,1,394,0,7,4,3.0,7.0,1,0
8,64283,0,1,9,C,29,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,gain,1900,2600,gain,1,451,0,7,4,4.0,8.0,1,0
9,64283,0,1,10,E,34,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,no_gain,1100,3400,no_gain,1,587,0,7,4,5.0,9.0,1,0
10,64283,0,1,11,I,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,no_gain,2400,1700,no_gain,1,612,0,7,4,6.0,10.0,1,0
11,64283,0,1,12,H,3,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,gain,4500,2100,gain,1,414,1,7,4,7.0,11.0,1,0
12,64283,0,1,13,L,17,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,no_gain,1900,2100,no_gain,1,490,0,7,4,8.0,12.0,1,0
13,64283,0,1,14,F,28,Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg,gain,1900,3100,gain,1,477,0,7,4,9.0,13.0,1,0
14,64283,0,1,15,G,8,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,no_gain,1200,1400,no_gain,1,544,0,7,4,10.0,14.0,1,0
15,64283,0,1,16,A,1,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,gain,1200,1500,gain,1,398,0,7,4,11.0,15.0,1,0
16,64283,0,1,17,H,3,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,gain,4000,2400,gain,1,369,1,7,4,12.0,16.0,2,0
17,64283,0,1,18,A,1,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,gain,1100,1300,gain,1,396,0,7,4,13.0,17.0,2,0
18,64283,0,1,19,I,0,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,no_gain,2000,1200,no_gain,1,500,0,7,4,14.0,18.0,2,0
19,64283,0,1,20,J,18,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,gain,1100,1900,gain,1,412,0,7,4,15.0,19.0,2,0
20,64283,0,1,21,E,34,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,no_gain,2200,2700,no_gain,1,365,0,7,4,16.0,20.0,2,0
21,64283,0,1,22,F,28,Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg,gain,3700,2200,gain,1,482,1,7,4,17.0,21.0,2,0
22,64283,0,1,23,K,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,no_gain,1300,1100,no_gain,1,453,0,7,4,18.0,22.0,2,0
23,64283,0,1,24,D,21,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_gain,1300,1000,no_gain,1,424,0,7,4,19.0,23.0,2,0
24,64283,0,1,25,B,19,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,gain,2400,2800,gain,1,354,0,7,4,20.0,24.0,2,0
25,64283,0,1,26,L,17,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,no_gain,1400,1400,no_gain,1,343,0,7,4,21.0,25.0,2,0
26,64283,0,1,27,C,29,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,gain,1200,3200,gain,1,429,0,7,4,22.0,26.0,2,0
27,64283,0,1,28,G,8,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,no_gain,1500,2000,no_gain,1,288,0,7,4,23.0,27.0,2,0
28,64283,0,1,29,C,29,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,gain,3300,1800,gain,1,480,1,7,4,24.0,28.0,3,0
29,64283,0,1,30,A,1,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,gain,2700,2000,gain,1,268,0,7,4,25.0,29.0,3,0
30,64283,0,1,31,G,8,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,no_gain,1400,2400,no_gain,1,350,0,7,4,26.0,30.0,3,0
31,64283,0,1,32,F,28,Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg,gain,1500,1700,gain,1,421,0,7,4,27.0,31.0,3,0
