"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01202023hr0059","fullscreen","0","62668","0.0-0.0","0","0","8biOj","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","72769","0.0-1.0-0.0","0","0","8biOj","Scenes","[{""page_index"":0,""viewing_time"":8244},{""page_index"":1,""viewing_time"":1851}]","10096","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","77373","0.0-1.0-1.0","0","0","8biOj","Scenes","","4600","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","79822","0.0-2.0","0","0","8biOj","Scenes","","2440","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","83365","0.0-3.0","0","0","8biOj","Scenes","","3536","","","","75","110","bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","86235","0.0-4.0","0","0","8biOj","Scenes","","2867","","","","58","103","anton-darius-FBJugtbHsWU-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","88726","0.0-5.0","0","0","8biOj","Scenes","","2489","","","","67","134","milada-vigerova-pQMM63GE7fo-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","91594","0.0-6.0","0","0","8biOj","Scenes","","2866","","","","84","145","stephen-leonardi-gyIRjKPXupE-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","93836","0.0-7.0","0","0","8biOj","Scenes","","2240","","","","61","137","olga-stalska-QaWRyEdlffY-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","96434","0.0-8.0","0","0","8biOj","Scenes","","2596","","","","56","132","meng-ji-8BH_M-53CyA-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","98400","0.0-9.0","0","0","8biOj","Scenes","","1964","","","","58","136","nicolas-jehly-LzVB84KkZOE-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","100566","0.0-10.0","0","0","8biOj","Scenes","","2164","","","","96","127","kace-rodriguez-p3OzJuT_Dks-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","102434","0.0-11.0","0","0","8biOj","Scenes","","1866","","","","55","122","jeff-king-bJHWJeiHfHc-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","104510","0.0-12.0","0","0","8biOj","Scenes","","2074","","","","63","128","karsten-wurth-jS0zC2PJ17A-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","106227","0.0-13.0","0","0","8biOj","Scenes","","1716","","","","58","121","jean-pierre-brungs-qxCqkbF7tUc-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
