"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1402","fullscreen","0","50355","0.0-0.0","0","0","rHMtE","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","1265287","0.0-1.0-0.0","0","0","rHMtE","People","[{""page_index"":0,""viewing_time"":2824},{""page_index"":1,""viewing_time"":3320},{""page_index"":0,""viewing_time"":1206951},{""page_index"":1,""viewing_time"":1830}]","1214926","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","1270757","0.0-1.0-1.0","0","0","rHMtE","People","","5462","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","1337298","0.0-2.0","0","0","rHMtE","People","","66536","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","1341520","0.0-3.0","0","0","rHMtE","People","","4217","","","","","83","21","jessica-felicio-_cvwXhGqG-o-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","1345308","0.0-4.0","0","0","rHMtE","People","","3782","","","","","84","25","joseph-gonzalez-iFgRcqHznqg-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","1347857","0.0-5.0","0","0","rHMtE","People","","2545","","","","","71","15","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","1350327","0.0-6.0","0","0","rHMtE","People","","2467","","","","","69","27","jurica-koletic-7YVZYZeITc8-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","1353527","0.0-7.0","0","0","rHMtE","People","","3198","","","","","39","42","prince-akachi-l3IHXOdMyHQ-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","1357097","0.0-8.0","0","0","rHMtE","People","","3567","","","","","31","22","jessica-radanavong-mrYkTuAesKE-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","1361139","0.0-9.0","0","0","rHMtE","People","","4039","","","","","46","18","good-faces-xmSWVeGEnJw-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","1364378","0.0-10.0","0","0","rHMtE","People","","3234","","","","","59","13","erik-lucatero-d2MSDujJl2g-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","1367526","0.0-11.0","0","0","rHMtE","People","","3143","","","","","43","39","philip-martin-5aGUyCW_PJw-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","1371139","0.0-12.0","0","0","rHMtE","People","","3608","","","","","60","36","ospan-ali-mGdA2fzjWLo-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","1374346","0.0-13.0","0","0","rHMtE","People","","3201","","","","","68","30","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","1377387","0.0-14.0","0","0","rHMtE","People","","3034","","","","","74","43","raamin-ka-0qJBEzudn5E-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","1385276","0.0-15.0","0","0","rHMtE","People","","7885","","","","","62","44","rikonavt-HQjfrvdTfak-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","1394646","0.0-16.0","0","0","rHMtE","People","","9367","","","","","73","47","tyler-nix-ZGa9d1a_4tA-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","1397576","0.0-17.0","0","0","rHMtE","People","","2927","","","","","58","48","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","1400168","0.0-18.0","0","0","rHMtE","People","","2587","","","","","56","1","aiony-haust-jmATI5Q_YgY-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","1403496","0.0-19.0","0","0","rHMtE","People","","3325","","","","","43","6","ben-o-bro-C5XyLljkMrY-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","1413591","0.0-20.0","0","0","rHMtE","People","","10093","","","","","68","20","houcine-ncib-B4TjXnI0Y2c-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","1419066","0.0-21.0","0","0","rHMtE","People","","5473","","","","","84","5","batel-studio-ttSRjiYG_WM-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","23","1422395","0.0-22.0","0","0","rHMtE","People","","3327","","","","","69","35","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","24","1428859","0.0-23.0","0","0","rHMtE","People","","6462","","","","","55","31","mathilda-khoo-vLR0YP_otCo-unsplash.jpg","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
