"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1444","fullscreen","0","47043","0.0-0.0","0","0","6mfmY","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","66824","0.0-1.0-0.0","0","0","6mfmY","People","[{""page_index"":0,""viewing_time"":18135},{""page_index"":1,""viewing_time"":1643}]","19779","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","71732","0.0-1.0-1.0","0","0","6mfmY","People","","4904","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","73721","0.0-2.0","0","0","6mfmY","People","","1986","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","77960","0.0-3.0","0","0","6mfmY","People","","4237","","","","","100","7","brooke-cagle-HRZUzoX1e6w-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","85143","0.0-4.0","0","0","6mfmY","People","","7180","","","","","75","8","bruce-dixon-3M9WJQVHzog-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","104733","0.0-5.0","0","0","6mfmY","People","","19588","","","","","100","3","art-hauntington-jzY0KRJopEI-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","109388","0.0-6.0","0","0","6mfmY","People","","4653","","","","","28","2","arjunsyah-TBUA5KHJn6k-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","115459","0.0-7.0","0","0","6mfmY","People","","6069","","","","","26","22","jessica-radanavong-mrYkTuAesKE-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","120420","0.0-8.0","0","0","6mfmY","People","","4959","","","","","22","6","ben-o-bro-C5XyLljkMrY-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
