"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2223","fullscreen","0","18783","0.0-0.0","0","0","5iALM","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","30990","0.0-1.0-0.0","0","0","5iALM","Scenes","[{""page_index"":0,""viewing_time"":9664},{""page_index"":1,""viewing_time"":2541}]","12205","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","37358","0.0-1.0-1.0","0","0","5iALM","Scenes","","6365","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","40647","0.0-2.0","0","0","5iALM","Scenes","","3284","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","48295","0.0-3.0","0","0","5iALM","Scenes","","7643","","","","67","148","tom-gainor-ZqLeQDjY6fY-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","52135","0.0-4.0","0","0","5iALM","Scenes","","3837","","","","66","119","james-wheeler-AFC0XvICMgs-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","55456","0.0-5.0","0","0","5iALM","Scenes","","3320","","","","58","140","samuele-errico-piccarini-JEBqFu2AOOA-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","58639","0.0-6.0","0","0","5iALM","Scenes","","3181","","","","64","110","bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","61286","0.0-7.0","0","0","5iALM","Scenes","","2646","","","","59","143","sigurdur-fjalar-jonsson-1KxBabIntpE-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","64599","0.0-8.0","0","0","5iALM","Scenes","","3312","","","","44","105","ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","67604","0.0-9.0","0","0","5iALM","Scenes","","3004","","","","59","139","samsommer-vddccTqwal8-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","70431","0.0-10.0","0","0","5iALM","Scenes","","2825","","","","64","135","mohammad-alizade-4wzRuAb-KWs-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","73211","0.0-11.0","0","0","5iALM","Scenes","","2777","","","","68","109","brigitta-schneiter-hXXRLtTxXCU-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","75999","0.0-12.0","0","0","5iALM","Scenes","","2786","","","","71","114","daniel-sessler-z_9VmsxR8hs-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","78973","0.0-13.0","0","0","5iALM","Scenes","","2973","","","","94","101","aniket-deole-T-tOgjWZ0fQ-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","82885","0.0-14.0","0","0","5iALM","Scenes","","3910","","","","56","144","solotravelgoals-7kLufxYoqWk-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","85701","0.0-15.0","0","0","5iALM","Scenes","","2814","","","","90","134","milada-vigerova-pQMM63GE7fo-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","88274","0.0-16.0","0","0","5iALM","Scenes","","2570","","","","57","113","damian-denis-D8R_txR_0PE-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","91866","0.0-17.0","0","0","5iALM","Scenes","","3591","","","","60","142","sergey-pesterev-y-b_FOmJXdg-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","94444","0.0-18.0","0","0","5iALM","Scenes","","2576","","","","60","121","jean-pierre-brungs-qxCqkbF7tUc-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","96725","0.0-19.0","0","0","5iALM","Scenes","","2279","","","","63","136","nicolas-jehly-LzVB84KkZOE-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","99673","0.0-20.0","0","0","5iALM","Scenes","","2947","","","","94","118","henry-be-NLF6hTe4PAg-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","102342","0.0-21.0","0","0","5iALM","Scenes","","2667","","","","58","117","frank-mckenna-OD9EOzfSOh0-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","23","105375","0.0-22.0","0","0","5iALM","Scenes","","3032","","","","64","145","stephen-leonardi-gyIRjKPXupE-unsplash.jpg","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","24","109814","0.0-23.0","0","0","5iALM","Scenes","","4438","","","","40","126","jordan-mcqueen-PJCZOWuOxbU-unsplash.jpg","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","25","114286","0.0-24.0","0","0","5iALM","Scenes","","4470","","","","100","130","lina-loos-04-C1NZk1hE-unsplash.jpg","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","26","117550","0.0-25.0","0","0","5iALM","Scenes","","3262","","","","58","107","benjamin-davies-Zm2n2O7Fph4-unsplash.jpg","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","27","120171","0.0-26.0","0","0","5iALM","Scenes","","2619","","","","63","127","kace-rodriguez-p3OzJuT_Dks-unsplash.jpg","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","28","122726","0.0-27.0","0","0","5iALM","Scenes","","2554","","","","75","102","anisur-rahman-K2b7UDed6uQ-unsplash.jpg","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","29","126007","0.0-28.0","0","0","5iALM","Scenes","","3279","","","","80","123","joel-jasmin-forestbird-efuwb5eBDrI-unsplash.jpg","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","30","128982","0.0-29.0","0","0","5iALM","Scenes","","2972","","","","86","128","karsten-wurth-jS0zC2PJ17A-unsplash.jpg","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","31","131683","0.0-30.0","0","0","5iALM","Scenes","","2700","","","","62","132","meng-ji-8BH_M-53CyA-unsplash.jpg","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
