"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2048","fullscreen","0","125268","0.0-0.0","0","0","HL3zD","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","142326","0.0-1.0-0.0","0","0","HL3zD","Scenes","[{""page_index"":0,""viewing_time"":13527},{""page_index"":1,""viewing_time"":3529}]","17056","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","225154","0.0-1.0-1.0","0","0","HL3zD","Scenes","","82826","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","280446","0.0-2.0","0","0","HL3zD","Scenes","","55285","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","287469","0.0-3.0","0","0","HL3zD","Scenes","","7020","","","","88","134","milada-vigerova-pQMM63GE7fo-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","291610","0.0-4.0","0","0","HL3zD","Scenes","","4140","","","","88","108","benjamin-voros-phIFdC6lA4E-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","295530","0.0-5.0","0","0","HL3zD","Scenes","","3919","","","","100","102","anisur-rahman-K2b7UDed6uQ-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","299946","0.0-6.0","0","0","HL3zD","Scenes","","4415","","","","100","145","stephen-leonardi-gyIRjKPXupE-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","306099","0.0-7.0","0","0","HL3zD","Scenes","","6151","","","","91","149","yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","310930","0.0-8.0","0","0","HL3zD","Scenes","","4829","","","","98","109","brigitta-schneiter-hXXRLtTxXCU-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
