"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01202023hr0247","fullscreen","0","45201","0.0-0.0","0","0","JGdx6","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","56830","0.0-1.0-0.0","0","0","JGdx6","Scenes","[{""page_index"":0,""viewing_time"":8584},{""page_index"":1,""viewing_time"":3043}]","11627","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","62836","0.0-1.0-1.0","0","0","JGdx6","Scenes","","6002","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","65923","0.0-2.0","0","0","JGdx6","Scenes","","3082","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","68916","0.0-3.0","0","0","JGdx6","Scenes","","2990","","","","91","128","karsten-wurth-jS0zC2PJ17A-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","70846","0.0-4.0","0","0","JGdx6","Scenes","","1928","","","","72","144","solotravelgoals-7kLufxYoqWk-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","73201","0.0-5.0","0","0","JGdx6","Scenes","","2353","","","","37","122","jeff-king-bJHWJeiHfHc-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","75284","0.0-6.0","0","0","JGdx6","Scenes","","2081","","","","80","108","benjamin-voros-phIFdC6lA4E-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","78847","0.0-7.0","0","0","JGdx6","Scenes","","3561","","","","26","121","jean-pierre-brungs-qxCqkbF7tUc-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","81180","0.0-8.0","0","0","JGdx6","Scenes","","2330","","","","91","114","daniel-sessler-z_9VmsxR8hs-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
