"","X","event","trial","time","PID","ttype","phase"
"1",1,"blur",0,0,"1ae5n","full_screen",NA
"2",2,"focus",0,0,"1ae5n","full_screen",NA
"3",3,"fullscreenenter",0,10406,"1ae5n","full_screen",NA
"4",4,"focus",0,17782,"1K9vK","full_screen",NA
"5",5,"fullscreenenter",0,20755,"1K9vK","full_screen",NA
"6",6,"blur",1217,2038629,"1K9vK","final_ratings",NA
"7",7,"focus",1217,2040061,"1K9vK","final_ratings",NA
"8",8,"blur",1319,2208634,"1K9vK","outcome_evaluation_confidence",NA
"9",9,"focus",1319,2209569,"1K9vK","outcome_evaluation_confidence",NA
"10",10,"fullscreenexit",1333,2823628,"1K9vK","final_reward_tally",NA
"11",11,"blur",1333,2824835,"1K9vK","final_reward_tally",NA
"12",12,"focus",1333,2839082,"1K9vK","final_reward_tally",NA
"13",13,"blur",1333,2843847,"1K9vK","final_reward_tally",NA
"14",14,"focus",1333,21273279,"1K9vK","final_reward_tally",NA
"15",15,"blur",1333,21275286,"1K9vK","final_reward_tally",NA
"16",16,"focus",1333,21275667,"1K9vK","final_reward_tally",NA
"17",17,"focus",0,0,"1pow4","full_screen",NA
"18",18,"fullscreenenter",0,5961,"1pow4","full_screen",NA
"19",19,"fullscreenenter",0,46060,"6mfmY","full_screen",NA
"20",20,"blur",99,697219,"6mfmY","explain_trial",NA
"21",21,"focus",99,698192,"6mfmY","explain_trial",NA
"22",22,"blur",99,699664,"6mfmY","explain_trial",NA
"23",23,"focus",99,703909,"6mfmY","explain_trial",NA
"24",24,"blur",1343,2474630,"6mfmY","debreif_end",NA
"34",34,"fullscreenenter",0,1260,"8WXnd","full_screen",NA
"35",35,"fullscreenexit",1313,1760778,"8WXnd","final_reward_tally",NA
"36",36,"blur",1313,1762652,"8WXnd","final_reward_tally",NA
"37",37,"focus",1313,1764582,"8WXnd","final_reward_tally",NA
"38",38,"blur",1314,1767723,"8WXnd","debreif_end",NA
"39",39,"fullscreenenter",0,5602,"9nseM","full_screen",NA
"40",40,"fullscreenexit",1,62647,"9nseM","rating_instructions",NA
"41",41,"blur",1,63559,"9nseM","rating_instructions",NA
"42",42,"focus",1,66206,"9nseM","rating_instructions",NA
"43",43,"blur",54,371374,"9nseM","deliberation_instructions",NA
"44",44,"focus",54,392302,"9nseM","deliberation_instructions",NA
"45",45,"blur",57,496421,"9nseM","deliberation_instructions",NA
"46",46,"focus",57,515541,"9nseM","deliberation_instructions",NA
"47",47,"blur",57,519436,"9nseM","deliberation_instructions",NA
"48",48,"focus",57,523909,"9nseM","deliberation_instructions",NA
"49",49,"blur",57,524910,"9nseM","deliberation_instructions",NA
"50",50,"focus",57,526177,"9nseM","deliberation_instructions",NA
"51",51,"blur",67,1044601,"9nseM","",NA
"52",52,"focus",67,1085480,"9nseM","",NA
"53",53,"blur",67,1296279,"9nseM","",NA
"54",54,"focus",67,1298406,"9nseM","",NA
"55",55,"blur",69,1355111,"9nseM","deliberation_instructions",NA
"56",56,"focus",69,1356571,"9nseM","deliberation_instructions",NA
"57",57,"blur",70,1387361,"9nseM","",NA
"58",58,"focus",70,1390320,"9nseM","",NA
"59",59,"blur",515,2372168,"9nseM","final_decisions",NA
"60",60,"focus",516,2373723,"9nseM","respond_faster",NA
"61",61,"blur",544,2398723,"9nseM","fixation",NA
"62",62,"focus",545,2400149,"9nseM","final_decisions",NA
"63",63,"blur",551,2406481,"9nseM","final_decisions",NA
"64",64,"focus",551,2407962,"9nseM","final_decisions",NA
"65",65,"blur",620,2466928,"9nseM","final_decisions",NA
"66",66,"focus",620,2468266,"9nseM","final_decisions",NA
"67",67,"blur",622,2469574,"9nseM","fixation",NA
"68",68,"focus",623,2471092,"9nseM","final_decisions",NA
"69",69,"blur",1071,2850469,"9nseM","memory_test_instructions",NA
"70",70,"focus",1071,2882330,"9nseM","memory_test_instructions",NA
"71",71,"blur",1071,2883397,"9nseM","memory_test_instructions",NA
"72",72,"focus",1071,2892390,"9nseM","memory_test_instructions",NA
"73",73,"blur",1071,2928301,"9nseM","memory_test_instructions",NA
"74",74,"focus",1071,5019064,"9nseM","memory_test_instructions",NA
"75",75,"blur",1071,5020327,"9nseM","memory_test_instructions",NA
"76",76,"focus",1071,5147909,"9nseM","memory_test_instructions",NA
"77",77,"blur",1071,5149491,"9nseM","memory_test_instructions",NA
"78",78,"focus",1071,5677151,"9nseM","memory_test_instructions",NA
"79",79,"blur",1275,6113874,"9nseM","outcome_evaluation_confidence",NA
"80",80,"focus",1275,6128179,"9nseM","outcome_evaluation_confidence",NA
"81",81,"blur",1291,6153021,"9nseM","outcome_evaluation_confidence",NA
"82",82,"focus",1291,6396639,"9nseM","outcome_evaluation_confidence",NA
"83",83,"blur",1291,6397612,"9nseM","outcome_evaluation_confidence",NA
"84",84,"focus",1291,6403947,"9nseM","outcome_evaluation_confidence",NA
"85",85,"blur",1335,6504279,"9nseM","debreif_art_time_spent",NA
"86",86,"focus",1335,6542919,"9nseM","debreif_art_time_spent",NA
"87",87,"blur",1341,6648831,"9nseM","final_reward_tally",NA
"88",88,"focus",1341,6654806,"9nseM","final_reward_tally",NA
"89",89,"blur",1341,6655404,"9nseM","final_reward_tally",NA
"90",90,"focus",1341,6657689,"9nseM","final_reward_tally",NA
"91",91,"blur",1341,6659623,"9nseM","final_reward_tally",NA
"92",92,"focus",1341,6660222,"9nseM","final_reward_tally",NA
"93",93,"blur",1341,6681024,"9nseM","final_reward_tally",NA
"94",94,"focus",1341,6682956,"9nseM","final_reward_tally",NA
"95",95,"blur",1341,6683791,"9nseM","final_reward_tally",NA
"96",96,"focus",1341,6686690,"9nseM","final_reward_tally",NA
"97",97,"blur",1341,6687310,"9nseM","final_reward_tally",NA
"98",98,"focus",1341,6689649,"9nseM","final_reward_tally",NA
"99",99,"blur",1341,6690526,"9nseM","final_reward_tally",NA
"100",100,"focus",1341,6691454,"9nseM","final_reward_tally",NA
"101",101,"blur",1341,6692017,"9nseM","final_reward_tally",NA
"102",102,"focus",1341,6693244,"9nseM","final_reward_tally",NA
"103",103,"blur",1341,6701930,"9nseM","final_reward_tally",NA
"104",104,"focus",1341,6706300,"9nseM","final_reward_tally",NA
"105",105,"fullscreenenter",0,41855,"aDc5y","full_screen",NA
"106",106,"fullscreenexit",1320,4566916,"aDc5y","debreif_end",NA
"107",107,"fullscreenenter",0,11738,"AxP3Q","full_screen",NA
"108",108,"blur",418,1092705,"AxP3Q","see_reward",NA
"109",109,"focus",418,1149004,"AxP3Q","see_reward",NA
"110",110,"fullscreenenter",0,16397,"BAPFD","full_screen",NA
"111",111,"fullscreenexit",1388,3208786,"BAPFD","final_reward_tally",NA
"112",112,"blur",1388,3212466,"BAPFD","final_reward_tally",NA
"113",113,"focus",1388,3241908,"BAPFD","final_reward_tally",NA
"114",114,"blur",0,3558,"c2yi6","full_screen",NA
"115",115,"focus",0,21793,"c2yi6","full_screen",NA
"116",116,"fullscreenenter",0,31512,"c2yi6","full_screen",NA
"117",117,"blur",83,718440,"c2yi6","explain_trial",NA
"118",118,"focus",83,718663,"c2yi6","explain_trial",NA
"119",119,"blur",83,738694,"c2yi6","explain_trial",NA
"120",120,"focus",83,738930,"c2yi6","explain_trial",NA
"121",121,"blur",90,811174,"c2yi6","explain_trial",NA
"122",122,"focus",90,811410,"c2yi6","explain_trial",NA
"123",123,"blur",90,812731,"c2yi6","explain_trial",NA
"124",124,"focus",90,812954,"c2yi6","explain_trial",NA
"125",125,"blur",131,1106031,"c2yi6","explain_trial",NA
"126",126,"focus",131,1106261,"c2yi6","explain_trial",NA
"127",127,"blur",1311,2963774,"c2yi6","debreif_photos",NA
"128",128,"focus",1311,2964001,"c2yi6","debreif_photos",NA
"129",129,"fullscreenexit",1312,2982250,"c2yi6","final_reward_tally",NA
"130",130,"blur",1312,2988794,"c2yi6","final_reward_tally",NA
"131",131,"focus",1312,2993976,"c2yi6","final_reward_tally",NA
"132",132,"blur",1312,3004051,"c2yi6","final_reward_tally",NA
"133",133,"focus",1312,3004804,"c2yi6","final_reward_tally",NA
"134",134,"focus",0,0,"CvY1u","full_screen",NA
"135",135,"focus",0,0,"CvY1u","full_screen",NA
"136",136,"fullscreenenter",0,14788,"CvY1u","full_screen",NA
"141",141,"fullscreenenter",0,8586,"Gh7vV","full_screen",NA
"142",142,"fullscreenenter",0,26420,"iDB50","full_screen",NA
"143",143,"fullscreenenter",0,8333,"JMSfN","full_screen",NA
"144",144,"focus",0,0,"l0I2Q","full_screen",NA
"145",145,"focus",0,0,"l0I2Q","full_screen",NA
"146",146,"blur",0,32058,"l0I2Q","full_screen",NA
"147",147,"focus",0,34788,"l0I2Q","full_screen",NA
"148",148,"fullscreenenter",0,63321,"l0I2Q","full_screen",NA
"149",149,"blur",54,493547,"l0I2Q","deliberation_instructions",NA
"150",150,"focus",54,883393,"l0I2Q","deliberation_instructions",NA
"151",151,"blur",152,2170676,"l0I2Q","start_critical_deliberation_block",NA
"152",152,"focus",152,2242057,"l0I2Q","start_critical_deliberation_block",NA
"153",153,"blur",193,2542082,"l0I2Q","",NA
"154",154,"focus",193,2665045,"l0I2Q","",NA
"155",155,"blur",193,2675333,"l0I2Q","",NA
"156",156,"focus",193,2709032,"l0I2Q","",NA
"157",157,"blur",193,2844628,"l0I2Q","",NA
"158",158,"focus",193,2866702,"l0I2Q","",NA
"159",159,"fullscreenexit",1330,4796119,"l0I2Q","final_reward_tally",NA
"160",160,"blur",1330,4797674,"l0I2Q","final_reward_tally",NA
"161",161,"focus",1330,4822887,"l0I2Q","final_reward_tally",NA
"162",162,"blur",1330,4824375,"l0I2Q","final_reward_tally",NA
"163",163,"focus",1330,4840370,"l0I2Q","final_reward_tally",NA
"164",164,"focus",0,0,"mBvvp","full_screen",NA
"165",165,"focus",0,0,"mBvvp","full_screen",NA
"166",166,"fullscreenenter",0,35224,"mBvvp","full_screen",NA
"167",167,"fullscreenexit",256,1749543,"mBvvp","block_over",NA
"168",168,"blur",256,1753230,"mBvvp","block_over",NA
"169",169,"focus",256,1774344,"mBvvp","block_over",NA
"170",170,"blur",1234,3297235,"mBvvp","outcome_evaluation",NA
"171",171,"focus",1234,3297237,"mBvvp","outcome_evaluation",NA
"172",172,"blur",1246,3315485,"mBvvp","outcome_evaluation",NA
"173",173,"focus",1246,3315488,"mBvvp","outcome_evaluation",NA
"174",174,"blur",1250,3322277,"mBvvp","outcome_evaluation",NA
"175",175,"focus",1250,3322279,"mBvvp","outcome_evaluation",NA
"176",176,"blur",1270,3359587,"mBvvp","outcome_evaluation",NA
"177",177,"focus",1270,3373150,"mBvvp","outcome_evaluation",NA
"178",178,"blur",1302,3428634,"mBvvp","outcome_evaluation",NA
"179",179,"focus",1302,3428635,"mBvvp","outcome_evaluation",NA
"180",180,"blur",1326,3607358,"mBvvp","final_reward_tally",NA
"181",181,"focus",1326,3640012,"mBvvp","final_reward_tally",NA
"182",182,"blur",1326,3643586,"mBvvp","final_reward_tally",NA
"183",183,"focus",1326,3659071,"mBvvp","final_reward_tally",NA
"184",184,"fullscreenenter",0,8499,"NWBJA","full_screen",NA
"185",185,"fullscreenenter",0,67167,"OgF5m","full_screen",NA
"186",186,"blur",0,7741,"PKUhO","full_screen",NA
"187",187,"focus",0,19884,"PKUhO","full_screen",NA
"188",188,"blur",0,22325,"PKUhO","full_screen",NA
"189",189,"focus",0,289967,"PKUhO","full_screen",NA
"190",190,"fullscreenenter",0,299227,"PKUhO","full_screen",NA
"309",309,"blur",0,0,"QGgHx","full_screen",NA
"310",310,"focus",0,0,"QGgHx","full_screen",NA
"311",311,"blur",0,11148,"QGgHx","full_screen",NA
"312",312,"focus",0,49737,"QGgHx","full_screen",NA
"313",313,"blur",0,51062,"QGgHx","full_screen",NA
"314",314,"focus",0,188377,"QGgHx","full_screen",NA
"315",315,"blur",0,189500,"QGgHx","full_screen",NA
"316",316,"focus",0,1347724,"QGgHx","full_screen",NA
"317",317,"blur",0,1348730,"QGgHx","full_screen",NA
