"","X","PID","time_elapsed","index","block","rt","chosen_trial","gain_left","left_chosen","higher_outcome_chosen","chosen_obj","unchosen_obj","stimulus_left","stimulus_right","rating_left","rating_right","painting_left","painting_right","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind"
"7871",48949,"wP5Q8",2133789,94,2,0.734,0,0,1,0,13,9,13,9,56,66,"erik-lucatero-d2MSDujJl2g-unsplash.jpg","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg",25,30
"7872",48952,"wP5Q8",2135994,95,2,0.693,1,0,0,1,17,37,37,17,57,73,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg","gleb-lukomets-paBzWCPN23k-unsplash.jpg",35,24
"7873",48955,"wP5Q8",2138525,96,2,1.018,0,1,0,0,18,6,6,18,50,50,"ben-o-bro-C5XyLljkMrY-unsplash.jpg","good-faces-xmSWVeGEnJw-unsplash.jpg",24,33
"7874",48958,"wP5Q8",2140728,97,2,0.69,1,1,1,1,40,49,40,49,46,60,"prince-akachi-4Yv84VgQkRM-unsplash.jpg","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg",26,27
"7875",48961,"wP5Q8",2142963,98,2,0.723,0,0,0,1,23,45,45,23,47,72,"sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg",35,32
"7876",48964,"wP5Q8",2145326,99,2,0.85,0,1,1,1,9,45,9,45,66,47,"carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg",30,35
"7877",48967,"wP5Q8",2147929,100,2,1.096,0,1,0,0,15,6,6,15,50,71,"ben-o-bro-C5XyLljkMrY-unsplash.jpg","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",24,29
"7878",48970,"wP5Q8",2149947,101,2,0.506,0,1,0,0,15,28,28,15,53,71,"justin-chen-J7Cf1Gch49E-unsplash.jpg","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",28,29
"7879",48973,"wP5Q8",2152119,102,2,0.666,1,0,0,1,31,37,37,31,57,53,"pavel-anoshin-d0peGya6R5Y-unsplash.jpg","mathilda-khoo-vLR0YP_otCo-unsplash.jpg",35,32
"7880",48976,"wP5Q8",2154423,103,2,0.791,0,1,0,0,18,5,5,18,60,50,"batel-studio-ttSRjiYG_WM-unsplash.jpg","good-faces-xmSWVeGEnJw-unsplash.jpg",26,33
"7881",48979,"wP5Q8",2156895,104,2,0.958,0,1,1,1,9,27,9,27,66,52,"carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","jurica-koletic-7YVZYZeITc8-unsplash.jpg",30,27
"7882",48982,"wP5Q8",2159141,105,2,0.733,0,1,0,0,13,5,5,13,60,56,"batel-studio-ttSRjiYG_WM-unsplash.jpg","erik-lucatero-d2MSDujJl2g-unsplash.jpg",26,25
"7883",48985,"wP5Q8",2161327,106,2,0.673,0,1,0,0,15,5,5,15,60,71,"batel-studio-ttSRjiYG_WM-unsplash.jpg","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg",26,29
"7884",48988,"wP5Q8",2163545,107,2,0.707,1,1,1,1,26,36,26,36,63,73,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","ospan-ali-mGdA2fzjWLo-unsplash.jpg",31,34
"7885",48991,"wP5Q8",2165665,108,2,0.608,0,0,1,0,27,28,27,28,52,53,"jurica-koletic-7YVZYZeITc8-unsplash.jpg","justin-chen-J7Cf1Gch49E-unsplash.jpg",27,28
"7886",48994,"wP5Q8",2167769,109,2,0.594,1,1,1,1,26,42,26,42,63,65,"juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","prince-akachi-l3IHXOdMyHQ-unsplash.jpg",31,29
"7887",48997,"wP5Q8",2169876,110,2,0.594,1,1,1,1,41,37,41,37,67,57,"prince-akachi-i2hoD-C2RUA-unsplash.jpg","pavel-anoshin-d0peGya6R5Y-unsplash.jpg",28,35
