PID,practice,trial,run,task,stimulus_duration,iti,is_odd_ball,path,response,rt,version,no_response,acc
40201,0,40,1,objects,400,300,0,Stimuli/Experimental_stims/localizer/objects/mockup-graphics-U6ZMEefFGx8-unsplash.jpg,1,9,2,0,0
40201,0,41,1,objects,400,300,0,Stimuli/Experimental_stims/localizer/objects/kelly-jean-cKjbI0Y00X0-unsplash.jpg,1,195,2,0,0
40201,0,42,1,objects,400,300,0,Stimuli/Experimental_stims/localizer/objects/eugene-chystiakov-3neSwyntbQ8-unsplash.jpg,1,138,2,0,0
40201,0,43,1,objects,400,300,0,Stimuli/Experimental_stims/localizer/objects/lance-reis-v0FYj9iioQg-unsplash.jpg,1,22,2,0,0
40201,0,44,1,objects,400,300,0,Stimuli/Experimental_stims/localizer/objects/annie-spratt-fbAnIjhrOL4-unsplash.jpg,1,190,2,0,0
40201,0,45,1,objects,400,300,1,Stimuli/Experimental_stims/localizer/objects/mockup-graphics-Pj2PY-E-LfM-unsplash.jpg,1,133,2,0,1
40201,0,46,1,objects,400,14000,0,Stimuli/Experimental_stims/localizer/objects/dario-mendez-hnJ2VNZzbns-unsplash.jpg,0,103,2,0,1
40201,0,47,1,faces,400,300,1,Stimuli/Experimental_stims/localizer/faces/christian-ferrer-8vT-DgHZDG4-unsplash.jpg,NaN,NaN,2,1,0
40201,0,48,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/mathias-huysmans-U4JDjYmjn1g-unsplash.jpg,NaN,NaN,2,1,0
40201,0,49,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/filipe-almeida-mnEWC72eWDM-unsplash.jpg,NaN,NaN,2,1,0
40201,0,50,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/midas-hofstra-tidSLv-UaNs-unsplash.jpg,0,93,2,0,1
40201,0,51,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/darshan-patel-QJEVpydulGs-unsplash.jpg,0,67,2,0,1
40201,0,52,1,faces,400,300,0,Stimuli/Experimental_stims/localizer/faces/ivan-dodig-R21SyyJDFgc-unsplash.jpg,0,45,2,0,1
