PID,trial,rt,old_rating,new_rating,stimulus_index,type,category,stimulus,path,iti,stim_type,deliberated_stim,choice,outcome
67183,50,153,NA,50,62,scramble,faces,scrambled_david-siglin-UuW4psOb388-unsplash.jpg,Stimuli/Experimental_stims/scramble/faces/scrambled_david-siglin-UuW4psOb388-unsplash.jpg,,scramble,deliberated,unchosen,no_gain
67183,52,170,50,50,43,original,objects,jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,,original,deliberated,unchosen,no_gain
67183,54,168,50,50,25,original,body_parts,engin-akyurt-Q2rfH3GW39c-unsplash.jpg,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,,original,deliberated,unchosen,no_gain
67183,55,156,50,50,37,original,objects,alexander-andrews-VLGWE_SumrA-unsplash.jpg,Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg,,original,not_deliberated,NaN,NaN
67183,56,152,50,50,20,original,faces,justin-chen-J7Cf1Gch49E-unsplash.jpg,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,,original,deliberated,chosen,gain
67183,57,174,NA,50,68,scramble,faces,scrambled_justin-chen-J7Cf1Gch49E-unsplash.jpg,Stimuli/Experimental_stims/scramble/faces/scrambled_justin-chen-J7Cf1Gch49E-unsplash.jpg,,scramble,deliberated,chosen,no_gain
67183,58,170,50,50,39,original,objects,charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,,original,deliberated,unchosen,no_gain
67183,59,162,50,50,13,original,faces,daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,,original,deliberated,chosen,no_gain
67183,60,161,50,50,38,original,objects,art-lasovsky-8XddFc6NkBY-unsplash.jpg,Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg,,original,deliberated,chosen,no_gain
67183,61,163,50,50,14,original,faces,david-siglin-UuW4psOb388-unsplash.jpg,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,,original,deliberated,chosen,no_gain
67183,62,154,NA,50,65,scramble,faces,scrambled_good-faces-xmSWVeGEnJw-unsplash.jpg,Stimuli/Experimental_stims/scramble/faces/scrambled_good-faces-xmSWVeGEnJw-unsplash.jpg,,scramble,deliberated,unchosen,no_gain
67183,63,154,NA,50,72,scramble,body_parts,scrambled_clay-banks-LjqARJaJotc-unsplash.jpg,Stimuli/Experimental_stims/scramble/body_parts/scrambled_clay-banks-LjqARJaJotc-unsplash.jpg,,scramble,deliberated,chosen,no_gain
67183,65,141,50,50,3,original,outdoor_scenes,henry-be-NLF6hTe4PAg-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,,original,not_deliberated,NaN,NaN
67183,66,321,50,50,1,original,outdoor_scenes,ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,,original,deliberated,chosen,no_gain
67183,67,162,50,50,30,original,body_parts,mika-korhonen-Xodzxosar18-unsplash.jpg,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,,original,not_deliberated,NaN,NaN
67183,69,162,50,50,36,original,objects,alexander-andrews-JYGnB9gTCls-unsplash.jpg,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,,original,not_deliberated,NaN,NaN
67183,72,154,NA,50,52,scramble,outdoor_scenes,scrambled_jarrett-kow-1ZOyYPOBn7I-unsplash.jpg,Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_jarrett-kow-1ZOyYPOBn7I-unsplash.jpg,,scramble,deliberated,unchosen,no_gain
67183,74,162,NA,50,49,scramble,outdoor_scenes,scrambled_ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,,scramble,deliberated,chosen,no_gain
67183,75,161,NA,50,82,scramble,body_parts,scrambled_wagner-santos-mBWMvIuVnso-unsplash.jpg,Stimuli/Experimental_stims/scramble/body_parts/scrambled_wagner-santos-mBWMvIuVnso-unsplash.jpg,,scramble,deliberated,chosen,no_gain
67183,76,163,NA,50,80,scramble,body_parts,scrambled_towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg,Stimuli/Experimental_stims/scramble/body_parts/scrambled_towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg,,scramble,deliberated,unchosen,no_gain
67183,78,300,50,50,0,original,outdoor_scenes,aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,,original,not_deliberated,NaN,NaN
67183,79,243,50,50,6,original,outdoor_scenes,meng-ji-8BH_M-53CyA-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,,original,deliberated,unchosen,no_gain
67183,80,155,50,50,2,original,outdoor_scenes,bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,,original,not_deliberated,NaN,NaN
67183,82,166,50,50,44,original,objects,kuiye-chen-NuOGFo4PudE-unsplash.jpg,Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg,,original,not_deliberated,NaN,NaN
67183,83,179,NA,50,87,scramble,objects,scrambled_charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,Stimuli/Experimental_stims/scramble/objects/scrambled_charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,,scramble,deliberated,unchosen,no_gain
67183,84,178,50,50,15,original,faces,erik-lucatero-d2MSDujJl2g-unsplash.jpg,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,,original,not_deliberated,NaN,NaN
67183,85,169,NA,50,91,scramble,objects,scrambled_jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,Stimuli/Experimental_stims/scramble/objects/scrambled_jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,,scramble,deliberated,unchosen,no_gain
67183,86,178,NA,50,73,scramble,body_parts,scrambled_engin-akyurt-Q2rfH3GW39c-unsplash.jpg,Stimuli/Experimental_stims/scramble/body_parts/scrambled_engin-akyurt-Q2rfH3GW39c-unsplash.jpg,,scramble,deliberated,unchosen,no_gain
67183,87,163,50,50,29,original,body_parts,manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,,original,not_deliberated,NaN,NaN
67183,88,164,50,50,8,original,outdoor_scenes,samsommer-vddccTqwal8-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,,original,not_deliberated,NaN,NaN
67183,89,163,50,50,17,original,faces,good-faces-xmSWVeGEnJw-unsplash.jpg,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,,original,deliberated,unchosen,no_gain
67183,90,186,50,50,34,original,body_parts,wagner-santos-mBWMvIuVnso-unsplash.jpg,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,,original,deliberated,chosen,no_gain
67183,91,187,50,50,26,original,body_parts,engin-akyurt-x_3gyC42btc-unsplash.jpg,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,,original,deliberated,chosen,gain
67183,94,169,NA,50,67,scramble,faces,scrambled_joel-mott-LaK153ghdig-unsplash.jpg,Stimuli/Experimental_stims/scramble/faces/scrambled_joel-mott-LaK153ghdig-unsplash.jpg,,scramble,deliberated,unchosen,no_gain
67183,95,178,50,50,33,original,body_parts,tucker-good-36skLT5jZcc-unsplash.jpg,Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg,,original,not_deliberated,NaN,NaN
67183,96,146,50,50,22,original,faces,ravi-patel-VMGAbeeJTKo-unsplash.jpg,Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg,,original,not_deliberated,NaN,NaN
