"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path","run","task","isi","is_odd_ball","no_response","acc","duration","onset"
"true","full_screen","d06302023hr1729","fullscreen","0","9609","0.0-0.0-0.0","33","37760","male","","","","","","","","","","","","","","","","",""
"","get_id","","survey-text","1","14809","0.0-0.0-1.0","33","37760","male","5197","{""Q0"":""33"",""Q1"":""male""}","","","","","","","","","","","","","","",""
"","ratings_instructions","","instructions","2","17585","0.0-1.0-0.0-0.0","33","37760","male","1767","","[{""page_index"":0,""viewing_time"":1315},{""page_index"":1,""viewing_time"":451}]","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","3","19914","0.0-1.0-0.0-1.0","33","37760","male","2323","{""Q0"":""True"",""Q1"":""Mouse""}","","0","","","","","","","","","","","","",""
"","","","html-keyboard-response","4","21011","0.0-1.0-1.0","33","37760","male","1092","","","","68","","","","","","","","","","","",""
"","rating","","html-slider-response","5","21929","0.0-1.0-2.0","33","37760","male","913","","","","","50","0","38","Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","6","22101","0.0-1.0-3.0","33","37760","male","166","","","","","50","1","24","Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","7","22683","0.0-1.0-4.0","33","37760","male","576","","","","","50","2","13","Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","8","22861","0.0-1.0-5.0","33","37760","male","172","","","","","50","3","2","Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","9","23039","0.0-1.0-6.0","33","37760","male","172","","","","","50","4","36","Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","10","23230","0.0-1.0-7.0","33","37760","male","185","","","","","50","5","7","Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","11","23427","0.0-1.0-8.0","33","37760","male","192","","","","","50","6","28","Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","12","23621","0.0-1.0-9.0","33","37760","male","188","","","","","50","7","14","Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","13","23994","0.0-1.0-10.0","33","37760","male","367","","","","","50","8","23","Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","14","24228","0.0-1.0-11.0","33","37760","male","228","","","","","50","9","39","Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","15","24495","0.0-1.0-12.0","33","37760","male","262","","","","","50","10","11","Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","16","24762","0.0-1.0-13.0","33","37760","male","261","","","","","50","11","16","Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","17","24987","0.0-1.0-14.0","33","37760","male","220","","","","","50","12","46","Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","18","25215","0.0-1.0-15.0","33","37760","male","223","","","","","50","13","20","Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","19","25450","0.0-1.0-16.0","33","37760","male","229","","","","","50","14","18","Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg","","","","","","","",""
