"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path"
"","rating","","html-slider-response","29","30787","0.0-1.0-26.0","11","16418","12","147","","","","","50","24","26","Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg"
"","rating","","html-slider-response","30","30958","0.0-1.0-27.0","11","16418","12","167","","","","","50","25","36","Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg"
"","rating","","html-slider-response","31","31119","0.0-1.0-28.0","11","16418","12","157","","","","","50","26","41","Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg"
"","rating","","html-slider-response","32","31270","0.0-1.0-29.0","11","16418","12","148","","","","","50","27","0","Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg"
"","rating","","html-slider-response","33","31436","0.0-1.0-30.0","11","16418","12","162","","","","","50","28","29","Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg"
"","rating","","html-slider-response","34","31606","0.0-1.0-31.0","11","16418","12","165","","","","","50","29","39","Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg"
"","rating","","html-slider-response","35","31766","0.0-1.0-32.0","11","16418","12","156","","","","","50","30","27","Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg"
"","rating","","html-slider-response","36","31938","0.0-1.0-33.0","11","16418","12","168","","","","","50","31","16","Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg"
"","rating","","html-slider-response","37","32099","0.0-1.0-34.0","11","16418","12","156","","","","","50","32","8","Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg"
"","rating","","html-slider-response","38","32266","0.0-1.0-35.0","11","16418","12","163","","","","","50","33","38","Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg"
"","rating","","html-slider-response","39","32427","0.0-1.0-36.0","11","16418","12","158","","","","","50","34","30","Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg"
"","rating","","html-slider-response","40","32605","0.0-1.0-37.0","11","16418","12","175","","","","","50","35","23","Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg"
"","rating","","html-slider-response","41","32757","0.0-1.0-38.0","11","16418","12","147","","","","","50","36","10","Stimuli/Experimental_stims/outdoor_scenes/shannon-kunkle-dM8INmkyDas-unsplash.jpg"
"","rating","","html-slider-response","42","32934","0.0-1.0-39.0","11","16418","12","173","","","","","50","37","12","Stimuli/Experimental_stims/faces/aiony-haust-jmATI5Q_YgY-unsplash.jpg"
"","rating","","html-slider-response","43","33105","0.0-1.0-40.0","11","16418","12","165","","","","","50","38","31","Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg"
"","rating","","html-slider-response","44","33283","0.0-1.0-41.0","11","16418","12","174","","","","","50","39","7","Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg"
"","rating","","html-slider-response","45","33451","0.0-1.0-42.0","11","16418","12","163","","","","","50","40","15","Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg"
"","rating","","html-slider-response","46","33618","0.0-1.0-43.0","11","16418","12","163","","","","","50","41","28","Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg"
"","rating","","html-slider-response","47","33788","0.0-1.0-44.0","11","16418","12","166","","","","","50","42","9","Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg"
"","rating","","html-slider-response","48","33969","0.0-1.0-45.0","11","16418","12","177","","","","","50","43","2","Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg"
"","rating","","html-slider-response","49","34133","0.0-1.0-46.0","11","16418","12","160","","","","","50","44","17","Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg"
"","rating","","html-slider-response","50","34309","0.0-1.0-47.0","11","16418","12","171","","","","","50","45","44","Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg"
"","rating","","html-slider-response","51","34490","0.0-1.0-48.0","11","16418","12","177","","","","","50","46","13","Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg"
"","rating","","html-slider-response","52","34665","0.0-1.0-49.0","11","16418","12","171","","","","","50","47","14","Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg"
