"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path"
"","rating","","html-slider-response","28","111746","0.0-1.0-25.0","26","49645","Male","2991","","","","","27","23","33","Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg"
"","rating","","html-slider-response","29","114912","0.0-1.0-26.0","26","49645","Male","3161","","","","","18","24","32","Stimuli/Experimental_stims/body_parts/towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg"
"","rating","","html-slider-response","30","117701","0.0-1.0-27.0","26","49645","Male","2784","","","","","28","25","30","Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg"
"","rating","","html-slider-response","31","120011","0.0-1.0-28.0","26","49645","Male","2305","","","","","58","26","16","Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg"
"","rating","","html-slider-response","32","122283","0.0-1.0-29.0","26","49645","Male","2268","","","","","40","27","14","Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg"
"","rating","","html-slider-response","33","124436","0.0-1.0-30.0","26","49645","Male","2148","","","","","29","28","36","Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg"
"","rating","","html-slider-response","34","126456","0.0-1.0-31.0","26","49645","Male","2015","","","","","84","29","3","Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg"
"","rating","","html-slider-response","35","129133","0.0-1.0-32.0","26","49645","Male","2672","","","","","52","30","29","Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg"
"","rating","","html-slider-response","36","132944","0.0-1.0-33.0","26","49645","Male","3806","","","","","17","31","43","Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg"
"","rating","","html-slider-response","37","135441","0.0-1.0-34.0","26","49645","Male","2493","","","","","22","32","40","Stimuli/Experimental_stims/objects/fabian-blank-pElSkGRA2NU-unsplash.jpg"
"","rating","","html-slider-response","38","138321","0.0-1.0-35.0","26","49645","Male","2876","","","","","64","33","2","Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg"
"","rating","","html-slider-response","39","140751","0.0-1.0-36.0","26","49645","Male","2425","","","","","20","34","26","Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg"
"","rating","","html-slider-response","40","144314","0.0-1.0-37.0","26","49645","Male","3558","","","","","58","35","45","Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg"
"","rating","","html-slider-response","41","147777","0.0-1.0-38.0","26","49645","Male","3458","","","","","88","36","6","Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg"
"","rating","","html-slider-response","42","150295","0.0-1.0-39.0","26","49645","Male","2513","","","","","56","37","13","Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg"
"","rating","","html-slider-response","43","152478","0.0-1.0-40.0","26","49645","Male","2178","","","","","14","38","44","Stimuli/Experimental_stims/objects/kuiye-chen-NuOGFo4PudE-unsplash.jpg"
"","rating","","html-slider-response","44","154639","0.0-1.0-41.0","26","49645","Male","2156","","","","","23","39","42","Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg"
"","rating","","html-slider-response","45","157857","0.0-1.0-42.0","26","49645","Male","3214","","","","","24","40","24","Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg"
"","rating","","html-slider-response","46","160045","0.0-1.0-43.0","26","49645","Male","2183","","","","","44","41","21","Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg"
"","rating","","html-slider-response","47","162414","0.0-1.0-44.0","26","49645","Male","2363","","","","","66","42","7","Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg"
"","rating","","html-slider-response","48","164569","0.0-1.0-45.0","26","49645","Male","2151","","","","","30","43","46","Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg"
"","rating","","html-slider-response","49","168173","0.0-1.0-46.0","26","49645","Male","3599","","","","","54","44","38","Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg"
"","rating","","html-slider-response","50","171586","0.0-1.0-47.0","26","49645","Male","3409","","","","","93","45","8","Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg"
"","rating","","html-slider-response","51","173919","0.0-1.0-48.0","26","49645","Male","2328","","","","","88","46","10","Stimuli/Experimental_stims/outdoor_scenes/shannon-kunkle-dM8INmkyDas-unsplash.jpg"
"","rating","","html-slider-response","52","175964","0.0-1.0-49.0","26","49645","Male","2040","","","","","11","47","39","Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg"
