"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path","start_time_elapsed","run","task","isi","is_odd_ball","no_response","acc","duration","onset","duration_time_elapsed","onset_time_elapsed","trial_duration","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_rating","unchosen_rating","chosen_path","unchosen_path","pair_id","practice","scramble_screen_time","scramble_instructed_side","stim_type","iti","block","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","left_rating","right_rating","scramble_acc","warning","scramble_no_response","missed_checkup","stimulus_id","item_id","outcome","response_rt","deliberation_reward_tally","choice_type","gain_left","left_item_id","right_item_id","higher_outcome_chosen","chosen_left","old_pair","pair_type","old_response","pair_acc","reward_type","outcome_response","outcome_rt","outcome_acc","category","choice","deliberated_stim","old_rating","new_rating","total_reward_tally"
"","show_reward","","html-keyboard-response","1240","3895491","0.0-4.0-66.0-2.0","35","85508","female","1162","","","","75","no_gain","64","","","3893964","2","","","","0","","1500","182300","1527","172985","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1162","","","","","","","","","","","","","","","","","","","","",""
"","iti_outcome_learning","","html-keyboard-response","1241","3897920","0.0-4.0-66.0-3.0","35","85508","female","null","","","","null","","64","","","3895491","2","","","","","","2400","185200","2429","174512","2400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_chosen_item","","html-keyboard-response","1242","3899447","0.0-4.0-67.0-0.0","35","85508","female","null","","","","null","","65","","","3897920","2","","1800","","","","1500","187600","1527","176941","","","","","","","","","","","","0","","","","1700","","","","","","","","","","","","","","29","L","no_gain","","","","","","","","","","","","","","","","","","","","","",""
"","isi_outcome_learning","","html-keyboard-response","1243","3901266","0.0-4.0-67.0-1.0","35","85508","female","null","","","","null","","65","","","3899447","2","","","","","","1800","189100","1819","178468","1800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_reward","","html-keyboard-response","1244","3902786","0.0-4.0-67.0-2.0","35","85508","female","738","","","","75","no_gain","65","","","3901266","2","","","","0","","1500","190900","1520","180287","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","738","","","","","","","","","","","","","","","","","","","","",""
"","iti_outcome_learning","","html-keyboard-response","1245","3904508","0.0-4.0-67.0-3.0","35","85508","female","null","","","","null","","65","","","3902786","2","","","","","","1700","192700","1722","181807","1700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_chosen_item","","html-keyboard-response","1246","3906034","0.0-4.0-68.0-0.0","35","85508","female","null","","","","null","","66","","","3904508","2","","2300","","","","1500","194400","1526","183529","","","","","","","","","","","","0","","","","4600","","","","","","","","","","","","","","45","K","no_gain","","","","","","","","","","","","","","","","","","","","","",""
"","isi_outcome_learning","","html-keyboard-response","1247","3908363","0.0-4.0-68.0-1.0","35","85508","female","null","","","","null","","66","","","3906034","2","","","","","","2300","195900","2329","185055","2300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_reward","","html-keyboard-response","1248","3909888","0.0-4.0-68.0-2.0","35","85508","female","833","","","","75","no_gain","66","","","3908363","2","","","","0","","1500","198200","1525","187384","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","833","","","","","","","","","","","","","","","","","","","","",""
"","iti_outcome_learning","","html-keyboard-response","1249","3914505","0.0-4.0-68.0-3.0","35","85508","female","null","","","","null","","66","","","3909888","2","","","","","","4600","200500","4617","188909","4600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_chosen_item","","html-keyboard-response","1250","3916022","0.0-4.0-69.0-0.0","35","85508","female","null","","","","null","","67","","","3914505","2","","3500","","","","1500","205100","1517","193526","","","","","","","","","","","","0","","","","1900","","","","","","","","","","","","","","16","H","no_gain","","","","","","","","","","","","","","","","","","","","","",""
"","isi_outcome_learning","","html-keyboard-response","1251","3919545","0.0-4.0-69.0-1.0","35","85508","female","null","","","","null","","67","","","3916022","2","","","","","","3500","206600","3523","195043","3500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_reward","","html-keyboard-response","1252","3921074","0.0-4.0-69.0-2.0","35","85508","female","861","","","","75","no_gain","67","","","3919545","2","","","","0","","1500","210100","1529","198566","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","861","","","","","","","","","","","","","","","","","","","","",""
"","iti_outcome_learning","","html-keyboard-response","1253","3922999","0.0-4.0-69.0-3.0","35","85508","female","null","","","","null","","67","","","3921074","2","","","","","","1900","213600","1925","200095","1900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_chosen_item","","html-keyboard-response","1254","3924519","0.0-4.0-70.0-0.0","35","85508","female","null","","","","null","","68","","","3922999","2","","1600","","","","1500","215500","1520","202020","","","","","","","","","","","","0","","","","1300","","","","","","","","","","","","","","30","C","gain","","","","","","","","","","","","","","","","","","","","","",""
"","isi_outcome_learning","","html-keyboard-response","1255","3926160","0.0-4.0-70.0-1.0","35","85508","female","null","","","","null","","68","","","3924519","2","","","","","","1600","217000","1641","203540","1600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_reward","","html-keyboard-response","1256","3927696","0.0-4.0-70.0-2.0","35","85508","female","893","","","","68","gain","68","","","3926160","2","","","","0","","1500","218600","1536","205181","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","893","","","","","","","","","","","","","","","","","","","","",""
"","iti_outcome_learning","","html-keyboard-response","1257","3929018","0.0-4.0-70.0-3.0","35","85508","female","null","","","","null","","68","","","3927696","2","","","","","","1300","220200","1322","206717","1300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_chosen_item","","html-keyboard-response","1258","3930546","0.0-4.0-71.0-0.0","35","85508","female","null","","","","null","","69","","","3929018","2","","2000","","","","1500","221500","1528","208039","","","","","","","","","","","","0","","","","1200","","","","","","","","","","","","","","14","B","gain","","","","","","","","","","","","","","","","","","","","","",""
"","isi_outcome_learning","","html-keyboard-response","1259","3932567","0.0-4.0-71.0-1.0","35","85508","female","null","","","","null","","69","","","3930546","2","","","","","","2000","223000","2021","209567","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_reward","","html-keyboard-response","1260","3934083","0.0-4.0-71.0-2.0","35","85508","female","1304","","","","68","gain","69","","","3932567","2","","","","0","","1500","225000","1516","211588","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1304","","","","","","","","","","","","","","","","","","","","",""
"","iti_outcome_learning","","html-keyboard-response","1261","3935412","0.0-4.0-71.0-3.0","35","85508","female","null","","","","null","","69","","","3934083","2","","","","","","1200","227000","1329","213104","1200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_chosen_item","","html-keyboard-response","1262","3936930","0.0-4.0-72.0-0.0","35","85508","female","null","","","","null","","70","","","3935412","2","","1700","","","","1500","228200","1518","214433","","","","","","","","","","","","0","","","","1500","","","","","","","","","","","","","","28","I","gain","","","","","","","","","","","","","","","","","","","","","",""
"","isi_outcome_learning","","html-keyboard-response","1263","3938650","0.0-4.0-72.0-1.0","35","85508","female","null","","","","null","","70","","","3936930","2","","","","","","1700","229700","1720","215951","1700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_reward","","html-keyboard-response","1264","3940254","0.0-4.0-72.0-2.0","35","85508","female","1376","","","","75","no_gain","70","","","3938650","2","","","","0","","1500","231400","1604","217671","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1376","","","","","","","","","","","","","","","","","","","","",""
"","iti_outcome_learning","","html-keyboard-response","1265","3941777","0.0-4.0-72.0-3.0","35","85508","female","null","","","","null","","70","","","3940254","2","","","","","","1500","233100","1523","219275","1500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_chosen_item","","html-keyboard-response","1266","3943299","0.0-4.0-73.0-0.0","35","85508","female","null","","","","null","","71","","","3941777","2","","1100","","","","1500","234600","1522","220798","","","","","","","","","","","","0","","","","1300","","","","","","","","","","","","","","19","J","gain","","","","","","","","","","","","","","","","","","","","","",""
"","isi_outcome_learning","","html-keyboard-response","1267","3944433","0.0-4.0-73.0-1.0","35","85508","female","null","","","","null","","71","","","3943299","2","","","","","","1100","236100","1134","222320","1100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_reward","","html-keyboard-response","1268","3945955","0.0-4.0-73.0-2.0","35","85508","female","1277","","","","68","gain","71","","","3944433","2","","","","0","","1500","237200","1522","223454","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1277","","","","","","","","","","","","","","","","","","","","",""
"","iti_outcome_learning","","html-keyboard-response","1269","3947277","0.0-4.0-73.0-3.0","35","85508","female","null","","","","null","","71","","","3945955","2","","","","","","1300","238300","1322","224976","1300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_chosen_item","","html-keyboard-response","1270","3948802","0.0-4.0-74.0-0.0","35","85508","female","null","","","","null","","72","","","3947277","2","","2900","","","","1500","239600","1525","226298","","","","","","","","","","","","0","","","","1600","","","","","","","","","","","","","","2","G","no_gain","","","","","","","","","","","","","","","","","","","","","",""
"","isi_outcome_learning","","html-keyboard-response","1271","3951736","0.0-4.0-74.0-1.0","35","85508","female","null","","","","null","","72","","","3948802","2","","","","","","2900","241100","2934","227823","2900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_reward","","html-keyboard-response","1272","3953252","0.0-4.0-74.0-2.0","35","85508","female","968","","","","75","no_gain","72","","","3951736","2","","","","0","","1500","244000","1516","230757","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","968","","","","","","","","","","","","","","","","","","","","",""
"","iti_outcome_learning","","html-keyboard-response","1273","3954873","0.0-4.0-74.0-3.0","35","85508","female","null","","","","null","","72","","","3953252","2","","","","","","1600","246900","1621","232273","1600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_chosen_item","","html-keyboard-response","1274","3956390","0.0-4.0-75.0-0.0","35","85508","female","null","","","","null","","73","","","3954873","2","","1200","","","","1500","248500","1517","233894","","","","","","","","","","","","0","","","","2400","","","","","","","","","","","","","","3","A","gain","","","","","","","","","","","","","","","","","","","","","",""
"","isi_outcome_learning","","html-keyboard-response","1275","3957608","0.0-4.0-75.0-1.0","35","85508","female","null","","","","null","","73","","","3956390","2","","","","","","1200","250000","1218","235411","1200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_reward","","html-keyboard-response","1276","3959123","0.0-4.0-75.0-2.0","35","85508","female","873","","","","68","gain","73","","","3957608","2","","","","0","","1500","251200","1515","236629","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","873","","","","","","","","","","","","","","","","","","","","",""
"","iti_outcome_learning","","html-keyboard-response","1277","3961542","0.0-4.0-75.0-3.0","35","85508","female","null","","","","null","","73","","","3959123","2","","","","","","2400","252400","2419","238144","2400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_chosen_item","","html-keyboard-response","1278","3963064","0.0-4.0-76.0-0.0","35","85508","female","null","","","","null","","74","","","3961542","2","","1200","","","","1500","254800","1522","240563","","","","","","","","","","","","0","","","","2300","","","","","","","","","","","","","","42","E","gain","","","","","","","","","","","","","","","","","","","","","",""
"","isi_outcome_learning","","html-keyboard-response","1279","3964293","0.0-4.0-76.0-1.0","35","85508","female","null","","","","null","","74","","","3963064","2","","","","","","1200","256300","1229","242085","1200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_reward","","html-keyboard-response","1280","3965824","0.0-4.0-76.0-2.0","35","85508","female","845","","","","68","gain","74","","","3964293","2","","","","0","","1500","257500","1531","243314","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","845","","","","","","","","","","","","","","","","","","","","",""
"","iti_outcome_learning","","html-keyboard-response","1281","3968143","0.0-4.0-76.0-3.0","35","85508","female","null","","","","null","","74","","","3965824","2","","","","","","2300","258700","2319","244845","2300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_chosen_item","","html-keyboard-response","1282","3969662","0.0-4.0-77.0-0.0","35","85508","female","null","","","","null","","75","","","3968143","2","","1600","","","","1500","261000","1519","247164","","","","","","","","","","","","0","","","","4300","","","","","","","","","","","","","","26","F","no_gain","","","","","","","","","","","","","","","","","","","","","",""
"","isi_outcome_learning","","html-keyboard-response","1283","3971404","0.0-4.0-77.0-1.0","35","85508","female","null","","","","null","","75","","","3969662","2","","","","","","1600","262500","1742","248683","1600","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","show_reward","","html-keyboard-response","1284","3972923","0.0-4.0-77.0-2.0","35","85508","female","819","","","","75","no_gain","75","","","3971404","2","","","","0","","1500","264100","1519","250425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","819","","","","","","","","","","","","","","","","","","","","",""
"","iti_outcome_learning","","html-keyboard-response","1285","3977246","0.0-4.0-77.0-3.0","35","85508","female","null","","","","null","","75","","","3972923","2","","","","","","4300","265700","4323","251944","4300","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","","","","","","","","","","","","","","","","","","","",""
"","deliberation_reward_tally","","html-keyboard-response","1286","3979707","0.0-4.0-77.0-6.0-0.0","35","85508","female","2442","","","","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions_instructions","","instructions","1287","4024586","0.0-5.0-0.0-0.0","35","85508","female","44521","","[{""page_index"":0,""viewing_time"":4610},{""page_index"":1,""viewing_time"":37065},{""page_index"":2,""viewing_time"":2846}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions_comprehension_check","","survey-multi-choice","1288","4031340","0.0-5.0-0.0-1.0","35","85508","female","6711","{""Q0"":""True"",""Q1"":""D""}","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","missed_instruction_checkup","","html-keyboard-response","1289","4033268","0.0-5.0-0.0-2.0-0.0","35","85508","female","1903","","","","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions_instructions","","instructions","1290","4041085","0.0-5.0-0.1-0.1","35","85508","female","7799","","[{""page_index"":0,""viewing_time"":2879},{""page_index"":1,""viewing_time"":3042},{""page_index"":2,""viewing_time"":1877}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions_comprehension_check","","survey-multi-choice","1291","4049603","0.0-5.0-0.1-1.1","35","85508","female","8487","{""Q0"":""True"",""Q1"":""K""}","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","1292","4052049","0.0-5.0-1.0","35","85508","female","2425","","","","68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","1293","4053573","0.0-5.0-2.0-0.0","35","85508","female","null","","","","null","","0","","","4052049","0","","","","1","","1500","270000","1524","256267","","NaN","NaN","NaN","NaN","NaN","","","","","","1","","","","3000","0","","","","","Stimuli/Practice_stims/Final_decisions/debby-hudson-FmCSSSGge-0-unsplash.jpg","Stimuli/Practice_stims/Final_decisions/yassine-khalfalli-adsQ9d_Cx0c-unsplash.jpg","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","",""
"","final_decisions_no_response","","html-keyboard-response","1294","4053898","0.0-5.0-2.0-2.0-0.0","35","85508","female","null","","","","null","","0","","","4053573","0","","","","1","","300","271500","325","257791","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","1295","4056622","0.0-5.0-2.0-3.0","35","85508","female","null","","","","null","","0","","","4053898","0","","","","","","2700","271800","2724","258116","2700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","1296","4057514","0.0-5.0-2.1-0.1","35","85508","female","873","","","","75","","0","","","4056622","0","","","","0","","873","274500","892","260840","","0","","","","","","","","","","1","","","","3000","0","","","","","Stimuli/Practice_stims/Final_decisions/debby-hudson-FmCSSSGge-0-unsplash.jpg","Stimuli/Practice_stims/Final_decisions/yassine-khalfalli-adsQ9d_Cx0c-unsplash.jpg","","","","","","","","","","","","","0","","","1","","","","","","","","","","","","","","",""
"","final_decisions_confirmation","","html-keyboard-response","1297","4058035","0.0-5.0-2.1-1.1-0.1","35","85508","female","null","","","","null","","0","","","4057514","0","","","","","","500","275373","521","261732","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","1298","4061067","0.0-5.0-2.1-3.1","35","85508","female","null","","","","null","","0","","","4058035","0","","","","","","3000","275873","3032","262253","3000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","1299","4062223","0.0-5.0-3.0-0.0","35","85508","female","1139","","","","68","","1","","","4061067","0","","","","0","","1139","278873","1156","265285","","1","","","","","","","","","","1","","","","1500","0","","","","","Stimuli/Practice_stims/Final_decisions/florian-wehde-iVW7mZPwd4g-unsplash.jpg","Stimuli/Practice_stims/Final_decisions/patrick-perkins-3wylDrjxH-E-unsplash.jpg","","","","","","","","","","","","","0","","","0","","","","","","","","","","","","","","",""
"","final_decisions_confirmation","","html-keyboard-response","1300","4062744","0.0-5.0-3.0-1.0-0.0","35","85508","female","null","","","","null","","1","","","4062223","0","","","","","","500","280012","521","266441","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","1301","4064263","0.0-5.0-3.0-3.0","35","85508","female","null","","","","null","","1","","","4062744","0","","","","","","1500","280512","1519","266962","1500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","1302","4065573","0.0-5.0-4.0-0.0","35","85508","female","1294","","","","75","","2","","","4064263","0","","","","0","","1294","282012","1310","268481","","0","","","","","","","","","","1","","","","2000","0","","","","","Stimuli/Practice_stims/Final_decisions/debby-hudson-FmCSSSGge-0-unsplash.jpg","Stimuli/Practice_stims/Final_decisions/florian-wehde-iVW7mZPwd4g-unsplash.jpg","","","","","","","","","","","","","0","","","1","","","","","","","","","","","","","","",""
"","final_decisions_confirmation","","html-keyboard-response","1303","4066100","0.0-5.0-4.0-1.0-0.0","35","85508","female","null","","","","null","","2","","","4065573","0","","","","","","500","283306","527","269791","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","iti_final_decisions","","html-keyboard-response","1304","4068129","0.0-5.0-4.0-3.0","35","85508","female","null","","","","null","","2","","","4066100","0","","","","","","2000","283806","2029","270318","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","final_decisions","","html-keyboard-response","1305","4069690","0.0-5.0-5.0-0.0","35","85508","female","1543","","","","68","","3","","","4068129","0","","","","0","","1543","285806","1561","272347","","1","","","","","","","","","","1","","","","1000","0","","","","","Stimuli/Practice_stims/Final_decisions/yassine-khalfalli-adsQ9d_Cx0c-unsplash.jpg","Stimuli/Practice_stims/Final_decisions/debby-hudson-FmCSSSGge-0-unsplash.jpg","","","","","","","","","","","","","0","","","0","","","","","","","","","","","","","","",""
"","final_decisions_confirmation","","html-keyboard-response","1306","4070210","0.0-5.0-5.0-1.0-0.0","35","85508","female","null","","","","null","","3","","","4069690","0","","","","","","500","287349","520","273908","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
