"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","age","PID","gender","rt","responses","view_history","repeat_instructions","key_press","response","index","stimulus_index","path","run","task","isi","is_odd_ball","no_response","acc","duration","onset"
"true","full_screen","d07072023hr1541","fullscreen","0","1885","0.0-0.0-0.0","23","15606","2","","","","","","","","","","","","","","","","",""
"","get_id","","survey-text","1","7036","0.0-0.0-1.0","23","15606","2","5146","{""Q0"":""23"",""Q1"":""2""}","","","","","","","","","","","","","","",""
"","ratings_instructions","","instructions","2","8649","0.0-1.0-0.0-0.0","23","15606","2","1276","","[{""page_index"":0,""viewing_time"":1103},{""page_index"":1,""viewing_time"":173}]","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","3","11612","0.0-1.0-0.0-1.0","23","15606","2","2957","{""Q0"":""True"",""Q1"":""Mouse""}","","0","","","","","","","","","","","","",""
"","","","html-keyboard-response","4","12658","0.0-1.0-1.0","23","15606","2","1040","","","","68","","","","","","","","","","","",""
"","rating","","html-slider-response","5","13777","0.0-1.0-2.0","23","15606","2","1114","","","","","50","0","11","Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","6","13946","0.0-1.0-3.0","23","15606","2","164","","","","","50","1","37","Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","7","14188","0.0-1.0-4.0","23","15606","2","237","","","","","50","2","43","Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","8","14360","0.0-1.0-5.0","23","15606","2","167","","","","","50","3","45","Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","9","14530","0.0-1.0-6.0","23","15606","2","165","","","","","50","4","1","Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","10","14702","0.0-1.0-7.0","23","15606","2","166","","","","","50","5","4","Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","11","14874","0.0-1.0-8.0","23","15606","2","167","","","","","50","6","35","Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","12","15058","0.0-1.0-9.0","23","15606","2","179","","","","","50","7","24","Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","13","15228","0.0-1.0-10.0","23","15606","2","165","","","","","50","8","6","Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","14","15400","0.0-1.0-11.0","23","15606","2","167","","","","","50","9","3","Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","15","15584","0.0-1.0-12.0","23","15606","2","179","","","","","50","10","5","Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","16","15744","0.0-1.0-13.0","23","15606","2","155","","","","","50","11","25","Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","17","15912","0.0-1.0-14.0","23","15606","2","164","","","","","50","12","21","Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","18","16098","0.0-1.0-15.0","23","15606","2","181","","","","","50","13","40","Stimuli/Experimental_stims/objects/fabian-blank-pElSkGRA2NU-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","19","16282","0.0-1.0-16.0","23","15606","2","179","","","","","50","14","46","Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","20","16464","0.0-1.0-17.0","23","15606","2","177","","","","","50","15","34","Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","21","16647","0.0-1.0-18.0","23","15606","2","176","","","","","50","16","32","Stimuli/Experimental_stims/body_parts/towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","22","16820","0.0-1.0-19.0","23","15606","2","169","","","","","50","17","18","Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","23","17014","0.0-1.0-20.0","23","15606","2","188","","","","","50","18","22","Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","24","17209","0.0-1.0-21.0","23","15606","2","189","","","","","50","19","33","Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","25","17392","0.0-1.0-22.0","23","15606","2","178","","","","","50","20","47","Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","26","17562","0.0-1.0-23.0","23","15606","2","165","","","","","50","21","20","Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","27","17756","0.0-1.0-24.0","23","15606","2","189","","","","","50","22","19","Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg","","","","","","","",""
"","rating","","html-slider-response","28","17928","0.0-1.0-25.0","23","15606","2","167","","","","","50","23","42","Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg","","","","","","","",""
