"PID","trial","pair_id","stim_type","practice","run","block","left_category","right_category","left_stimulus","right_stimulus","left_path","right_path","left_rating","right_rating","iti","scramble_screen_time","scramble_instructed_side","scramble_acc","no_response","rt","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_path","unchosen_path"
NA,32,"K","original",0,1,2,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,33,"G","original",0,1,2,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,34,"H","scramble",0,1,2,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,3000,1600,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,35,"C","scramble",0,1,2,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,1500,1000,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,36,"H","original",0,1,2,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,37,"C","original",0,1,2,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,3500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,38,"L","original",0,1,2,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,39,"K","scramble",0,1,2,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,1500,1700,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,40,"D","scramble",0,1,2,"objects","faces",NA,NA,"NaN","NaN",NA,NA,1000,1400,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,41,"I","original",0,1,2,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,42,"I","scramble",0,1,2,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,1400,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,43,"E","original",0,1,2,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,44,"A","original",0,1,2,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,45,"F","original",0,1,2,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,46,"D","original",0,1,2,"objects","faces",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,47,"J","original",0,1,2,"faces","objects",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,48,"L","scramble",0,1,2,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,3000,1500,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,49,"A","scramble",0,1,2,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,1500,1000,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,50,"J","scramble",0,1,2,"faces","objects",NA,NA,"NaN","NaN",NA,NA,2000,1700,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,51,"F","scramble",0,1,2,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,1100,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,52,"G","scramble",0,1,2,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,1800,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,53,"A","scramble",0,2,3,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,1000,1100,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,54,"I","scramble",0,2,3,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,900,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,55,"E","original",0,2,3,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,56,"G","scramble",0,2,3,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,700,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,57,"L","original",0,2,3,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,58,"C","scramble",0,2,3,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,1100,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,59,"J","original",0,2,3,"faces","objects",NA,NA,"NaN","NaN",NA,NA,3500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,60,"I","original",0,2,3,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,61,"K","scramble",0,2,3,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,1500,1700,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,62,"D","original",0,2,3,"objects","faces",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,63,"B","scramble",0,2,3,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,3000,500,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,64,"L","scramble",0,2,3,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,1500,700,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,65,"C","original",0,2,3,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,66,"F","scramble",0,2,3,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,3000,300,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,67,"H","scramble",0,2,3,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1500,1300,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,68,"G","original",0,2,3,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,69,"A","original",0,2,3,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,70,"J","scramble",0,2,3,"faces","objects",NA,NA,"NaN","NaN",NA,NA,1000,1000,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,71,"B","original",0,2,3,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,72,"E","scramble",0,2,3,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,3500,1500,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,73,"D","scramble",0,2,3,"objects","faces",NA,NA,"NaN","NaN",NA,NA,1000,1100,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,74,"H","original",0,2,3,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,75,"F","original",0,2,3,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,76,"K","original",0,2,3,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,77,"F","scramble",0,2,4,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,1000,1300,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,78,"H","original",0,2,4,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,79,"E","scramble",0,2,4,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,1300,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,80,"B","scramble",0,2,4,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,3000,1900,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,81,"F","original",0,2,4,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,82,"D","scramble",0,2,4,"objects","faces",NA,NA,"NaN","NaN",NA,NA,1500,1100,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,83,"L","scramble",0,2,4,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,1500,900,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,84,"C","original",0,2,4,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,85,"H","scramble",0,2,4,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,600,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,86,"A","original",0,2,4,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,87,"L","original",0,2,4,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,88,"J","original",0,2,4,"faces","objects",NA,NA,"NaN","NaN",NA,NA,3500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,89,"B","original",0,2,4,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,90,"I","original",0,2,4,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,91,"E","original",0,2,4,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,92,"C","scramble",0,2,4,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,1500,1600,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,93,"G","scramble",0,2,4,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,200,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,94,"I","scramble",0,2,4,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,1600,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,95,"K","scramble",0,2,4,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,3000,700,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,96,"G","original",0,2,4,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,97,"K","original",0,2,4,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,98,"J","scramble",0,2,4,"faces","objects",NA,NA,"NaN","NaN",NA,NA,1000,1300,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,99,"A","scramble",0,2,4,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,3500,1900,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,100,"D","original",0,2,4,"objects","faces",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
