"PID","trial","pair_id","stim_type","practice","run","block","left_category","right_category","left_stimulus","right_stimulus","left_path","right_path","left_rating","right_rating","iti","scramble_screen_time","scramble_instructed_side","scramble_acc","no_response","rt","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_path","unchosen_path"
NA,26,"J","original",0,1,1,"faces","objects",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,27,"L","original",0,1,1,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,28,"B","scramble",0,1,1,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,1000,1700,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,29,"I","scramble",0,1,2,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,1500,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,30,"G","original",0,1,2,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,31,"H","scramble",0,1,2,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,1600,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,32,"J","original",0,1,2,"faces","objects",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,33,"D","original",0,1,2,"objects","faces",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,34,"J","scramble",0,1,2,"faces","objects",NA,NA,"NaN","NaN",NA,NA,1500,1100,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,35,"B","scramble",0,1,2,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,1500,1400,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,36,"E","scramble",0,1,2,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,3500,1200,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,37,"L","original",0,1,2,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,38,"B","original",0,1,2,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,3500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,39,"H","original",0,1,2,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,40,"C","scramble",0,1,2,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,3000,1100,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,41,"C","original",0,1,2,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,42,"A","original",0,1,2,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,43,"A","scramble",0,1,2,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,3000,1300,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,44,"E","original",0,1,2,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,45,"L","scramble",0,1,2,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,2000,1300,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,46,"K","original",0,1,2,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,47,"I","original",0,1,2,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,48,"F","original",0,1,2,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,49,"D","scramble",0,1,2,"objects","faces",NA,NA,"NaN","NaN",NA,NA,1000,1100,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,50,"K","scramble",0,1,2,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,1000,600,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,51,"G","scramble",0,1,2,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1500,1900,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,52,"F","scramble",0,1,2,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,1700,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,53,"E","original",0,2,3,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,3500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,54,"C","original",0,2,3,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,55,"B","scramble",0,2,3,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,1000,1200,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,56,"G","original",0,2,3,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,57,"L","original",0,2,3,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,58,"K","original",0,2,3,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,59,"E","scramble",0,2,3,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,3000,1100,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,60,"B","original",0,2,3,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,61,"G","scramble",0,2,3,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,500,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,62,"H","scramble",0,2,3,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,700,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
