"","PID","trial","pair_id","stim_type","practice","run","block","left_category","right_category","left_stimulus","right_stimulus","left_path","right_path","left_rating","right_rating","iti","scramble_screen_time","scramble_instructed_side","scramble_acc","no_response","rt","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_path","unchosen_path","version"
"55",NA,55,"C","scramble",0,2,3,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,1000,1000,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"56",NA,56,"F","original",0,2,3,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,2500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"57",NA,57,"J","scramble",0,2,3,"faces","objects",NA,NA,"NaN","NaN",NA,NA,1000,700,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"58",NA,58,"D","original",0,2,3,"objects","faces",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"59",NA,59,"J","original",0,2,3,"faces","objects",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"60",NA,60,"G","scramble",0,2,3,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1500,1300,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"61",NA,61,"K","original",0,2,3,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"62",NA,62,"E","scramble",0,2,3,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,4500,900,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"63",NA,63,"A","scramble",0,2,3,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,2000,1400,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"64",NA,64,"B","original",0,2,3,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"65",NA,65,"E","original",0,2,3,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,2500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"66",NA,66,"I","scramble",0,2,3,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2500,1100,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"67",NA,67,"H","original",0,2,3,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"68",NA,68,"K","scramble",0,2,3,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,3500,900,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"69",NA,69,"A","original",0,2,3,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,6000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"70",NA,70,"D","scramble",0,2,3,"objects","faces",NA,NA,"NaN","NaN",NA,NA,1500,1500,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"71",NA,71,"L","original",0,2,3,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,2500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"72",NA,72,"B","scramble",0,2,3,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,3000,1400,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"73",NA,73,"I","original",0,2,3,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"74",NA,74,"F","scramble",0,2,3,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,1100,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"75",NA,75,"H","scramble",0,2,3,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,3500,1100,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"76",NA,76,"G","original",0,2,3,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"77",NA,77,"H","scramble",0,2,4,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,3500,1500,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"78",NA,78,"B","original",0,2,4,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"79",NA,79,"K","scramble",0,2,4,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,1500,100,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"80",NA,80,"C","original",0,2,4,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"81",NA,81,"J","scramble",0,2,4,"faces","objects",NA,NA,"NaN","NaN",NA,NA,4500,1300,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"82",NA,82,"C","scramble",0,2,4,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,1500,1000,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"83",NA,83,"E","original",0,2,4,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"84",NA,84,"H","original",0,2,4,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"85",NA,85,"A","scramble",0,2,4,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,2000,500,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"86",NA,86,"L","scramble",0,2,4,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,2500,500,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"87",NA,87,"G","original",0,2,4,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,5500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"88",NA,88,"A","original",0,2,4,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"89",NA,89,"G","scramble",0,2,4,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,3500,1100,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"90",NA,90,"I","scramble",0,2,4,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,700,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"91",NA,91,"F","original",0,2,4,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"92",NA,92,"B","scramble",0,2,4,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,2000,1000,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"93",NA,93,"K","original",0,2,4,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,3500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"94",NA,94,"I","original",0,2,4,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,4500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"95",NA,95,"F","scramble",0,2,4,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,200,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"96",NA,96,"L","original",0,2,4,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"97",NA,97,"D","scramble",0,2,4,"objects","faces",NA,NA,"NaN","NaN",NA,NA,5500,1500,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"98",NA,98,"J","original",0,2,4,"faces","objects",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"99",NA,99,"E","scramble",0,2,4,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,2500,1800,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
"100",NA,100,"D","original",0,2,4,"objects","faces",NA,NA,"NaN","NaN",NA,NA,2500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"a"
