"event","trial","time","PID"
"focus","0","0","SAcSz"
"fullscreenenter","0","22568","SAcSz"
"blur","71","1117801","SAcSz"
"focus","71","1121140","SAcSz"
"blur","71","1124285","SAcSz"
"focus","71","1126647","SAcSz"
"fullscreenexit","75","2180359","SAcSz"
"blur","75","2181954","SAcSz"
"focus","75","2216924","SAcSz"
"blur","446","3026040","SAcSz"
"focus","448","3042374","SAcSz"
"blur","928","3672769","SAcSz"
"focus","928","3746273","SAcSz"
"blur","1361","4925427","SAcSz"
"focus","1361","4932503","SAcSz"
"blur","1401","5212053","SAcSz"
"focus","1401","5231322","SAcSz"
"blur","1401","5233917","SAcSz"
"focus","1401","5244524","SAcSz"
