"event","trial","time","PID"
"blur","0","3558","c2yi6"
"focus","0","21793","c2yi6"
"fullscreenenter","0","31512","c2yi6"
"blur","83","718440","c2yi6"
"focus","83","718663","c2yi6"
"blur","83","738694","c2yi6"
"focus","83","738930","c2yi6"
"blur","90","811174","c2yi6"
"focus","90","811410","c2yi6"
"blur","90","812731","c2yi6"
"focus","90","812954","c2yi6"
"blur","131","1106031","c2yi6"
"focus","131","1106261","c2yi6"
"blur","1311","2963774","c2yi6"
"focus","1311","2964001","c2yi6"
"fullscreenexit","1312","2982250","c2yi6"
"blur","1312","2988794","c2yi6"
"focus","1312","2993976","c2yi6"
"blur","1312","3004051","c2yi6"
"focus","1312","3004804","c2yi6"
