"event","trial","time","PID"
"fullscreenenter","0","17483","sNtxH"
"blur","1","27374","sNtxH"
"focus","1","28806","sNtxH"
"blur","1","29502","sNtxH"
"focus","1","37630","sNtxH"
"blur","1","38935","sNtxH"
"focus","1","39729","sNtxH"
"blur","54","611044","sNtxH"
"focus","54","614441","sNtxH"
"blur","54","617389","sNtxH"
"focus","54","627067","sNtxH"
"blur","406","1702447","sNtxH"
"focus","406","1713063","sNtxH"
"blur","1059","2368228","sNtxH"
"focus","1059","2378497","sNtxH"
"blur","1216","2748123","sNtxH"
"focus","1216","2750428","sNtxH"
"blur","1219","2823023","sNtxH"
"focus","1219","2865342","sNtxH"
"blur","1275","3019237","sNtxH"
"focus","1275","3031179","sNtxH"
"blur","1327","3192431","sNtxH"
"focus","1327","3194144","sNtxH"
"blur","1330","3334383","sNtxH"
"focus","1330","3335943","sNtxH"
"blur","1331","3379819","sNtxH"
"focus","1331","3385699","sNtxH"
"blur","1331","3393762","sNtxH"
"focus","1331","3404818","sNtxH"
"blur","1331","3484669","sNtxH"
"focus","1331","3492527","sNtxH"
