"event","trial","time","PID"
"blur","0","0","UR7JL"
"focus","0","0","UR7JL"
"blur","0","0","UR7JL"
"focus","0","0","UR7JL"
"fullscreenenter","0","3831","UR7JL"
"fullscreenexit","41","179920","UR7JL"
"blur","41","189100","UR7JL"
"focus","41","191189","UR7JL"
"blur","42","201559","UR7JL"
"focus","42","204508","UR7JL"
"blur","42","213201","UR7JL"
"focus","42","561764","UR7JL"
"blur","45","571860","UR7JL"
"focus","45","578681","UR7JL"
"blur","45","580336","UR7JL"
"focus","45","613733","UR7JL"
"blur","77","821069","UR7JL"
"focus","77","844933","UR7JL"
"blur","329","1355686","UR7JL"
"focus","329","1388997","UR7JL"
"blur","402","1493908","UR7JL"
"focus","402","1497868","UR7JL"
"blur","1170","2300892","UR7JL"
"focus","1170","2303802","UR7JL"
"blur","1179","2320888","UR7JL"
"focus","1179","2328014","UR7JL"
"blur","1216","2429886","UR7JL"
"focus","1217","2433657","UR7JL"
"blur","1219","2437101","UR7JL"
"focus","1219","2468666","UR7JL"
"blur","1316","2659195","UR7JL"
"focus","1316","2666827","UR7JL"
"blur","1319","2714841","UR7JL"
"focus","1319","2725710","UR7JL"
"blur","1321","2753706","UR7JL"
"focus","1321","2757988","UR7JL"
