"event","trial","time","PID"
"fullscreenenter","0","9646","DYGU0"
"blur","11","67484","DYGU0"
"focus","11","70805","DYGU0"
"fullscreenexit","20","110877","DYGU0"
"blur","1352","2368104","DYGU0"
"focus","1352","2370532","DYGU0"
"blur","1352","2371802","DYGU0"
"focus","1352","2377708","DYGU0"
"blur","1352","2386450","DYGU0"
"focus","1352","2392022","DYGU0"
