"event","trial","time","PID"
"fullscreenenter","0","46060","6mfmY"
"blur","99","697219","6mfmY"
"focus","99","698192","6mfmY"
"blur","99","699664","6mfmY"
"focus","99","703909","6mfmY"
"blur","1343","2474630","6mfmY"
