,PID,practice,trial,block,run,gain_left,left_item_id,right_item_id,left_pair_id,right_pair_id,left_stimulus,right_stimulus,left_category,right_category,left_rating,right_rating,left_path,right_path,no_response,left_chosen,rt,higher_outcome_chosen,choice_type,chosen_stimulus,unchosen_stimulus,chosen_category,unchosen_category,iti,long_iti,simulation,version
140,30126,0,141,2,2,1,gain3,no_gain2,B,L,11,18,outdoor_scenes,faces,78,43,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,0,0,838,0,unchosen,18,11,faces,outdoor_scenes,1200,0,9,3
141,30126,0,142,2,2,0,no_gain2,gain1,L,G,18,3,faces,outdoor_scenes,43,59,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,0,1,872,0,unchosen,18,3,faces,outdoor_scenes,4600,1,9,3
142,30126,0,143,2,2,1,gain6,no_gain6,C,E,0,46,outdoor_scenes,objects,69,46,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,0,1,1271,1,chosen,0,46,outdoor_scenes,objects,2000,0,9,3
143,30126,0,144,2,2,1,gain4,no_gain4,D,A,22,2,faces,outdoor_scenes,46,72,Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,0,1,1095,1,unchosen,22,2,faces,outdoor_scenes,1700,0,9,3
144,30126,0,145,2,2,1,gain6,no_gain1,C,H,34,14,body_parts,faces,15,19,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,0,0,1264,0,unchosen,14,34,faces,body_parts,1300,0,9,3
145,30126,0,146,2,2,0,no_gain2,gain4,L,D,27,47,body_parts,objects,75,56,Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,0,1,1009,0,chosen,27,47,body_parts,objects,1300,0,9,3
146,30126,0,147,2,2,1,gain5,no_gain2,F,L,17,18,faces,faces,32,43,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,0,0,1122,0,unchosen,18,17,faces,faces,1600,0,9,3
147,30126,0,148,2,2,1,gain2,no_gain3,K,I,26,35,body_parts,body_parts,41,42,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,0,1,693,1,chosen,26,35,body_parts,body_parts,2900,0,9,3
148,30126,0,149,3,3,0,no_gain1,gain2,H,K,14,42,faces,objects,19,21,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,0,1,892,0,unchosen,14,42,faces,objects,2500,0,3,3
149,30126,0,150,3,3,0,no_gain2,gain5,L,F,27,24,body_parts,body_parts,75,42,Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,0,0,794,1,chosen,24,27,body_parts,body_parts,1500,0,3,3
150,30126,0,151,3,3,0,no_gain5,gain1,J,G,20,3,faces,outdoor_scenes,44,59,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,0,1,876,0,unchosen,20,3,faces,outdoor_scenes,1000,0,3,3
