,PID,trial,pair_id,stim_type,practice,run,block,left_category,right_category,left_stimulus,right_stimulus,left_path,right_path,left_rating,right_rating,iti,scramble_screen_time,scramble_instructed_side,scramble_acc,no_response,rt,left_chosen,chosen_stimulus,unchosen_stimulus,chosen_category,unchosen_category,chosen_rating,unchosen_rating,chosen_path,unchosen_path,long_iti,simulation,version
0,53808,1,prac1,original,1,0,0,,,,,Stimuli/Practice_stims/Deliberation/anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg,Stimuli/Practice_stims/Deliberation/becca-tapert-sY5RjMB1KkE-unsplash.jpg,,,1500,0,,NaN,0,2850,1,,,,,,,Stimuli/Practice_stims/Deliberation/anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg,Stimuli/Practice_stims/Deliberation/becca-tapert-sY5RjMB1KkE-unsplash.jpg,0,3,1
1,53808,2,prac2,scramble,1,0,0,,,,,Stimuli/Practice_stims/Deliberation/scramble/scrambled_clay-banks-1KPfcPdbWFM-unsplash.jpg,Stimuli/Practice_stims/Deliberation/scramble/scrambled_melissa-keizer-sV4Pd8wq5_o-unsplash.jpg,,,2500,2500,left,1,0,217,1,,,,,NaN,NaN,Stimuli/Practice_stims/Deliberation/scramble/scrambled_clay-banks-1KPfcPdbWFM-unsplash.jpg,Stimuli/Practice_stims/Deliberation/scramble/scrambled_melissa-keizer-sV4Pd8wq5_o-unsplash.jpg,0,3,1
2,53808,3,prac3,scramble,1,0,0,,,,,Stimuli/Practice_stims/Deliberation/scramble/scrambled_anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg,Stimuli/Practice_stims/Deliberation/scramble/scrambled_becca-tapert-sY5RjMB1KkE-unsplash.jpg,,,3000,1500,right,0,0,180,1,,,,,NaN,NaN,Stimuli/Practice_stims/Deliberation/scramble/scrambled_anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg,Stimuli/Practice_stims/Deliberation/scramble/scrambled_becca-tapert-sY5RjMB1KkE-unsplash.jpg,0,3,1
3,53808,4,prac4,original,1,0,0,,,,,Stimuli/Practice_stims/Deliberation/clay-banks-1KPfcPdbWFM-unsplash.jpg,Stimuli/Practice_stims/Deliberation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg,,,2000,0,,NaN,0,1881,1,,,,,,,Stimuli/Practice_stims/Deliberation/clay-banks-1KPfcPdbWFM-unsplash.jpg,Stimuli/Practice_stims/Deliberation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg,0,3,1
4,53808,5,L,original,0,1,1,body_parts,faces,26,23,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,100,100,2000,0,,NaN,0,1085,1,26,23,body_parts,faces,100,100,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,0,3,1
5,53808,6,K,scramble,0,1,1,body_parts,objects,25,36,Stimuli/Experimental_stims/scramble/body_parts/scrambled_engin-akyurt-Q2rfH3GW39c-unsplash.jpg,Stimuli/Experimental_stims/scramble/objects/scrambled_alexander-andrews-JYGnB9gTCls-unsplash.jpg,NaN,NaN,1400,1800,left,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3,1
6,53808,7,K,original,0,1,1,body_parts,objects,25,36,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,100,100,1700,0,,NaN,0,756,1,25,36,body_parts,objects,100,100,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,0,3,1
7,53808,8,C,scramble,0,1,1,outdoor_scenes,body_parts,3,33,Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_henry-be-NLF6hTe4PAg-unsplash.jpg,Stimuli/Experimental_stims/scramble/body_parts/scrambled_tucker-good-36skLT5jZcc-unsplash.jpg,NaN,NaN,2100,1500,right,0,0,120,1,3,33,outdoor_scenes,body_parts,NaN,NaN,Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_henry-be-NLF6hTe4PAg-unsplash.jpg,Stimuli/Experimental_stims/scramble/body_parts/scrambled_tucker-good-36skLT5jZcc-unsplash.jpg,0,3,1
8,53808,9,I,original,0,1,1,body_parts,outdoor_scenes,30,1,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,100,100,3600,0,,NaN,0,161,1,30,1,body_parts,outdoor_scenes,100,100,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,1,3,1
9,53808,10,F,original,0,1,1,faces,body_parts,19,31,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,100,100,2500,0,,NaN,0,210,1,19,31,faces,body_parts,100,100,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,0,3,1
10,53808,11,J,scramble,0,1,1,faces,objects,22,41,Stimuli/Experimental_stims/scramble/faces/scrambled_ravi-patel-VMGAbeeJTKo-unsplash.jpg,Stimuli/Experimental_stims/scramble/objects/scrambled_insung-yoon-w2JtIQQXoRU-unsplash.jpg,NaN,NaN,1100,1300,right,0,0,29,1,22,41,faces,objects,NaN,NaN,Stimuli/Experimental_stims/scramble/faces/scrambled_ravi-patel-VMGAbeeJTKo-unsplash.jpg,Stimuli/Experimental_stims/scramble/objects/scrambled_insung-yoon-w2JtIQQXoRU-unsplash.jpg,0,3,1
