PID,trial,rt,old_rating,new_rating,stimulus_index,type,category,stimulus,path,iti
222,1,843,NA,50,23,original,outdoor_scenes,yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg,NaN
222,2,164,NA,50,48,original,objects,alexander-andrews-JYGnB9gTCls-unsplash.jpg,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,NaN
222,3,266,NA,50,58,original,objects,mockup-graphics-PNsj6RiHAF4-unsplash.jpg,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,NaN
222,4,176,NA,50,56,original,objects,jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,NaN
222,5,167,NA,50,85,scramble,faces,scrambled_aiony-haust-jmATI5Q_YgY-unsplash.jpg,Stimuli/Experimental_stims/scramble/faces/scrambled_aiony-haust-jmATI5Q_YgY-unsplash.jpg,NaN
222,6,166,NA,50,91,scramble,faces,scrambled_jessica-radanavong-mrYkTuAesKE-unsplash.jpg,Stimuli/Experimental_stims/scramble/faces/scrambled_jessica-radanavong-mrYkTuAesKE-unsplash.jpg,NaN
222,7,166,NA,50,26,original,faces,art-hauntington-jzY0KRJopEI-unsplash.jpg,Stimuli/Experimental_stims/faces/art-hauntington-jzY0KRJopEI-unsplash.jpg,NaN
222,8,164,NA,50,82,scramble,outdoor_scenes,scrambled_stephen-leonardi-gyIRjKPXupE-unsplash.jpg,Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_stephen-leonardi-gyIRjKPXupE-unsplash.jpg,NaN
222,9,344,NA,50,42,original,body_parts,lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg,Stimuli/Experimental_stims/body_parts/lucrezia-carnelos-kn6QrWtnAtY-unsplash.jpg,NaN
222,10,236,NA,50,100,scramble,body_parts,scrambled_klara-kulikova-TcUfF24fUMY-unsplash.jpg,Stimuli/Experimental_stims/scramble/body_parts/scrambled_klara-kulikova-TcUfF24fUMY-unsplash.jpg,NaN
222,11,217,NA,50,51,original,objects,art-lasovsky-8XddFc6NkBY-unsplash.jpg,Stimuli/Experimental_stims/objects/art-lasovsky-8XddFc6NkBY-unsplash.jpg,NaN
222,12,200,NA,50,16,original,outdoor_scenes,jarrett-kow-1ZOyYPOBn7I-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg,NaN
222,13,214,NA,50,108,scramble,objects,scrambled_alexander-andrews-JYGnB9gTCls-unsplash.jpg,Stimuli/Experimental_stims/scramble/objects/scrambled_alexander-andrews-JYGnB9gTCls-unsplash.jpg,NaN
222,14,242,NA,50,22,original,outdoor_scenes,stephen-leonardi-gyIRjKPXupE-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,NaN
222,15,234,NA,50,73,scramble,outdoor_scenes,scrambled_ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,NaN
222,16,520,NA,50,79,scramble,outdoor_scenes,scrambled_petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,NaN
222,17,404,NA,50,78,scramble,outdoor_scenes,scrambled_meng-ji-8BH_M-53CyA-unsplash.jpg,Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_meng-ji-8BH_M-53CyA-unsplash.jpg,NaN
222,18,422,NA,50,34,original,faces,olena-sergienko-0TSd6uCKTKc-unsplash.jpg,Stimuli/Experimental_stims/faces/olena-sergienko-0TSd6uCKTKc-unsplash.jpg,NaN
222,19,344,NA,50,29,original,faces,freddy-kearney-o-ioeoATbIM-unsplash.jpg,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,NaN
222,20,300,NA,50,12,original,outdoor_scenes,aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,NaN
222,21,276,NA,50,111,scramble,objects,scrambled_art-lasovsky-8XddFc6NkBY-unsplash.jpg,Stimuli/Experimental_stims/scramble/objects/scrambled_art-lasovsky-8XddFc6NkBY-unsplash.jpg,NaN
222,22,478,NA,50,36,original,body_parts,callum-skelton-3KLMq7y46nA-unsplash.jpg,Stimuli/Experimental_stims/body_parts/callum-skelton-3KLMq7y46nA-unsplash.jpg,NaN
222,23,322,NA,50,77,scramble,outdoor_scenes,scrambled_jeff-king-bJHWJeiHfHc-unsplash.jpg,Stimuli/Experimental_stims/scramble/outdoor_scenes/scrambled_jeff-king-bJHWJeiHfHc-unsplash.jpg,NaN
222,24,556,NA,50,41,original,body_parts,lucaxx-freire-CacZwMexYdk-unsplash.jpg,Stimuli/Experimental_stims/body_parts/lucaxx-freire-CacZwMexYdk-unsplash.jpg,NaN
222,25,411,NA,50,101,scramble,body_parts,scrambled_lucaxx-freire-CacZwMexYdk-unsplash.jpg,Stimuli/Experimental_stims/scramble/body_parts/scrambled_lucaxx-freire-CacZwMexYdk-unsplash.jpg,NaN
