,Unnamed: 0,corr,simulation,version,run
18,18,0.0328705725193436,19,1,1
86,86,0.0211412913932523,7,1,2
22,22,0.0324335340807168,3,2,1
108,108,0.0611722631359637,9,2,2
59,59,0.0822350434182528,20,3,1
135,135,0.0546004482148816,16,3,2
66,66,0.050283847693027,7,4,1
144,144,0.0505486681795132,5,4,2
