,Unnamed: 0,intact,intact_derivative,recombined,recombined_derivative,.5*intact + .5*recombined,intact - recombined,simulation,version,run
1,1,1.938798559135097,3.1750349274156706,1.9393141535836,3.194428807280989,1.1078504145476893,1.0009571166403997,2,1,1
230,230,1.5043823357961603,2.5046335660854373,1.4988772893102869,2.5076627943059764,1.0214351734083995,1.0013216729709824,31,1,2
61,61,1.8173025002261,2.4171010161959297,1.8316217579440384,2.400843800613698,1.0453435071008532,1.0009710246708878,12,2,1
286,286,1.7253190735466024,4.199947661733001,1.7543064078373791,4.174070575581321,1.0834166448510167,1.0018330763178032,37,2,2
119,119,1.813734836216281,2.5364217639344755,1.814090072892535,2.535383378346055,1.0368280227610926,1.000314516358582,20,3,1
318,318,1.877640769856052,2.2717619585239297,1.8873347334499664,2.2648693780765994,1.145531922069179,1.000626457958954,19,3,2
179,179,1.43772240671385,3.2563351174925343,1.4368468936450076,3.264783661409644,1.1245571213787653,1.000800604275473,30,4,1
386,386,1.4833291124642127,2.3070889885997627,1.478126430316964,2.310205268500916,1.03361398496198,1.0007618653155164,37,4,2
