"","index","phase","scramble","category","path"
"1",1,"Deliberation",0,"practice","Stimuli/Practice_stims/Deliberation/anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg"
"2",2,"Deliberation",0,"practice","Stimuli/Practice_stims/Deliberation/becca-tapert-sY5RjMB1KkE-unsplash.jpg"
"3",3,"Deliberation",0,"practice","Stimuli/Practice_stims/Deliberation/clay-banks-1KPfcPdbWFM-unsplash.jpg"
"4",4,"Deliberation",0,"practice","Stimuli/Practice_stims/Deliberation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg"
"5",5,"Deliberation",1,"practice","Stimuli/Practice_stims/Deliberation/scramble/scrambled_anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg"
"6",6,"Deliberation",1,"practice","Stimuli/Practice_stims/Deliberation/scramble/scrambled_becca-tapert-sY5RjMB1KkE-unsplash.jpg"
"7",7,"Deliberation",1,"practice","Stimuli/Practice_stims/Deliberation/scramble/scrambled_clay-banks-1KPfcPdbWFM-unsplash.jpg"
"8",8,"Deliberation",1,"practice","Stimuli/Practice_stims/Deliberation/scramble/scrambled_melissa-keizer-sV4Pd8wq5_o-unsplash.jpg"
"9",9,"Final_decisions",0,"practice","Stimuli/Practice_stims/Final_decisions/debby-hudson-FmCSSSGge-0-unsplash.jpg"
"10",10,"Final_decisions",0,"practice","Stimuli/Practice_stims/Final_decisions/florian-wehde-iVW7mZPwd4g-unsplash.jpg"
"11",11,"Final_decisions",0,"practice","Stimuli/Practice_stims/Final_decisions/patrick-perkins-3wylDrjxH-E-unsplash.jpg"
"12",12,"Final_decisions",0,"practice","Stimuli/Practice_stims/Final_decisions/yassine-khalfalli-adsQ9d_Cx0c-unsplash.jpg"
"13",13,"Localizer",0,"practice","Stimuli/Practice_stims/Localizer/annie-spratt-g9KFpAfQ5bc-unsplash.jpg"
"14",14,"Localizer",0,"practice","Stimuli/Practice_stims/Localizer/becca-tapert-sY5RjMB1KkE-unsplash.jpg"
"15",15,"Localizer",0,"practice","Stimuli/Practice_stims/Localizer/charl-durand-bsfXvI25iNg-unsplash.jpg"
"16",16,"Localizer",0,"practice","Stimuli/Practice_stims/Localizer/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg"
"17",17,"Localizer",0,"practice","Stimuli/Practice_stims/Localizer/randy-fath-epf1tdtIIkM-unsplash.jpg"
"18",18,"Localizer",0,"practice","Stimuli/Practice_stims/Localizer/yassine-khalfalli-adsQ9d_Cx0c-unsplash.jpg"
"19",19,"Memory",0,"practice","Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg"
"20",20,"Memory",0,"practice","Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg"
"21",21,"Memory",0,"practice","Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg"
"22",22,"Outcome_estimation",0,"practice","Stimuli/Practice_stims/Outcome_estimation/becca-tapert-sY5RjMB1KkE-unsplash.jpg"
"23",23,"Outcome_estimation",0,"practice","Stimuli/Practice_stims/Outcome_estimation/clay-banks-1KPfcPdbWFM-unsplash.jpg"
"24",24,"Outcome_estimation",0,"practice","Stimuli/Practice_stims/Outcome_estimation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg"
"25",25,"Outcome_learning",0,"practice","Stimuli/Practice_stims/Outcome_learning/nizar-albusaidy-B2r2SWAf5CE-unsplash.jpg"
"26",26,"Outcome_learning",0,"practice","Stimuli/Practice_stims/Outcome_learning/randy-fath-epf1tdtIIkM-unsplash.jpg"
