,PID,practice,run,block,trial,iti,pair_id,choice_type,reward_type,stimulus_id,path,outcome_response,outcome_rt,outcome_acc,confidence_response,confidence_rt,long_iti,simulation,version,no_response
0,77890,1,0,0,1,1500,,,,,Stimuli/Practice_stims/Outcome_estimation/becca-tapert-sY5RjMB1KkE-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
1,77890,1,0,0,2,1000,,,,,Stimuli/Practice_stims/Outcome_estimation/clay-banks-1KPfcPdbWFM-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
2,77890,1,0,0,3,3000,,,,,Stimuli/Practice_stims/Outcome_estimation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
3,77890,0,1,1,4,1900,G,unchosen,no_gain,41,Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
4,77890,0,1,1,5,1200,G,chosen,no_gain,8,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
5,77890,0,1,1,6,1200,C,chosen,gain,26,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
6,77890,0,1,1,7,2100,J,unchosen,no_gain,20,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
7,77890,0,1,1,8,2600,D,unchosen,gain,46,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
8,77890,0,1,1,9,1100,I,chosen,no_gain,10,Stimuli/Experimental_stims/outdoor_scenes/shannon-kunkle-dM8INmkyDas-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
9,77890,0,1,1,10,3400,H,unchosen,gain,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,NaN,NaN,0,,,1,43,3,1
10,77890,0,1,1,11,1300,D,chosen,gain,22,Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
11,77890,0,1,1,12,1300,I,unchosen,no_gain,25,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
12,77890,0,1,1,13,2900,C,unchosen,gain,2,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
13,77890,0,1,1,14,1200,K,chosen,gain,47,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
14,77890,0,1,1,15,4100,K,unchosen,gain,35,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,NaN,NaN,0,,,1,43,3,1
15,77890,0,1,1,16,1400,E,chosen,no_gain,29,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
16,77890,0,1,1,17,1300,F,unchosen,gain,19,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
17,77890,0,1,1,18,1900,B,unchosen,no_gain,4,Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
18,77890,0,1,1,19,1200,A,chosen,gain,37,Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
19,77890,0,1,1,20,2100,F,chosen,gain,33,Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
20,77890,0,1,1,21,3500,A,unchosen,gain,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,NaN,NaN,0,,,1,43,3,1
21,77890,0,1,1,22,2000,L,chosen,no_gain,14,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
22,77890,0,1,1,23,1300,H,chosen,gain,3,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
23,77890,0,1,1,24,2900,E,unchosen,no_gain,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
24,77890,0,1,1,25,1600,B,chosen,no_gain,17,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
25,77890,0,1,1,26,3500,J,chosen,no_gain,42,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,NaN,NaN,0,,,1,43,3,1
26,77890,0,1,1,27,1000,L,unchosen,no_gain,28,Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
27,77890,0,1,2,28,1500,J,unchosen,no_gain,20,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
28,77890,0,1,2,29,1700,E,chosen,no_gain,29,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
29,77890,0,1,2,30,1000,D,unchosen,gain,46,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
30,77890,0,1,2,31,2500,K,chosen,gain,47,Stimuli/Experimental_stims/objects/ronaldo-arthur-vidal-Cdz_lvnl37k-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
31,77890,0,1,2,32,4300,G,chosen,no_gain,8,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,NaN,NaN,0,,,1,43,3,1
32,77890,0,1,2,33,1300,B,unchosen,no_gain,4,Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
33,77890,0,1,2,34,1900,H,unchosen,gain,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
34,77890,0,1,2,35,1500,F,chosen,gain,33,Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
35,77890,0,1,2,36,2200,C,unchosen,gain,2,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
36,77890,0,1,2,37,1200,A,unchosen,gain,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
37,77890,0,1,2,38,1300,L,chosen,no_gain,14,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
38,77890,0,1,2,39,1100,C,chosen,gain,26,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
39,77890,0,1,2,40,3300,K,unchosen,gain,35,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,NaN,NaN,0,,,1,43,3,1
40,77890,0,1,2,41,1200,L,unchosen,no_gain,28,Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
41,77890,0,1,2,42,1700,D,chosen,gain,22,Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
42,77890,0,1,2,43,1200,E,unchosen,no_gain,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
43,77890,0,1,2,44,3000,I,unchosen,no_gain,25,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
44,77890,0,1,2,45,3700,H,chosen,gain,3,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,NaN,NaN,0,,,1,43,3,1
45,77890,0,1,2,46,1300,G,unchosen,no_gain,41,Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
46,77890,0,1,2,47,1200,B,chosen,no_gain,17,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
47,77890,0,1,2,48,1500,I,chosen,no_gain,10,Stimuli/Experimental_stims/outdoor_scenes/shannon-kunkle-dM8INmkyDas-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
48,77890,0,1,2,49,2900,F,unchosen,gain,19,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
49,77890,0,1,2,50,1700,A,chosen,gain,37,Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg,NaN,NaN,0,,,0,43,3,1
50,77890,0,1,2,51,3800,J,chosen,no_gain,42,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,NaN,NaN,0,,,1,43,3,1
51,77890,0,1,3,52,3000,I,unchosen,no_gain,25,Stimuli/Experimental_stims/body_parts/engin-akyurt-Q2rfH3GW39c-unsplash.jpg,NaN,NaN,0,,,1,1,3,1
52,77890,0,1,3,53,2500,D,chosen,gain,22,Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg,NaN,NaN,0,,,0,1,3,1
53,77890,0,1,3,54,1100,C,chosen,gain,26,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,NaN,NaN,0,,,0,1,3,1
54,77890,0,1,3,55,1500,K,unchosen,gain,35,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,NaN,NaN,0,,,0,1,3,1
55,77890,0,1,3,56,2100,C,unchosen,gain,2,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,NaN,NaN,0,,,0,1,3,1
56,77890,0,1,3,57,2200,A,chosen,gain,37,Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg,NaN,NaN,0,,,0,1,3,1
57,77890,0,1,3,58,3200,J,unchosen,no_gain,20,Stimuli/Experimental_stims/faces/justin-chen-J7Cf1Gch49E-unsplash.jpg,NaN,NaN,0,,,1,1,3,1
58,77890,0,1,3,59,2500,J,chosen,no_gain,42,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,NaN,NaN,0,,,0,1,3,1
59,77890,0,1,3,60,1900,H,chosen,gain,3,Stimuli/Experimental_stims/outdoor_scenes/henry-be-NLF6hTe4PAg-unsplash.jpg,NaN,NaN,0,,,0,1,3,1
60,77890,0,1,3,61,2500,A,unchosen,gain,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,NaN,NaN,0,,,0,1,3,1
61,77890,0,1,3,62,1800,G,chosen,no_gain,8,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,NaN,NaN,0,,,0,1,3,1
62,77890,0,1,3,63,1800,F,chosen,gain,33,Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg,NaN,NaN,0,,,0,1,3,1
63,77890,0,1,3,64,1500,B,unchosen,no_gain,4,Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg,NaN,NaN,0,,,0,1,3,1
64,77890,0,1,3,65,3500,I,chosen,no_gain,10,Stimuli/Experimental_stims/outdoor_scenes/shannon-kunkle-dM8INmkyDas-unsplash.jpg,NaN,NaN,0,,,1,1,3,1
65,77890,0,1,3,66,2500,F,unchosen,gain,19,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,NaN,NaN,0,,,0,1,3,1
66,77890,0,1,3,67,1400,E,chosen,no_gain,29,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,NaN,NaN,0,,,0,1,3,1
67,77890,0,1,3,68,1100,E,unchosen,no_gain,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,NaN,NaN,0,,,0,1,3,1
68,77890,0,1,3,69,1200,L,chosen,no_gain,14,Stimuli/Experimental_stims/faces/david-siglin-UuW4psOb388-unsplash.jpg,NaN,NaN,0,,,0,1,3,1
69,77890,0,1,3,70,4400,D,unchosen,gain,46,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,NaN,NaN,0,,,1,1,3,1
70,77890,0,1,3,71,1100,G,unchosen,no_gain,41,Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg,NaN,NaN,0,,,0,1,3,1
71,77890,0,1,3,72,1100,B,chosen,no_gain,17,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,NaN,NaN,0,,,0,1,3,1
72,77890,0,1,3,73,1000,L,unchosen,no_gain,28,Stimuli/Experimental_stims/body_parts/ira-vishnevskaya-8DQAvdCby1I-unsplash.jpg,NaN,NaN,0,,,0,1,3,1
73,77890,0,1,3,74,1400,H,unchosen,gain,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,NaN,NaN,0,,,0,1,3,1
