,PID,practice,run,block,trial,iti,pair_id,choice_type,reward_type,stimulus_id,path,outcome_response,outcome_rt,outcome_acc,long_iti,simulation,version,no_response
29,56445,0,1,2,30,1900,F,chosen,no_gain,15,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,no_response,NaN,0,0,31,2,1
30,56445,0,1,2,31,1400,L,unchosen,gain,17,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,no_response,NaN,0,0,31,2,1
31,56445,0,1,2,32,1300,J,unchosen,no_gain,42,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,no_gain,0,1,0,31,2,0
32,56445,0,1,2,33,1500,D,chosen,gain,39,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,no_response,NaN,0,0,31,2,1
33,56445,0,1,2,34,1300,D,unchosen,gain,21,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,no_response,NaN,0,0,31,2,1
34,56445,0,1,2,35,1700,J,chosen,no_gain,13,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,no_response,NaN,0,0,31,2,1
35,56445,0,1,2,36,1100,H,chosen,gain,18,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,no_response,NaN,0,0,31,2,1
36,56445,0,1,2,37,3000,B,unchosen,gain,22,Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg,no_response,NaN,0,1,31,2,1
37,56445,0,1,2,38,1700,A,chosen,no_gain,8,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,no_gain,0,1,0,31,2,0
38,56445,0,1,2,39,2900,B,chosen,gain,6,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,no_response,NaN,0,0,31,2,1
39,56445,0,1,2,40,1100,I,unchosen,gain,4,Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg,no_response,NaN,0,0,31,2,1
40,56445,0,1,2,41,1800,E,chosen,no_gain,43,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,no_response,NaN,0,0,31,2,1
41,56445,0,1,2,42,1100,G,unchosen,gain,9,Stimuli/Experimental_stims/outdoor_scenes/sergey-pesterev-y-b_FOmJXdg-unsplash.jpg,no_response,NaN,0,0,31,2,1
42,56445,0,1,2,43,2200,L,chosen,gain,26,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,no_response,NaN,0,0,31,2,1
43,56445,0,1,2,44,1700,H,unchosen,gain,11,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,no_response,NaN,0,0,31,2,1
44,56445,0,1,2,45,1100,C,unchosen,no_gain,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,no_response,NaN,0,0,31,2,1
45,56445,0,1,2,46,3600,G,chosen,gain,36,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,no_response,NaN,0,1,31,2,1
46,56445,0,1,2,47,1800,K,unchosen,no_gain,40,Stimuli/Experimental_stims/objects/fabian-blank-pElSkGRA2NU-unsplash.jpg,no_response,NaN,0,0,31,2,1
47,56445,0,1,2,48,1500,A,unchosen,no_gain,46,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,no_response,NaN,0,0,31,2,1
48,56445,0,1,2,49,1700,I,chosen,gain,32,Stimuli/Experimental_stims/body_parts/towfiqu-barbhuiya-3AsiVDsZnHg-unsplash.jpg,no_response,NaN,0,0,31,2,1
49,56445,0,1,2,50,1400,F,unchosen,no_gain,24,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,no_response,NaN,0,0,31,2,1
50,56445,0,1,2,51,3100,C,chosen,no_gain,7,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,no_response,NaN,0,1,31,2,1
51,56445,0,1,3,52,2900,L,chosen,gain,26,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,no_response,NaN,0,1,21,2,1
52,56445,0,1,3,53,1500,C,unchosen,no_gain,30,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,no_response,NaN,0,0,21,2,1
53,56445,0,1,3,54,1700,F,chosen,no_gain,15,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,no_response,NaN,0,0,21,2,1
54,56445,0,1,3,55,2000,A,chosen,no_gain,8,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,no_response,NaN,0,0,21,2,1
