,PID,practice,run,block,trial,pair_type,old_pair,chosen_left,pair_id,chosen_id,iti,left_stimulus,right_stimulus,left_path,right_path,old_response,pair_acc,pair_rt,long_iti,simulation,version
0,,1,0,0,1,,,,,,1500,,,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,,,,,20,3
1,,1,0,0,2,,,,,,1000,,,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,,,,,20,3
2,,1,0,0,3,,,,,,3000,,,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,,,,,20,3
3,,0,1,1,4,recombined,0,1,,A,1600,,,,,,,,0,20,3
4,,0,1,1,5,intact,1,,J,J,2500,,,,,,,,0,20,3
5,,0,1,1,6,intact,1,,H,H,2600,,,,,,,,0,20,3
6,,0,1,1,7,recombined,0,1,,F,1600,,,,,,,,0,20,3
7,,0,1,1,8,recombined,0,0,,B,3100,,,,,,,,1,20,3
8,,0,1,1,9,intact,1,,E,E,2200,,,,,,,,0,20,3
9,,0,1,1,10,intact,1,,I,I,2800,,,,,,,,0,20,3
10,,0,1,1,11,recombined,0,1,,J,1300,,,,,,,,0,20,3
11,,0,1,1,12,intact,1,,C,C,1300,,,,,,,,0,20,3
12,,0,1,1,13,recombined,0,1,,K,3100,,,,,,,,1,20,3
13,,0,1,1,14,intact,1,,D,D,1300,,,,,,,,0,20,3
14,,0,1,1,15,recombined,0,0,,G,1700,,,,,,,,0,20,3
15,,0,1,1,16,intact,1,,F,F,1400,,,,,,,,0,20,3
16,,0,1,1,17,recombined,0,0,,E,2600,,,,,,,,0,20,3
17,,0,1,1,18,intact,1,,L,L,1800,,,,,,,,0,20,3
18,,0,1,1,19,intact,1,,K,K,1100,,,,,,,,0,20,3
19,,0,1,1,20,recombined,0,1,,L,3100,,,,,,,,1,20,3
20,,0,1,1,21,recombined,0,0,,I,2700,,,,,,,,0,20,3
21,,0,1,1,22,intact,1,,B,B,1400,,,,,,,,0,20,3
22,,0,1,1,23,recombined,0,0,,C,1000,,,,,,,,0,20,3
23,,0,1,1,24,recombined,0,0,,H,1000,,,,,,,,0,20,3
24,,0,1,1,25,intact,1,,A,A,1600,,,,,,,,0,20,3
25,,0,1,1,26,recombined,0,1,,D,3300,,,,,,,,1,20,3
26,,0,1,1,27,intact,1,,G,G,1000,,,,,,,,0,20,3
27,,0,1,2,28,intact,1,,B,B,2700,,,,,,,,0,20,3
28,,0,1,2,29,recombined,0,0,,H,1300,,,,,,,,0,20,3
29,,0,1,2,30,recombined,0,1,,J,1100,,,,,,,,0,20,3
