,PID,practice,run,block,trial,pair_type,old_pair,chosen_left,pair_id,chosen_id,iti,left_stimulus,right_stimulus,left_path,right_path,old_response,pair_acc,pair_rt,long_iti,simulation,version
0,,1,0,0,1,,,,,,1500,,,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,,,,,30,4
1,,1,0,0,2,,,,,,1000,,,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,,,,,30,4
2,,1,0,0,3,,,,,,3000,,,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,,,,,30,4
3,,0,1,1,4,intact,1,,H,H,3800,,,,,,,,1,30,4
4,,0,1,1,5,intact,1,,A,A,1300,,,,,,,,0,30,4
5,,0,1,1,6,recombined,0,1,,L,1400,,,,,,,,0,30,4
6,,0,1,1,7,intact,1,,J,J,1100,,,,,,,,0,30,4
7,,0,1,1,8,intact,1,,D,D,2700,,,,,,,,0,30,4
8,,0,1,1,9,recombined,0,1,,F,2800,,,,,,,,1,30,4
9,,0,1,1,10,recombined,0,0,,H,1200,,,,,,,,0,30,4
10,,0,1,1,11,intact,1,,G,G,1100,,,,,,,,0,30,4
11,,0,1,1,12,intact,1,,I,I,1200,,,,,,,,0,30,4
12,,0,1,1,13,recombined,0,0,,C,1300,,,,,,,,0,30,4
13,,0,1,1,14,intact,1,,K,K,2000,,,,,,,,0,30,4
14,,0,1,1,15,recombined,0,1,,A,2400,,,,,,,,0,30,4
15,,0,1,1,16,intact,1,,B,B,1400,,,,,,,,0,30,4
16,,0,1,1,17,recombined,0,1,,J,1300,,,,,,,,0,30,4
17,,0,1,1,18,recombined,0,0,,I,1900,,,,,,,,0,30,4
18,,0,1,1,19,intact,1,,F,F,3800,,,,,,,,1,30,4
19,,0,1,1,20,recombined,0,0,,E,2100,,,,,,,,0,30,4
20,,0,1,1,21,intact,1,,L,L,1600,,,,,,,,0,30,4
21,,0,1,1,22,recombined,0,1,,K,2000,,,,,,,,0,30,4
22,,0,1,1,23,intact,1,,C,C,1200,,,,,,,,0,30,4
23,,0,1,1,24,recombined,0,0,,B,1300,,,,,,,,0,30,4
24,,0,1,1,25,intact,1,,E,E,1200,,,,,,,,0,30,4
25,,0,1,1,26,recombined,0,0,,G,1100,,,,,,,,0,30,4
26,,0,1,1,27,recombined,0,1,,D,1900,,,,,,,,0,30,4
27,,0,1,2,28,intact,1,,F,F,1700,,,,,,,,0,30,4
28,,0,1,2,29,recombined,0,0,,F,2100,,,,,,,,0,30,4
29,,0,1,2,30,recombined,0,0,,E,2000,,,,,,,,0,30,4
30,,0,1,2,31,intact,1,,D,D,3300,,,,,,,,1,30,4
31,,0,1,2,32,recombined,0,1,,D,2700,,,,,,,,0,30,4
