,PID,practice,run,block,trial,pair_type,old_pair,chosen_left,pair_id,chosen_id,iti,left_stimulus,right_stimulus,left_path,right_path,old_response,pair_acc,pair_rt,long_iti,simulation,version
0,,1,0,0,1,,,,,,1500,,,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,,,,,12,2
1,,1,0,0,2,,,,,,1000,,,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,,,,,12,2
2,,1,0,0,3,,,,,,3000,,,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,,,,,12,2
3,,0,1,1,4,recombined,0,1,,K,1200,,,,,,,,0,12,2
4,,0,1,1,5,recombined,0,0,,C,2100,,,,,,,,0,12,2
5,,0,1,1,6,intact,1,,K,K,2300,,,,,,,,0,12,2
6,,0,1,1,7,recombined,0,1,,J,1800,,,,,,,,0,12,2
7,,0,1,1,8,recombined,0,0,,B,1600,,,,,,,,0,12,2
8,,0,1,1,9,intact,1,,J,J,2100,,,,,,,,0,12,2
9,,0,1,1,10,intact,1,,D,D,2600,,,,,,,,0,12,2
10,,0,1,1,11,recombined,0,0,,E,1300,,,,,,,,0,12,2
11,,0,1,1,12,recombined,0,1,,F,4800,,,,,,,,1,12,2
12,,0,1,1,13,intact,1,,H,H,2000,,,,,,,,0,12,2
13,,0,1,1,14,recombined,0,1,,L,1900,,,,,,,,0,12,2
14,,0,1,1,15,intact,1,,I,I,1600,,,,,,,,0,12,2
15,,0,1,1,16,recombined,0,1,,A,1700,,,,,,,,0,12,2
16,,0,1,1,17,intact,1,,B,B,1200,,,,,,,,0,12,2
17,,0,1,1,18,recombined,0,1,,D,4200,,,,,,,,1,12,2
18,,0,1,1,19,intact,1,,A,A,1100,,,,,,,,0,12,2
19,,0,1,1,20,intact,1,,E,E,2900,,,,,,,,0,12,2
20,,0,1,1,21,recombined,0,0,,G,1000,,,,,,,,0,12,2
21,,0,1,1,22,intact,1,,G,G,2900,,,,,,,,0,12,2
22,,0,1,1,23,intact,1,,L,L,1600,,,,,,,,0,12,2
23,,0,1,1,24,recombined,0,0,,I,3000,,,,,,,,1,12,2
24,,0,1,1,25,intact,1,,C,C,2100,,,,,,,,0,12,2
25,,0,1,1,26,recombined,0,0,,H,1400,,,,,,,,0,12,2
26,,0,1,1,27,intact,1,,F,F,1200,,,,,,,,0,12,2
27,,0,1,2,28,recombined,0,1,,K,1300,,,,,,,,0,12,2
28,,0,1,2,29,intact,1,,D,D,2600,,,,,,,,0,12,2
29,,0,1,2,30,intact,1,,E,E,1900,,,,,,,,0,12,2
30,,0,1,2,31,recombined,0,1,,J,2600,,,,,,,,0,12,2
31,,0,1,2,32,recombined,0,1,,A,3000,,,,,,,,1,12,2
32,,0,1,2,33,intact,1,,I,I,1200,,,,,,,,0,12,2
33,,0,1,2,34,recombined,0,0,,B,1400,,,,,,,,0,12,2
34,,0,1,2,35,intact,1,,J,J,1300,,,,,,,,0,12,2
35,,0,1,2,36,recombined,0,0,,E,1400,,,,,,,,0,12,2
36,,0,1,2,37,recombined,0,0,,I,4500,,,,,,,,1,12,2
37,,0,1,2,38,intact,1,,G,G,1800,,,,,,,,0,12,2
38,,0,1,2,39,recombined,0,1,,L,1200,,,,,,,,0,12,2
39,,0,1,2,40,intact,1,,B,B,2500,,,,,,,,0,12,2
40,,0,1,2,41,intact,1,,L,L,1300,,,,,,,,0,12,2
41,,0,1,2,42,recombined,0,0,,F,3000,,,,,,,,1,12,2
42,,0,1,2,43,recombined,0,0,,C,1800,,,,,,,,0,12,2
43,,0,1,2,44,intact,1,,K,K,1300,,,,,,,,0,12,2
44,,0,1,2,45,intact,1,,A,A,1000,,,,,,,,0,12,2
45,,0,1,2,46,recombined,0,1,,D,2000,,,,,,,,0,12,2
46,,0,1,2,47,intact,1,,H,H,1700,,,,,,,,0,12,2
47,,0,1,2,48,recombined,0,0,,H,1000,,,,,,,,0,12,2
48,,0,1,2,49,recombined,0,1,,G,1800,,,,,,,,0,12,2
49,,0,1,2,50,intact,1,,C,C,1300,,,,,,,,0,12,2
50,,0,1,2,51,intact,1,,F,F,3500,,,,,,,,1,12,2
51,,0,1,3,52,recombined,0,1,,L,2800,,,,,,,,1,37,2
52,,0,1,3,53,intact,1,,C,C,1100,,,,,,,,0,37,2
53,,0,1,3,54,recombined,0,1,,D,2400,,,,,,,,0,37,2
54,,0,1,3,55,intact,1,,G,G,1500,,,,,,,,0,37,2
55,,0,1,3,56,recombined,0,0,,F,1200,,,,,,,,0,37,2
56,,0,1,3,57,recombined,0,0,,G,1900,,,,,,,,0,37,2
57,,0,1,3,58,intact,1,,H,H,2900,,,,,,,,1,37,2
58,,0,1,3,59,intact,1,,B,B,1500,,,,,,,,0,37,2
59,,0,1,3,60,recombined,0,1,,B,2200,,,,,,,,0,37,2
60,,0,1,3,61,intact,1,,F,F,2400,,,,,,,,0,37,2
61,,0,1,3,62,recombined,0,1,,J,2500,,,,,,,,0,37,2
62,,0,1,3,63,intact,1,,K,K,1700,,,,,,,,0,37,2
63,,0,1,3,64,recombined,0,0,,A,1400,,,,,,,,0,37,2
64,,0,1,3,65,intact,1,,L,L,3000,,,,,,,,1,37,2
65,,0,1,3,66,recombined,0,0,,E,2500,,,,,,,,0,37,2
66,,0,1,3,67,recombined,0,1,,I,2400,,,,,,,,0,37,2
67,,0,1,3,68,intact,1,,D,D,1600,,,,,,,,0,37,2
68,,0,1,3,69,intact,1,,J,J,2400,,,,,,,,0,37,2
69,,0,1,3,70,recombined,0,1,,H,1700,,,,,,,,0,37,2
70,,0,1,3,71,intact,1,,E,E,2200,,,,,,,,0,37,2
71,,0,1,3,72,recombined,0,0,,K,2900,,,,,,,,1,37,2
72,,0,1,3,73,intact,1,,I,I,1500,,,,,,,,0,37,2
73,,0,1,3,74,intact,1,,A,A,1800,,,,,,,,0,37,2
74,,0,1,3,75,recombined,0,0,,C,1200,,,,,,,,0,37,2
75,,0,1,4,76,intact,1,,F,F,2200,,,,,,,,0,37,2
76,,0,1,4,77,intact,1,,B,B,1200,,,,,,,,0,37,2
77,,0,1,4,78,recombined,0,1,,E,1000,,,,,,,,0,37,2
78,,0,1,4,79,recombined,0,0,,L,1000,,,,,,,,0,37,2
79,,0,1,4,80,intact,1,,E,E,1700,,,,,,,,0,37,2
