,PID,practice,run,block,trial,pair_type,old_pair,chosen_left,pair_id,chosen_id,iti,left_stimulus,right_stimulus,left_path,right_path,pair_response,pair_acc,pair_rt,long_iti,simulation,version,left_category,right_category
0,82292,1,0,0,1,,0,0,,,1500,,,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,NaN,NaN,NaN,0,2,1,NaN,NaN
1,82292,1,0,0,2,,0,0,,,1000,,,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,NaN,NaN,NaN,0,2,1,NaN,NaN
2,82292,1,0,0,3,,0,0,,,3000,,,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,NaN,NaN,NaN,0,2,1,NaN,NaN
3,82292,0,1,1,4,recombined,0,1,,A,3700,1,31,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,NaN,NaN,NaN,1,2,1,outdoor_scenes,body_parts
4,82292,0,1,1,5,recombined,0,0,,E,2400,16,45,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,NaN,NaN,NaN,0,2,1,faces,objects
5,82292,0,1,1,6,intact,1,1,K,K,2600,30,46,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,NaN,NaN,NaN,0,2,1,body_parts,objects
6,82292,0,1,1,7,intact,1,1,E,E,1300,45,31,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,Stimuli/Experimental_stims/body_parts/sincerely-media-VN6DbKajo5s-unsplash.jpg,NaN,NaN,NaN,0,2,1,objects,body_parts
7,82292,0,1,1,8,recombined,0,0,,I,2200,7,24,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,NaN,NaN,NaN,0,2,1,outdoor_scenes,body_parts
8,82292,0,1,1,9,intact,1,1,L,L,3000,27,19,Stimuli/Experimental_stims/body_parts/heike-mintel-i_Gns0ELnLw-unsplash.jpg,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,NaN,NaN,NaN,1,2,1,body_parts,faces
9,82292,0,1,1,10,intact,1,1,J,J,1100,13,39,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,NaN,NaN,NaN,0,2,1,faces,objects
10,82292,0,1,1,11,recombined,0,0,,B,1500,34,5,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,NaN,NaN,NaN,0,2,1,body_parts,outdoor_scenes
11,82292,0,1,1,12,recombined,0,1,,F,1400,17,39,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,NaN,NaN,NaN,0,2,1,faces,objects
12,82292,0,1,1,13,intact,1,1,B,B,2200,5,16,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,Stimuli/Experimental_stims/faces/freddy-kearney-o-ioeoATbIM-unsplash.jpg,NaN,NaN,NaN,0,2,1,outdoor_scenes,faces
