,PID,practice,run,block,trial,pair_type,old_pair,chosen_left,pair_id,chosen_id,iti,left_stimulus,right_stimulus,left_path,right_path,pair_response,pair_acc,pair_rt,long_iti,simulation,version,left_category,right_category,pairs_rt,old_response,no_response
0,90251,1,0,0,1,,0,0,,,1500,,,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,NaN,0,NaN,0,30,4,NaN,NaN,650,1,0
1,90251,1,0,0,2,,0,0,,,1000,,,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,NaN,0,NaN,0,30,4,NaN,NaN,476,1,0
2,90251,1,0,0,3,,0,0,,,3000,,,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,NaN,0,NaN,0,30,4,NaN,NaN,199,1,0
3,90251,0,1,1,4,intact,1,0,H,H,3800,18,11,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,NaN,1,NaN,1,30,4,faces,outdoor_scenes,1074,1,0
4,90251,0,1,1,5,intact,1,0,A,A,1300,7,45,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,NaN,1,NaN,0,30,4,outdoor_scenes,objects,582,1,0
5,90251,0,1,1,6,recombined,0,1,,L,1400,21,41,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg,NaN,0,NaN,0,30,4,faces,objects,,NaN,1
6,90251,0,1,1,7,intact,1,0,J,J,1100,15,42,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,NaN,0,NaN,0,30,4,faces,objects,,NaN,1
7,90251,0,1,1,8,intact,1,0,D,D,2700,37,23,Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,NaN,0,NaN,0,30,4,objects,faces,,NaN,1
8,90251,0,1,1,9,recombined,0,1,,F,2800,35,2,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,NaN,0,NaN,1,30,4,body_parts,outdoor_scenes,,NaN,1
9,90251,0,1,1,10,recombined,0,0,,H,1200,29,11,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/stephen-leonardi-gyIRjKPXupE-unsplash.jpg,NaN,0,NaN,0,30,4,body_parts,outdoor_scenes,,NaN,1
10,90251,0,1,1,11,intact,1,0,G,G,1100,43,0,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,NaN,0,NaN,0,30,4,objects,outdoor_scenes,,NaN,1
11,90251,0,1,1,12,intact,1,0,I,I,1200,29,8,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,NaN,0,NaN,0,30,4,body_parts,outdoor_scenes,,NaN,1
12,90251,0,1,1,13,recombined,0,0,,C,1300,5,30,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,NaN,0,NaN,0,30,4,outdoor_scenes,body_parts,,NaN,1
13,90251,0,1,1,14,intact,1,0,K,K,2000,34,39,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,NaN,0,NaN,0,30,4,body_parts,objects,,NaN,1
14,90251,0,1,1,15,recombined,0,1,,A,2400,45,15,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,Stimuli/Experimental_stims/faces/erik-lucatero-d2MSDujJl2g-unsplash.jpg,NaN,0,NaN,0,30,4,objects,faces,,NaN,1
15,90251,0,1,1,16,intact,1,0,B,B,1400,5,13,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,NaN,0,NaN,0,30,4,outdoor_scenes,faces,,NaN,1
16,90251,0,1,1,17,recombined,0,1,,J,1300,42,17,Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,NaN,0,NaN,0,30,4,objects,faces,,NaN,1
17,90251,0,1,1,18,recombined,0,0,,I,1900,24,8,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,NaN,0,NaN,0,30,4,body_parts,outdoor_scenes,,NaN,1
18,90251,0,1,1,19,intact,1,0,F,F,3800,17,35,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,NaN,0,NaN,1,30,4,faces,body_parts,,NaN,1
19,90251,0,1,1,20,recombined,0,0,,E,2100,7,26,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,NaN,0,NaN,0,30,4,outdoor_scenes,body_parts,434,1,0
20,90251,0,1,1,21,intact,1,0,L,L,1600,24,21,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,NaN,1,NaN,0,30,4,body_parts,faces,350,1,0
21,90251,0,1,1,22,recombined,0,1,,K,2000,39,18,Stimuli/Experimental_stims/objects/charlesdeluvio-1-nx1QR5dTE-unsplash.jpg,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,NaN,0,NaN,0,30,4,objects,faces,807,1,0
22,90251,0,1,1,23,intact,1,0,C,C,1200,2,30,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,NaN,1,NaN,0,30,4,outdoor_scenes,body_parts,532,1,0
23,90251,0,1,1,24,recombined,0,0,,B,1300,37,13,Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,NaN,0,NaN,0,30,4,objects,faces,821,1,0
24,90251,0,1,1,25,intact,1,0,E,E,1200,41,26,Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,NaN,1,NaN,0,30,4,objects,body_parts,569,1,0
25,90251,0,1,1,26,recombined,0,0,,G,1100,34,0,Stimuli/Experimental_stims/body_parts/wagner-santos-mBWMvIuVnso-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg,NaN,0,NaN,0,30,4,body_parts,outdoor_scenes,1475,1,0
26,90251,0,1,1,27,recombined,0,1,,D,1900,23,43,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,NaN,0,NaN,0,30,4,faces,objects,1421,1,0
27,90251,0,1,2,28,intact,1,0,F,F,1700,17,35,Stimuli/Experimental_stims/faces/good-faces-xmSWVeGEnJw-unsplash.jpg,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,NaN,0,NaN,0,30,4,faces,body_parts,,NaN,1
28,90251,0,1,2,29,recombined,0,0,,F,2100,2,35,Stimuli/Experimental_stims/outdoor_scenes/bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg,Stimuli/Experimental_stims/body_parts/wc-so-KH4AAPjb-tI-unsplash.jpg,NaN,0,NaN,0,30,4,outdoor_scenes,body_parts,,NaN,1
29,90251,0,1,2,30,recombined,0,0,,E,2000,7,26,Stimuli/Experimental_stims/outdoor_scenes/petr-vysohlid-9fqwGqGLUxc-unsplash.jpg,Stimuli/Experimental_stims/body_parts/engin-akyurt-x_3gyC42btc-unsplash.jpg,NaN,0,NaN,0,30,4,outdoor_scenes,body_parts,,NaN,1
30,90251,0,1,2,31,intact,1,0,D,D,3300,37,23,Stimuli/Experimental_stims/objects/alexander-andrews-VLGWE_SumrA-unsplash.jpg,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,NaN,0,NaN,1,30,4,objects,faces,,NaN,1
31,90251,0,1,2,32,recombined,0,1,,D,2700,23,43,Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg,Stimuli/Experimental_stims/objects/jonathan-greenaway-Y4hGgeiFn3s-unsplash.jpg,NaN,0,NaN,0,30,4,faces,objects,,NaN,1
32,90251,0,1,2,33,intact,1,0,B,B,2700,5,13,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,Stimuli/Experimental_stims/faces/daniel-rigdon-dXmXKPP2L4E-unsplash.jpg,NaN,0,NaN,0,30,4,outdoor_scenes,faces,,NaN,1
33,90251,0,1,2,34,recombined,0,0,,C,1600,5,30,Stimuli/Experimental_stims/outdoor_scenes/jeff-king-bJHWJeiHfHc-unsplash.jpg,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,NaN,0,NaN,0,30,4,outdoor_scenes,body_parts,,NaN,1
34,90251,0,1,2,35,recombined,0,1,,L,1000,21,41,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg,NaN,0,NaN,0,30,4,faces,objects,,NaN,1
35,90251,0,1,2,36,intact,1,0,I,I,1600,29,8,Stimuli/Experimental_stims/body_parts/manuel-schinner-ZwjFuJ7ebpk-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/samsommer-vddccTqwal8-unsplash.jpg,NaN,0,NaN,0,30,4,body_parts,outdoor_scenes,,NaN,1
36,90251,0,1,2,37,intact,1,0,L,L,1300,24,21,Stimuli/Experimental_stims/body_parts/clay-banks-LjqARJaJotc-unsplash.jpg,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,NaN,0,NaN,0,30,4,body_parts,faces,,NaN,1
