,PID,practice,run,block,trial,pair_type,old_pair,chosen_left,pair_id,chosen_id,iti,left_stimulus,right_stimulus,left_path,right_path,old_response,pair_acc,pair_rt,long_iti,simulation,version,left_category,right_category,pairs_rt,no_response
0,29646,1,0,0,1,,0,0,,,1500,,,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,1,0,NaN,0,20,3,NaN,NaN,1328,0
1,29646,1,0,0,2,,0,0,,,1000,,,Stimuli/Practice_stims/Memory/charl-durand-bsfXvI25iNg-unsplash.jpg,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,1,0,NaN,0,20,3,NaN,NaN,429,0
2,29646,1,0,0,3,,0,0,,,3000,,,Stimuli/Practice_stims/Memory/jimmy-dean-Yn0l7uwBrpw-unsplash.jpg,Stimuli/Practice_stims/Memory/annie-spratt-g9KFpAfQ5bc-unsplash.jpg,1,0,NaN,0,20,3,NaN,NaN,343,0
3,29646,0,1,1,4,recombined,0,1,,A,1600,45,33,Stimuli/Experimental_stims/objects/leohoho-rngTKHXumy0-unsplash.jpg,Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg,1,0,NaN,0,20,3,objects,body_parts,1240,0
4,29646,0,1,1,5,intact,1,1,J,J,2500,21,36,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,1,1,NaN,0,20,3,faces,objects,377,0
5,29646,0,1,1,6,intact,1,0,H,H,2600,22,1,Stimuli/Experimental_stims/faces/ravi-patel-VMGAbeeJTKo-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg,1,1,NaN,0,20,3,faces,outdoor_scenes,32,0
6,29646,0,1,1,7,recombined,0,1,,F,1600,18,36,Stimuli/Experimental_stims/faces/jessica-radanavong-mrYkTuAesKE-unsplash.jpg,Stimuli/Experimental_stims/objects/alexander-andrews-JYGnB9gTCls-unsplash.jpg,1,0,NaN,0,20,3,faces,objects,378,0
7,29646,0,1,1,8,recombined,0,0,,B,3100,41,19,Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg,Stimuli/Experimental_stims/faces/joel-mott-LaK153ghdig-unsplash.jpg,1,0,NaN,1,20,3,objects,faces,56,0
8,29646,0,1,1,9,intact,1,1,E,E,2200,46,30,Stimuli/Experimental_stims/objects/mockup-graphics-PNsj6RiHAF4-unsplash.jpg,Stimuli/Experimental_stims/body_parts/mika-korhonen-Xodzxosar18-unsplash.jpg,1,1,NaN,0,20,3,objects,body_parts,310,0
9,29646,0,1,1,10,intact,1,0,I,I,2800,33,4,Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/jarrett-kow-1ZOyYPOBn7I-unsplash.jpg,1,1,NaN,0,20,3,body_parts,outdoor_scenes,266,0
10,29646,0,1,1,11,recombined,0,1,,J,1300,21,6,Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg,Stimuli/Experimental_stims/outdoor_scenes/meng-ji-8BH_M-53CyA-unsplash.jpg,1,0,NaN,0,20,3,faces,outdoor_scenes,802,0
