,intact,intact_derivative,recombined,recombined_derivative,.5*intact + .5*recombined,intact - recombined,simulation,version,run,.5*recombined + .5*intact,recombined - intact
139,1.529693582506601,2.97651809913497,1.6426532181482054,2.8619072277739748,,,40,3,1,1.0810698709541016,1.0472779146689875
140,1.532538515725154,2.9128023453140894,1.6340347480194428,2.825555399524804,1.0497716067316865,1.0510023187823014,41,3,1,,
141,1.6649847893680734,2.262658738586689,1.6519817669006107,2.2846434016141215,,,42,3,1,1.0328363686705508,1.00267502011597
142,1.437105756166927,2.3142036213203867,1.3755464924871712,2.3654768299542015,1.4339784035952923,1.0266561201583153,43,3,1,,
143,1.9988456329655468,3.5367441971145697,2.154403322274573,3.391221228274964,1.099495728157784,1.0847687982717322,44,3,1,,
144,1.4647170044367894,2.5653920002892208,1.4718314497087959,2.5485841867679944,,,45,3,1,1.0321355741583893,1.0009340895656076
145,1.6895447124871226,2.899527683325415,1.6250927537057689,2.945564498032989,,,46,3,1,1.0815945909095463,1.0214132355689742
146,1.5612392464897153,2.4381135283737714,1.4938302734785083,2.49391291424248,1.0663472368004334,1.0246781535541694,47,3,1,,
147,2.064930800822464,3.1427824694086586,1.9290983522484297,3.284013858559947,,,48,3,1,1.2343035553884063,1.0571791489148223
148,1.4581791122137282,2.1239608606307194,1.4421595081077967,2.1369455077728206,1.1183431525089018,1.0073394971352456,49,3,1,,
149,1.834823097037423,2.7038471875616494,1.955858068663629,2.573619722146122,,,50,3,1,1.2364829099220933,1.0943358008705317
150,1.488229905856528,2.6045018070763013,1.4562584920592672,2.648361426818689,1.1262229659222776,1.0369917349082147,1,4,1,,
151,1.5006905490169018,3.163766382321867,1.3793836349990392,3.2664408050880676,,,2,4,1,1.0636820884834977,1.0708753717923518
152,1.6405840623824883,2.25266146088161,1.5790812507593734,2.3124346887524863,,,3,4,1,1.0543446127856921,1.1255056107104304
153,1.8651118799465196,2.629599331510124,1.8262328490615165,2.6751221110369907,,,4,4,1,1.041940427630519,1.0351579149993506
154,1.4003508583741175,2.461606938034856,1.3952565289072243,2.455824235609341,,,5,4,1,1.16619493972097,1.034234977982427
155,1.6085104910207717,2.4771831986592066,1.5830997521318428,2.496086626309145,,,6,4,1,1.0226711268970643,1.0293938880617262
156,1.8176259972675344,2.5119025032155635,1.8132868902966206,2.4962726469294143,,,7,4,1,1.0344889492465439,1.0019717769581793
157,1.4612785053296016,2.298071209324234,1.3748793751113852,2.381401024758517,1.0733220800354228,1.0537522702719615,8,4,1,,
158,1.4491665387354553,2.133855013940958,1.4414489269959718,2.140329624181501,,,9,4,1,1.0320113592627238,1.001213939419095
159,1.835804640488867,3.696986573394323,2.0116702065969023,3.512616995709728,1.0989119014884674,1.1226930451731372,10,4,1,,
160,1.7551760228814268,2.3748861332451576,1.6903388218410047,2.4227850220621767,,,11,4,1,1.0527865157258576,1.030782422745901
161,1.4297393138193815,2.6355700265867665,1.5495760741259321,2.526278030428382,1.1039514640707473,1.1704157716261734,12,4,1,,
162,1.3461509863074648,2.0496049767825837,1.368450415281202,2.028665317380696,,,13,4,1,1.041235898159383,1.0062996105499493
163,1.8512645948542161,3.3732305472847437,1.8381675969403715,3.408400814996981,,,14,4,1,1.0946421492202527,1.0316478992115299
164,1.807600908786105,2.872314238037321,1.6942186418019831,2.9730625451012433,1.0738348446255184,1.0699491172179274,15,4,1,,
165,1.6334724618586696,3.071869343786549,1.6944841759423872,2.99835378719961,,,16,4,1,1.0648774676120831,1.0112861598291234
166,1.9265225685650522,3.0106737427993235,1.8200371629709284,3.107865943878203,,,17,4,1,1.0760890326075983,1.0487611598778723
167,1.7143823607396103,2.8628881600300202,1.6639062378019451,2.91119131889024,,,18,4,1,1.1394080693602775,1.0318084572582482
168,1.4406626349010099,2.4382741353007593,1.4832027544170558,2.384746196275271,1.0667753013192645,1.0089912319601382,19,4,1,,
169,2.517620194236422,4.6856531469568194,2.5964720487534,4.595509206404066,,,20,4,1,1.1924930145165038,1.0411086783315922
170,1.6732698003482374,2.4710755946798666,1.7268877454236646,2.404220691686986,1.0384718056055295,1.0262368376137239,21,4,1,,
171,1.7145214798860298,2.3702795859972823,1.5655512778977583,2.5103084472716586,1.192191974694057,1.1232737334558967,22,4,1,,
172,1.7442827458349068,2.9350517613025344,1.6555894516249452,3.007958444586552,,,23,4,1,1.0810506518796597,1.0661798898774117
173,2.0126230785987045,2.907333707436361,1.8813720336064699,3.032671596007632,,,24,4,1,1.0786176225136688,1.056185150551225
174,1.7853006024475637,2.5497511331129985,1.7345154098375024,2.603937351259634,,,25,4,1,1.0996921703733602,1.155683811490436
175,1.4688046655122002,2.4362038902120733,1.503703824175955,2.4077712811238823,1.0275238601405103,1.0077327796900306,26,4,1,,
176,1.9448584551591597,3.9553164710216877,1.8678153404146707,4.0247298894849495,,,27,4,1,1.2329597757773738,1.0240845455899206
177,1.4564617381817828,2.630235135320966,1.4794839328014366,2.58957313072345,1.0525501535563435,1.0223793165427932,28,4,1,,
178,1.3880416240348423,2.1462047505336086,1.3219061258062823,2.2009594334997744,,,29,4,1,1.0618074921827985,1.0417647503222291
179,1.4377224067138499,3.2563351174925343,1.4368468936450076,3.264783661409644,1.1245571213787653,1.000800604275473,30,4,1,,
180,1.6469711838850973,2.538210525417492,1.6054968228342532,2.57260039081696,1.2864205323787634,1.0973039372211897,31,4,1,,
181,1.3426729550682381,2.269053509174577,1.315352097604606,2.296558975126868,,,32,4,1,1.2083820022099716,1.0074731228011777
182,1.5381465029557204,2.215455609073566,1.5420240992548337,2.198473147361362,,,33,4,1,1.1318316630738816,1.0195567717694918
183,1.562964866008744,3.0957839986934377,1.5274688261608,3.1328573285966432,1.0667303845879796,1.0511305391605126,34,4,1,,
184,1.8238686586225759,2.7862882636726423,1.757122066282368,2.854345973444921,,,35,4,1,1.0441363983392657,1.0331449684466758
185,1.43160107172974,2.639486213200291,1.44030109945517,2.611052911814719,,,36,4,1,1.1156918401279399,1.0144129403419753
186,2.084692091023237,3.8364298638500847,1.8469909523593602,4.056282354736987,1.1579842940059368,1.0659178618767555,37,4,1,,
187,1.4833951845208966,2.2570434721694004,1.4262094026084138,2.3031870529935796,,,38,4,1,1.034633111466593,1.0651341807867385
188,1.4657623013865237,2.6222275888949946,1.516434207253375,2.57672398575071,,,39,4,1,1.0576114902781222,1.0141853673633208
