,feedback,feedback_derivative,outcome,outcome_derivative,.5*outcome + .5*feedback,outcome - feedback,simulation,version,run
0,1.0962078941335915,2.2689340863631173,1.0341465254682525,2.3285132277694243,1.0383155443141134,1.0467263048014104,1,1,1
1,1.1063809675582497,2.518564470957848,1.038862309944045,2.5910927025337744,1.036903589000354,1.0498547435673917,2,1,1
2,1.0516483698198504,1.893583907488986,1.0102004029909635,1.9322451944351515,1.0169706986598874,1.0438376090421586,3,1,1
3,1.0730359018860682,2.4021337712260693,1.0314366796226557,2.4443163698738664,1.022119548481794,1.026173185655501,4,1,1
4,1.0771394398526508,2.1695197414875738,1.0128393590527862,2.2292820471464676,1.0438800312128789,1.0596529849980059,5,1,1
5,1.0869218293312155,2.5687254418661998,1.0280275145451216,2.6228198515877703,1.0462994719010645,1.0513333808625944,6,1,1
6,1.0531551483404964,2.203198470005273,1.0232361057556603,2.2307646347636956,1.045470449408947,1.0127718285212988,7,1,1
7,1.151582652330395,2.797835499181285,1.0368290876234434,2.9026597865985853,1.0550149253488434,1.1318002201739532,8,1,1
8,1.1166552312902338,2.2530403823751404,1.075879892919903,2.295556892254135,1.1013335735450211,1.0316325756163158,9,1,1
9,1.092041864790548,2.7033310031113706,1.0326380654731255,2.7581818940243488,1.0515055708718613,1.0346935159282664,10,1,1
10,1.076960890136415,2.345144111120064,1.0576128024013687,2.3635501391732343,1.041037416569247,1.005594275729123,11,1,1
11,1.107828656961593,2.7046159478139122,1.0789778849992917,2.7325738048788963,1.0380095842700303,1.0289940800771242,12,1,1
12,1.0298038772641742,2.202460986120958,1.0116257627932164,2.218958438728568,1.0325866962690478,1.025870654229667,13,1,1
13,1.1106606721142407,3.5078035815676265,1.1234453743166501,3.4954480519359326,1.105818575428517,1.0075363336283352,14,1,1
14,1.178752368036686,2.917436279046902,1.1028577924048897,2.988631831277138,1.0542848539241094,1.0557576850224335,15,1,1
15,1.0537691855218978,2.1617218206528936,1.010169701642691,2.2064022076937753,1.0391524306005626,1.0250901329688589,16,1,1
16,1.1794899236868663,2.729468213064501,1.0888116018219676,2.8262771246356686,1.077763868010583,1.0758827708984535,17,1,1
17,1.043520839366982,2.387760566561096,1.0177254139579253,2.420069956948439,1.0217623065580885,1.0099440389312473,18,1,1
18,1.0792271279385055,2.1590920373585445,1.012420945515448,2.223316625813448,1.0671828888862789,1.0849915424606364,19,1,1
19,1.125316314498538,2.537985778528929,1.0619634427556035,2.598681569514329,1.0423531395743144,1.0392929746431667,20,1,1
20,1.0663402443982184,2.621826115489646,1.050801331516293,2.6445889305946095,1.0437785021411345,1.005286612956154,1,2,1
21,1.0778457798864942,2.657462651644835,1.0541463600397498,2.678588882491588,1.0527571283142338,1.0195052694350395,2,2,1
22,1.1322520306162098,2.2506724653565717,1.034105210398468,2.337841208004602,1.0569488636362092,1.1325621950996085,3,2,1
23,1.0557243383194062,2.5540474974012684,1.056979200322728,2.5524645985184633,1.0548236683192422,1.0052214272076976,4,2,1
24,1.1313898875822737,2.9988548763313276,1.1357172615029465,2.9892092855076475,1.0731901552948557,1.0096929392600855,5,2,1
25,1.0813185138542625,2.072569311526564,1.0209723773406951,2.127603131586676,1.0399118946151655,1.0417988836270748,6,2,1
26,1.1103759957899701,2.278693032157193,1.0264929274919827,2.354773935895833,1.0551543318013161,1.0973292901394214,7,2,1
27,1.0897020320831292,2.537196789875283,1.0183089303111448,2.6017821616771943,1.0483524503680388,1.0852102386215725,8,2,1
28,1.1824951574386329,2.8946387605149364,1.063334933803913,3.026663561984833,1.074279371338147,1.1186892028763225,9,2,1
29,1.0721196360404486,2.2201440417196836,1.0330325992428522,2.2573864043303966,1.0429744684757738,1.0268122450048796,10,2,1
30,1.1066358766746665,2.273061186953018,1.0361830397736174,2.3384306442464107,1.0823413642322932,1.0518755083813578,11,2,1
31,1.0578444432332692,2.345664551790101,1.032471121374197,2.3730964704188597,1.0260745512598313,1.0088088969423465,12,2,1
32,1.1489891726085633,2.834805167043874,1.0602526577375544,2.920475014661583,1.0449581776544326,1.0976644609310926,13,2,1
33,1.0914321309775206,2.413451285670482,1.0457160289515588,2.4579341181569685,1.061299104020112,1.037520828946167,14,2,1
34,1.055551728149654,2.542223756670507,1.0138620345420617,2.5785760154017052,1.0399345820121246,1.0236448838805885,15,2,1
35,1.0965652020420111,3.046895876965495,1.0439746498254079,3.0960936944720694,1.0487812740746996,1.0259636587197918,16,2,1
36,1.085238600235703,2.092414856891721,1.0436468733976147,2.1322976506617044,1.0568041794591392,1.0311719233709578,17,2,1
37,1.1054402745204461,2.4251484612642207,1.0557828969165945,2.4724052466330257,1.0368539739738059,1.052865750662009,18,2,1
38,1.0986126871746391,2.8738109345617024,1.0416811708422313,2.9274503914333883,1.0416222751789688,1.0338343347417411,19,2,1
39,1.0711466782447299,2.4666789238785296,1.0309514754853009,2.5077095749661393,1.025789928782904,1.019897619960563,20,2,1
40,1.0942649375343607,2.871394804032655,1.0702639981492483,2.898436074633641,1.0382502848682185,1.009376724217027,1,3,1
41,1.0657008968124482,2.024384884036182,1.036620700920537,2.051027003896351,1.031871710682894,1.0299576648223454,2,3,1
42,1.1152489252011726,2.7405974671823,1.0504675361909404,2.802390766575913,1.0583961953930223,1.0516199817205858,3,3,1
43,1.0358730385920958,2.4580714550457436,1.0355292038866468,2.458359930497201,1.0466187552584911,1.0160827735316582,4,3,1
44,1.0693089854800968,2.282705902192837,1.0746118828698985,2.277525569742919,1.0474216603461408,1.0013820391763248,5,3,1
45,1.0631053691047871,2.2812712620297546,1.0128196142183363,2.327308412121265,1.0331680653571023,1.0411066189769378,6,3,1
46,1.1607270856692256,3.0175848582551725,1.0714325032353893,3.102602860990649,1.0460330632073902,1.0868856224097165,7,3,1
47,1.063434148989063,2.9319775080395027,1.0357606981244478,2.9564410818910463,1.040872490291414,1.023277966429043,8,3,1
48,1.1431822900804849,2.366248171855399,1.0707593754243787,2.435994283888195,1.0835306978462846,1.0524106933308417,9,3,1
49,1.1006432981261063,2.5220602946359363,1.0264507686613262,2.590373938325783,1.048806028522144,1.0602887027287278,10,3,1
50,1.0728052748012715,2.198485400581554,1.027545634899142,2.24246311815333,1.0187664229637563,1.040576525359017,11,3,1
51,1.125933207567729,2.9562298602731887,1.0890857223933408,2.9906322763114113,1.0686779072399364,1.0133000295236707,12,3,1
52,1.0270419266388564,2.5043675765591398,1.0123544350848956,2.5168833749284314,1.0554825779795205,1.0045046300572276,13,3,1
53,1.1307853940218753,2.3153595152973696,1.0552358476639336,2.389351420938004,1.0557788930796475,1.0645168532949143,14,3,1
54,1.059896488672889,2.115192979660756,1.0401710768865209,2.1335315319929093,1.0313343129724908,1.0201338202720585,15,3,1
55,1.0462963641149847,2.2938955408772883,1.0134405575743475,2.322943795397096,1.0358672141025211,1.025469608143047,16,3,1
56,1.0821192587829735,2.737150370031341,1.0576633722071949,2.7611591840108947,1.0439600540947733,1.0068484537941897,17,3,1
57,1.0356965939662972,1.8991241008328623,1.023321433392562,1.9150946157811248,1.0372983669317781,1.0039195891037185,18,3,1
58,1.0509130095885555,2.555899158412902,1.0255012854785017,2.579672930556938,1.047434557818809,1.0082783222781473,19,3,1
59,1.0512036370367088,2.297845738807379,1.0137934265364015,2.3376530124359984,1.0128255227312217,1.042482118117006,20,3,1
60,1.072902672417327,2.419929401559105,1.03523945253921,2.4552661421746262,1.0442078446395175,1.0230801749093053,1,4,1
61,1.132419254778563,2.4565716073524735,1.0990095186062159,2.4857379223109737,1.043206882937894,1.012865221487855,2,4,1
62,1.0697260851346386,2.537735924384777,1.0302164766387722,2.5725682152164175,1.0527592387648166,1.0191135755052292,3,4,1
63,1.0708526197031094,2.3284234556428505,1.0486671856748853,2.3507985662074944,1.0498948177805563,1.0253212711655748,4,4,1
64,1.106039867585516,2.070038053398801,1.0338769713455607,2.1366002497619743,1.0552359174457833,1.0765436870574963,5,4,1
65,1.0979255137325261,2.430024290691089,1.042097345690528,2.4804633580762583,1.0465290291429326,1.0299422175017734,6,4,1
66,1.0329972851197322,2.0319750913559247,1.0028889211712886,2.0595795365989824,1.0358415700116756,1.0135466784842109,7,4,1
67,1.0892495251809358,2.6419218957299004,1.1286634672601947,2.6043901947584036,1.0766009194791768,1.016371639782308,8,4,1
68,1.157794110997153,2.76929569389936,1.0592619426656997,2.8611180875184474,1.0699076297800274,1.0821453913449934,9,4,1
69,1.0677416357397607,2.2461130252901755,1.0121877996786828,2.297515870295518,1.0557724602296723,1.0329399895860452,10,4,1
70,1.0802356179148307,2.372831406394899,1.0160395962836977,2.430843264327654,1.044507543834538,1.0385571692591828,11,4,1
71,1.068631219487281,2.291425252616467,1.0086677373954682,2.3441844670021217,1.045910294074587,1.055709005717403,12,4,1
72,1.1628844580976414,2.494992880049808,1.0555057081857897,2.5997646500034306,1.0434093125961106,1.1308115119016866,13,4,1
73,1.1138484432607538,2.3756585185831285,1.0542782885819304,2.433385976464875,1.0546476032807917,1.0470540930787033,14,4,1
74,1.0521490570236223,2.2705550971710022,1.0053296119360393,2.3133516520346817,1.051429665612772,1.0330861192105358,15,4,1
75,1.0613254281838351,2.107612538821888,1.0347673794823185,2.1328883250776953,1.045656250714607,1.0188605175771113,16,4,1
76,1.0913960193411814,2.166988327396408,1.0352949012158272,2.2213872929551584,1.038418962725172,1.0402388155598952,17,4,1
77,1.0909409456774026,2.4409121979100603,1.0422052577192265,2.485664557067531,1.057750982637356,1.0315743886171258,18,4,1
78,1.061596084917512,2.5214755089131087,1.015891207041845,2.5649521579225225,1.0225841367539643,1.0337268602153706,19,4,1
79,1.0625636604661877,2.265304559161227,1.0317470835812794,2.293090370266598,1.0185518132250144,1.0208279477047726,20,4,1
80,1.0742853572715938,2.0504852259708057,1.0338213527397426,2.0892481539017886,1.0332114147207638,1.0411754367862862,1,1,2
81,1.0288539374922792,2.380969502614021,1.036429895375615,2.374216198445544,1.0433372112626198,1.0016215403332804,2,1,2
82,1.078373446412971,2.2855785001060585,1.0693750380108675,2.2935561619874507,1.0410709844838801,1.0034698773441415,3,1,2
83,1.1364120000051448,2.3207920088814356,1.030462863671571,2.414970625329108,1.0698837194413522,1.1195268787942945,4,1,2
84,1.096714854802294,2.53352911604113,1.036139143690124,2.5895507370209776,1.030894804926421,1.0395448933341718,5,1,2
85,1.0958730196747228,2.5055448860132814,1.0188101290326939,2.574562804383262,1.0572441620166575,1.0527541976334378,6,1,2
86,1.01554362170974,2.187401147442742,1.0038053915188756,2.197476494081242,1.0458374723643384,1.0046012642642204,7,1,2
87,1.1362465305017362,2.800012598393066,1.0426305970182734,2.8862037398451506,1.0660583883639776,1.0855183909524684,8,1,2
88,1.1004040964192712,2.303978469008472,1.0586895335983848,2.351063135497079,1.018830282086055,1.0352667262543032,9,1,2
89,1.09654844696406,2.345849379029831,1.0280739732107431,2.410020723668791,1.0392901097743217,1.062957169107233,10,1,2
90,1.0589138447236233,2.4020220177576896,1.0562424249312539,2.40372207853209,1.047961777271623,1.0128908936436816,11,1,2
91,1.0770049881738764,2.7746229003921856,1.0476832531196485,2.801072635873254,1.0520893315195294,1.0136485200437548,12,1,2
92,1.0492980577927409,2.487102511492153,1.0681502856757594,2.4689539311975084,1.0480657000441915,1.0044679068331002,13,1,2
93,1.105348993402333,2.634411931364317,1.0373692313920229,2.696110446615581,1.040402169164677,1.0499230037272145,14,1,2
94,1.0586172909920972,2.207075720105815,1.0168172649872402,2.2456276545335583,1.0457632873938734,1.0316006452233908,15,1,2
95,1.1199152211029093,2.48881976965337,1.0530602122072021,2.5521326803799393,1.0512110703749515,1.041679649569742,16,1,2
96,1.0769925631270143,2.393335804439513,1.0313946640434604,2.446033018593409,1.058739158059391,1.0183197773331223,17,1,2
97,1.056019527260319,2.2946371992545194,1.0188548848927843,2.329207637521457,1.0491893136719708,1.0149300020072147,18,1,2
98,1.063868895734803,2.2248507538581044,1.0099660225925176,2.2733447335565895,1.0372799253285794,1.042065635018504,19,1,2
99,1.0424156157443163,2.189604731909822,1.0083461576441421,2.2215047537589627,1.0620935233607893,1.0164188672578758,20,1,2
100,1.0596988369681157,2.1727243023811194,1.0234794612274987,2.2064829092260863,1.0312425776199154,1.0322442180041553,1,2,2
101,1.1539231504384788,2.965395926894734,1.0776163881718872,3.036191129111371,1.0531315303806346,1.0511071279373876,2,2,2
102,1.0857366292212942,2.6379031518788083,1.023152095833682,2.699674945387607,1.069850173117561,1.0586552812867023,3,2,2
103,1.1338175195649367,2.594540957608426,1.0515334252661235,2.6706212268660834,1.0820994604733838,1.062484512920638,4,2,2
104,1.0849641447316498,2.6695816495127365,1.0649704127533264,2.6915894813245362,1.0192757327068662,1.0087632320315645,5,2,2
105,1.1072891912369702,2.4041860431228796,1.0287908902495433,2.477240917598628,1.047630195006368,1.0635010642420182,6,2,2
106,1.1311399029093312,2.4910029425157014,1.0731614040187398,2.5463179704644676,1.0328272162022547,1.044615918471599,7,2,2
107,1.09538534136355,2.831313384507313,1.0780085902178553,2.8477933994584275,1.0657552768081067,1.0037835945260931,8,2,2
108,1.0874106123468126,2.4333784313256097,1.0121695927829324,2.499003098583922,1.04028488301441,1.0689064440592484,9,2,2
109,1.0708499891486891,2.247771102023052,1.0231569111392065,2.2955922111974214,1.0757289446911547,1.0311346226707623,10,2,2
110,1.0558391725926506,2.546118170965416,1.0650816378786945,2.537484465964347,1.047959893317126,1.0032914645889346,11,2,2
111,1.0500470015613947,2.6759689023255424,1.0200401704848447,2.7026209167551154,1.0545976798144803,1.024398968172335,12,2,2
112,1.115594683404265,2.9320692192737035,1.0957573926173938,2.9499029447911975,1.048437506283071,1.0159615208842763,13,2,2
113,1.140757644423609,2.810866978743897,1.0552997895652054,2.8985308635438707,1.0377400139572244,1.0767111250689194,14,2,2
114,1.0454738227516636,2.436880039082928,1.0233505212476652,2.4562930087852055,1.0753701229698118,1.0076084952958737,15,2,2
115,1.0699591889571696,2.1409917240787704,1.0283992028770093,2.179249215513767,1.0386114869074992,1.046620714777617,16,2,2
116,1.0665639597021055,2.1540145720898134,1.035276934460937,2.1841344131947005,1.0373176548129674,1.014255409929588,17,2,2
117,1.0696077249163005,2.2490514742631285,1.028412052707034,2.286454053577542,1.0488970549391885,1.032701460659122,18,2,2
118,1.0769150949325867,2.3356453220912883,1.0601558360762011,2.352020576674535,1.0328570803057397,1.007791718717979,19,2,2
119,1.0523347703675539,2.0306540695697484,1.0166548606684358,2.063152241450047,1.0478174580425221,1.025834546196921,20,2,2
120,1.0554700645416797,2.306651911097722,1.0070333981900423,2.3506246938031965,1.0566374673971746,1.0281989937065328,1,3,2
121,1.1164122904080214,3.0192376681296347,1.069265521973381,3.0703911720501598,1.041600437166708,1.01831931922982,2,3,2
122,1.084957310468318,2.801225473955554,1.0432445947632882,2.8470515731278105,1.0493557107448959,1.0157379875376737,3,3,2
123,1.103756496518194,2.5184030082962385,1.0764912006424674,2.5478196604950325,1.054723502392578,1.017094044466384,4,3,2
124,1.0472461397553467,2.4842633292802363,1.0271157850225077,2.5037510220492023,1.0290410302443564,1.0104355174815174,5,3,2
125,1.0863994774766355,2.306236066538051,1.0568955631664436,2.3373269815973603,1.0409286802976554,1.026622742314496,6,3,2
126,1.1058772991854704,2.7990680239893893,1.0327516057268238,2.8656887512346056,1.0441100427181005,1.0385593387159437,7,3,2
127,1.0896561914076413,2.309540667926433,1.0251404148637573,2.3693827626234207,1.0459768717074738,1.0611773371017483,8,3,2
128,1.0532427997777,2.5192543467849102,1.0264907703554995,2.5430404621198153,1.0639920714933913,1.0095929772455003,9,3,2
129,1.0649561041001132,2.3657607986807174,1.0182857714113371,2.408440571565553,1.058339660334216,1.0283407998203185,10,3,2
130,1.0842316995051022,2.416798998407356,1.0592430963540567,2.440056429468743,1.037162309935718,1.0277885732981176,11,3,2
131,1.145007493067614,2.5412668191167795,1.070951165926858,2.612137486550696,1.0662370840753228,1.0510771802838097,12,3,2
132,1.0682877602960898,2.4081033209190634,1.0255233499294476,2.4476287573294724,1.0679819255663252,1.0305955463735124,13,3,2
133,1.0798302328689786,2.4038421404690316,1.093162549195489,2.3913283956817515,1.0607020979505288,1.0098695578935415,14,3,2
134,1.0600173072672727,2.142438108697778,1.025932966397839,2.180225900093362,1.0166830560046145,1.0303453525039925,15,3,2
135,1.0413298007001524,2.1358623419155416,1.003715281298766,2.1705543367596274,1.034686693429847,1.0500639858270233,16,3,2
136,1.106872369573117,2.6349395699536786,1.0524558338829184,2.6869497816577375,1.0819494729179162,1.025648893213116,17,3,2
137,1.0428548357992815,2.3395471700124406,1.0199163478173392,2.359733648833093,1.0561529499974198,1.0188339529995725,18,3,2
138,1.032868698208019,2.332921014828702,1.0259225860345607,2.3396907927173576,1.0485118143535999,1.0040673554413626,19,3,2
139,1.1061486633496784,2.1119988143507173,1.0406731406254028,2.17379061063025,1.0385918958816067,1.0743436892065963,20,3,2
140,1.0822424396866839,2.2224337784842816,1.0405132634294882,2.2646449230974124,1.0595728690612305,1.0248966803746562,1,4,2
141,1.1203514122440656,2.251257744512056,1.0311636008444822,2.3333385391429005,1.0525807263599585,1.0890350400917346,2,4,2
142,1.1256916375981847,2.402034941526883,1.065567692907796,2.458317138051037,1.028513268273395,1.0468530911330827,3,4,2
143,1.0333286548919511,2.252411782694851,1.0116901716904034,2.272324371954881,1.0658979565384945,1.0134167186541392,4,4,2
144,1.0458723032208732,1.7700788036445134,1.006000079931096,1.8061763523648893,1.0473324150812215,1.0330592904238785,5,4,2
145,1.0400735558149259,2.3433652604439437,1.0183898195862984,2.361693512888689,1.0629410589608792,1.0159324119845397,6,4,2
146,1.0467985759845413,2.2550885710535824,1.0207269034387452,2.2795004506039236,1.030136360295487,1.0141900580097951,7,4,2
147,1.0470179954660181,2.546222704911012,1.0252412968686522,2.566324146232904,1.0489214521521797,1.0184838581912534,8,4,2
148,1.0655291394345,2.95136214124398,1.0424186371075355,2.9720179203556376,1.0471925747475086,1.0077482144167287,9,4,2
149,1.1006905802250035,3.03231083617931,1.0665947103140496,3.062585163893107,1.0538936122286044,1.0161793798841179,10,4,2
150,1.0830154195933472,2.1143359912408415,1.0157946205395396,2.1774163258307238,1.041535491904727,1.0541423913911754,11,4,2
151,1.0615018579521824,2.457081923109937,1.004805193606191,2.510183641254524,1.046722248961086,1.0399085733268763,12,4,2
