"","PID","practice","trial","run","task","stimulus_duration","iti","is_odd_ball","path","response","rt","version","no_response","acc"
"38",21859,0,38,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/liv-bruce-M0oVPGsWk1E-unsplash.jpg",1,57,4,0,0
"39",21859,0,39,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/nick-page-WTNmgJtwzGI-unsplash.jpg",1,107,4,0,0
"40",21859,0,40,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/billie-5OXE3KjDEfI-unsplash.jpg",0,3,4,0,1
"41",21859,0,41,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/apostolos-vamvouras-g5wKHRu2QW0-unsplash.jpg",0,82,4,0,1
"42",21859,0,42,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/david-fanuel-qnV8X7OViNY-unsplash.jpg",0,152,4,0,1
"43",21859,0,43,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/nattalia-nunez-MB9sdDfZMSg-unsplash.jpg",0,139,4,0,1
"44",21859,0,44,1,"body_parts",400,300,0,"Stimuli/Experimental_stims/localizer/body_parts/carlos-henrique-NAOJKwZswbs-unsplash.jpg",0,297,4,0,1
"45",21859,0,45,1,"body_parts",400,300,1,"Stimuli/Experimental_stims/localizer/body_parts/jeremy-yap-TfJEi17kA0w-unsplash.jpg",1,156,4,0,1
"46",21859,0,46,1,"body_parts",400,14000,0,"Stimuli/Experimental_stims/localizer/body_parts/danie-franco-jyyNiSEcCl4-unsplash.jpg",1,1,4,0,0
"47",21859,0,47,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/chris-briggs-x9TCnxNBofE-unsplash.jpg",NA,NA,4,1,0
"48",21859,0,48,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/quino-al-8gWEAAXJjtI-unsplash.jpg",0,320,4,0,1
"49",21859,0,49,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/recha-oktaviani-t__61ap00Mc-unsplash.jpg",0,65,4,0,1
"50",21859,0,50,1,"objects",400,300,1,"Stimuli/Experimental_stims/localizer/objects/kelly-jean-cKjbI0Y00X0-unsplash.jpg",1,86,4,0,1
"51",21859,0,51,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/mockup-graphics-Pj2PY-E-LfM-unsplash.jpg",1,83,4,0,0
"52",21859,0,52,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/andrew-petrov-TVJqDat4MAw-unsplash.jpg",0,13,4,0,1
"53",21859,0,53,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/ignat-dolomanov-kFBDVnmskPA-unsplash.jpg",1,58,4,0,0
"54",21859,0,54,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/ana-9GmAaEMMKho-unsplash.jpg",1,93,4,0,0
"55",21859,0,55,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/yossy-made-yulian-WaEqwDSIeTY-unsplash.jpg",0,33,4,0,1
"56",21859,0,56,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/mockup-graphics-U6ZMEefFGx8-unsplash.jpg",0,24,4,0,1
"57",21859,0,57,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/raimond-klavins-ZdvDPXVvcKs-unsplash.jpg",0,50,4,0,1
"58",21859,0,58,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/sam-moghadam-khamseh-L_7MQsHl_aU-unsplash.jpg",0,19,4,0,1
"59",21859,0,59,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/engin-akyurt-bbbKzTmY2Gg-unsplash.jpg",0,15,4,0,1
"60",21859,0,60,1,"objects",400,300,1,"Stimuli/Experimental_stims/localizer/objects/eugene-chystiakov-3neSwyntbQ8-unsplash.jpg",0,28,4,0,0
"61",21859,0,61,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/mae-mu-yl2d0CKW130-unsplash.jpg",0,14,4,0,1
"62",21859,0,62,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/sam-moghadam-khamseh-kvmdsTrGOBM-unsplash.jpg",0,84,4,0,1
"63",21859,0,63,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/nordwood-themes-E9tFH39iRPE-unsplash.jpg",0,45,4,0,1
"64",21859,0,64,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/mockup-graphics-aUkYaG12Dgs-unsplash.jpg",1,46,4,0,0
"65",21859,0,65,1,"objects",400,300,0,"Stimuli/Experimental_stims/localizer/objects/maria-lupan-Rlakka_pZMU-unsplash.jpg",1,66,4,0,0
"66",21859,0,66,1,"objects",400,14000,0,"Stimuli/Experimental_stims/localizer/objects/quaritsch-photography-lZ8onQ1wuY8-unsplash.jpg",1,12,4,0,0
"67",21859,0,67,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/brooke-cagle-Nm70URdtf3c-unsplash (1).jpg",NA,NA,4,1,0
"68",21859,0,68,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/joseph-gonzalez-iFgRcqHznqg-unsplash.jpg",0,272,4,0,1
"69",21859,0,69,1,"faces",400,300,0,"Stimuli/Experimental_stims/localizer/faces/pavel-anoshin-d0peGya6R5Y-unsplash.jpg",1,108,4,0,0
