"event","trial","time","PID"
"blur","0","0",""
"focus","0","50551",""
"fullscreenenter","0","51875",""
"fullscreenexit","65","80675","56445"
"blur","442","219535","56445"
"focus","550","260071","56445"
"blur","551","263808","56445"
"focus","551","265408","56445"
"blur","909","375774","56445"
"focus","909","377908","56445"
"blur","982","398520","56445"
"focus","1074","414554","56445"
"blur","1075","415729","56445"
"focus","1075","416336","56445"
"blur","1080","417263","56445"
"focus","1220","436703","56445"
"blur","1220","437527","56445"
"focus","1220","528841","56445"
"blur","1346","546773","56445"
"focus","1376","550082","56445"
"blur","1560","565366","56445"
"focus","1639","574350","56445"
"blur","1890","614867","56445"
"focus","1890","617642","56445"
"blur","2108","655079","56445"
"focus","2108","657732","56445"
"blur","2358","691954","56445"
"focus","2411","719592","56445"
"blur","2425","731440","56445"
"focus","2425","741886","56445"
"blur","2714","788467","56445"
"focus","2714","800457","56445"
"blur","2803","846300","56445"
