"event","trial","time","PID"
"blur","0","20432",""
"focus","0","29511",""
"fullscreenenter","0","51789",""
"blur","12","137964","66833"
"focus","12","144640","66833"
"blur","21","211676","66833"
"focus","21","221118","66833"
"blur","22","225460","66833"
"focus","22","234464","66833"
"blur","33","280027","66833"
"focus","33","295544","66833"
"blur","53","437231","66833"
"focus","53","443469","66833"
"blur","54","541598","66833"
"focus","54","545803","66833"
"blur","57","614257","66833"
"focus","57","847220","66833"
"blur","57","855711","66833"
"focus","57","857519","66833"
"blur","57","889855","66833"
"focus","57","899216","66833"
"blur","64","1001921","66833"
"focus","64","1009157","66833"
"blur","570","1495060","66833"
"focus","570","1537170","66833"
"blur","685","1862557","66833"
"focus","687","1867424","66833"
"blur","1256","3177672","66833"
"focus","1256","3449475","66833"
