"event","trial","time","PID"
"fullscreenenter","0","3535",""
"blur","55","38754","19377"
"focus","55","53813","19377"
"fullscreenexit","182","101986","19377"
"blur","191","105104","19377"
"focus","207","110938","19377"
"blur","211","112327","19377"
"focus","420","188166","19377"
"blur","434","193018","19377"
"focus","550","480862","19377"
"blur","557","497537","19377"
"focus","562","503474","19377"
"blur","574","508421","19377"
"focus","574","509194","19377"
"blur","2009","701380","19377"
"focus","2022","712894","19377"
"blur","2179","742100","19377"
"focus","2290","754682","19377"
"blur","2790","1071646","19377"
"focus","2790","1074078","19377"
"blur","2790","1312284","19377"
"focus","2790","1314564","19377"
"blur","2790","1559501","19377"
"focus","2790","6644214","19377"
"blur","2803","6671757","19377"
