"event","trial","time","PID"
"blur","0","0",""
"focus","0","28035",""
"fullscreenenter","0","33093",""
"fullscreenexit","2","45892","15837"
"blur","413","490152","15837"
"focus","413","491055","15837"
"blur","933","1256013","15837"
"focus","933","1261636","15837"
"blur","936","1316265","15837"
"focus","936","1318897","15837"
"blur","1034","1517001","15837"
"focus","1036","1520338","15837"
"blur","1048","1541358","15837"
"focus","1054","1553688","15837"
"blur","1062","1568078","15837"
"focus","1080","1611531","15837"
"blur","1088","1626328","15837"
"focus","1097","1646430","15837"
"blur","1101","1658142","15837"
"focus","1101","1729984","15837"
"blur","1115","1755986","15837"
"focus","1122","1772682","15837"
"blur","1126","1778470","15837"
"focus","1140","1813588","15837"
"blur","1157","1844710","15837"
"focus","1164","1858338","15837"
"blur","1179","1881330","15837"
"focus","1184","1894738","15837"
"blur","1208","1936331","15837"
"focus","1215","1951868","15837"
"blur","1228","1976395","15837"
"focus","1230","1981959","15837"
"blur","1245","2010386","15837"
"focus","1247","2060593","15837"
"blur","1248","2078842","15837"
"focus","1248","2082143","15837"
"blur","1248","2083400","15837"
"focus","1248","2098180","15837"
"blur","2835","4271292","15837"
"focus","2835","4295616","15837"
"blur","2835","4296923","15837"
"focus","2835","4310372","15837"
