"event","trial","time","PID"
"blur","0","1938",""
"focus","0","6690",""
"blur","0","11787",""
"focus","0","28279",""
"blur","0","29664",""
"focus","0","32286",""
"fullscreenenter","0","32361",""
"blur","2","39170","46835"
"focus","2","45781","46835"
"blur","89","84860","46835"
"focus","293","158846","46835"
"blur","454","217215","46835"
"focus","458","220235","46835"
"fullscreenexit","458","220239","46835"
"blur","539","249929","46835"
"focus","550","287254","46835"
"blur","909","394046","46835"
"focus","909","490200","46835"
"blur","1209","541500","46835"
"focus","1217","542337","46835"
"blur","1246","579953","46835"
"focus","1289","608391","46835"
"blur","1293","609962","46835"
"focus","1303","624903","46835"
"blur","1306","626194","46835"
"focus","1414","704577","46835"
"blur","1417","706305","46835"
"focus","1457","745105","46835"
"blur","1503","780495","46835"
"focus","1542","805080","46835"
"blur","1545","807686","46835"
"focus","1675","954102","46835"
"blur","1676","955386","46835"
"focus","1676","955761","46835"
"blur","1679","957524","46835"
"focus","1688","966007","46835"
"blur","1697","971643","46835"
"focus","1893","1265682","46835"
"blur","1897","1267901","46835"
"focus","1937","1398063","46835"
"blur","2134","1544781","46835"
"focus","2209","1593354","46835"
"blur","2212","1595866","46835"
"focus","2212","1596691","46835"
"blur","2215","1598965","46835"
"focus","2414","1834282","46835"
"blur","2620","1988266","46835"
"focus","2638","3013662","46835"
"blur","2717","3151421","46835"
"focus","2717","40597693","46835"
"blur","2717","40615201","46835"
"focus","2717","44526749","46835"
