"event","trial","time","PID"
"fullscreenenter","0","105246",""
"fullscreenexit","396","404814","1"
"blur","396","406060","1"
"focus","436","425231","1"
"blur","448","441379","1"
"focus","557","1208063","1"
"blur","558","1242531","1"
"focus","558","1329150","1"
"blur","573","1375096","1"
"focus","574","1376380","1"
"blur","604","1422662","1"
"focus","619","1460604","1"
"blur","651","1499815","1"
"focus","666","1538198","1"
"blur","956","2000317","1"
"focus","1024","2112897","1"
"blur","1033","2129999","1"
"focus","1036","2133770","1"
"blur","1036","2135432","1"
"focus","1057","2170896","1"
"blur","1060","2178147","1"
"focus","1083","2230444","1"
"blur","1165","2376782","1"
"focus","1169","2383757","1"
"blur","1173","2391236","1"
"focus","1188","2425643","1"
"blur","1203","2452260","1"
"focus","1218","2487451","1"
"blur","1229","2509584","1"
"focus","1239","2867540","1"
"blur","1271","2913982","1"
"focus","1303","2951998","1"
"blur","1306","2954845","1"
"focus","1442","3118489","1"
"blur","1454","3126771","1"
"focus","1456","3129735","1"
"blur","1901","3517451","1"
"focus","1913","3534920","1"
"blur","1946","3559218","1"
"focus","1975","3609222","1"
"blur","2028","3661441","1"
"focus","2049","3744333","1"
"blur","2053","3749441","1"
"focus","2057","3756715","1"
"blur","2057","3756730","1"
"focus","2097","4087257","1"
"blur","2117","4111547","1"
"focus","2159","18341462","1"
"blur","2342","18566378","1"
"focus","2471","18746948","1"
"blur","2488","18777000","1"
"focus","2494","18784484","1"
"blur","2497","18788505","1"
"focus","2545","20327768","1"
"blur","2623","20469042","1"
"focus","2623","20973958","1"
"blur","2624","20987179","1"
"focus","2624","21068023","1"
"blur","2648","21113752","1"
"focus","2684","21163417","1"
"blur","2739","21238167","1"
"focus","2773","21400965","1"
"blur","2802","21552152","1"
"focus","2823","21578482","1"
"blur","2824","21580145","1"
"focus","2829","21587247","1"
"blur","2829","21588862","1"
"focus","2863","21833448","1"
"blur","3007","22063331","1"
