"event","trial","time","PID"
"fullscreenenter","0","2701",""
"fullscreenexit","1018","1447558","32234"
"blur","1019","1454500","32234"
"focus","1020","1454542","32234"
"blur","1170","1726245","32234"
"focus","1170","1726275","32234"
"blur","1171","1731186","32234"
"focus","1172","1733036","32234"
"blur","1698","2354389","32234"
"focus","1698","2354405","32234"
"blur","2128","2779459","32234"
"focus","2128","2779465","32234"
"blur","2743","3653054","32234"
"focus","2743","3653064","32234"
"blur","2776","3789572","32234"
"focus","2776","3790481","32234"
"blur","2827","4020966","32234"
"focus","2827","4020988","32234"
"blur","2827","4026265","32234"
"focus","2827","4029292","32234"
