"event","trial","time","PID"
"fullscreenenter","0","10749",""
"fullscreenexit","29","168544","38808"
"blur","29","172356","38808"
"focus","29","173706","38808"
"blur","29","175183","38808"
"focus","29","185571","38808"
"blur","29","192128","38808"
"focus","29","531378","38808"
"blur","46","589731","38808"
"focus","46","591141","38808"
"blur","171","799118","38808"
"focus","211","819254","38808"
"blur","2829","5292131","38808"
"focus","2829","5303341","38808"
"blur","2836","5323636","38808"
"focus","2836","5323897","38808"
"blur","2864","5530132","38808"
"focus","2864","5562486","38808"
