"event","trial","time","PID"
"blur","0","0",""
"focus","0","3855",""
"blur","0","4823",""
"focus","0","16873",""
"fullscreenenter","0","20040",""
"fullscreenexit","72","54537","91886"
"blur","76","55974","91886"
"focus","550","269234","91886"
"blur","550","270833","91886"
"focus","550","381200","91886"
"blur","551","383332","91886"
"focus","551","403945","91886"
"blur","569","419975","91886"
"focus","569","421155","91886"
"blur","569","421760","91886"
"focus","569","422689","91886"
"blur","654","442126","91886"
"focus","654","442953","91886"
"blur","937","534265","91886"
"focus","1074","552199","91886"
"blur","1090","555506","91886"
"focus","1220","570792","91886"
"blur","1247","579774","91886"
"focus","1454","620293","91886"
"blur","1461","623065","91886"
"focus","1672","660505","91886"
"blur","1678","663156","91886"
"focus","1890","697379","91886"
"blur","2108","725016","91886"
"focus","2108","736865","91886"
"blur","2131","747309","91886"
"focus","2411","793892","91886"
"blur","2437","805881","91886"
"focus","2714","851726","91886"
