"event","trial","time","PID"
"fullscreenenter","0","1658",""
"fullscreenexit","2","11021","45313"
"blur","55","159074","45313"
"focus","55","165993","45313"
"blur","55","169255","45313"
"focus","55","172790","45313"
"blur","281","316768","45313"
"focus","281","318766","45313"
"blur","281","325691","45313"
"focus","282","327774","45313"
"blur","321","343404","45313"
"focus","321","348092","45313"
"blur","441","427193","45313"
"focus","441","429511","45313"
"blur","481","455688","45313"
"focus","481","460626","45313"
"blur","574","657989","45313"
"focus","574","1099652","45313"
"blur","574","1100951","45313"
"focus","574","1331386","45313"
"blur","759","1603103","45313"
"focus","759","1614627","45313"
"blur","930","1874573","45313"
"focus","930","1882410","45313"
"blur","1351","2691614","45313"
"focus","1355","2698004","45313"
"blur","1496","2860129","45313"
"focus","1496","2903275","45313"
"blur","1496","2904381","45313"
"focus","1496","2922419","45313"
"blur","1611","3049969","45313"
"focus","1612","3053179","45313"
"blur","1714","3169063","45313"
"focus","1714","3346668","45313"
"blur","1714","3394617","45313"
"focus","1714","3519380","45313"
"blur","1714","3520360","45313"
"focus","1714","3526559","45313"
"blur","2151","4011134","45313"
"focus","2151","4015015","45313"
"blur","2151","4017405","45313"
"focus","2151","4024756","45313"
"blur","2456","4405400","45313"
"focus","2456","4467595","45313"
"blur","2457","4505280","45313"
"focus","2457","4509941","45313"
"blur","2470","4537166","45313"
"focus","2471","4538296","45313"
"blur","2850","5177283","45313"
"focus","2850","5230633","45313"
