"PID","trial","rt","old_rating","new_rating","stimulus_index","type","category","stimulus","path"
NA,87,NA,NA,NA,45,"original","body_parts","sincerely-media-7TBFwUQA6Xk-unsplash.jpg","Stimuli/Experimental_stims/body_parts/sincerely-media-7TBFwUQA6Xk-unsplash.jpg"
NA,88,NA,NA,NA,53,"original","objects","insung-yoon-w2JtIQQXoRU-unsplash.jpg","Stimuli/Experimental_stims/objects/insung-yoon-w2JtIQQXoRU-unsplash.jpg"
NA,89,NA,NA,NA,52,"original","objects","fabian-blank-pElSkGRA2NU-unsplash.jpg","Stimuli/Experimental_stims/objects/fabian-blank-pElSkGRA2NU-unsplash.jpg"
NA,90,NA,NA,NA,109,"scramble","objects","scrambled_alexander-andrews-VLGWE_SumrA-unsplash.jpg","Stimuli/Experimental_stims/scramble/objects/scrambled_alexander-andrews-VLGWE_SumrA-unsplash.jpg"
NA,91,NA,NA,NA,47,"original","body_parts","tucker-good-36skLT5jZcc-unsplash.jpg","Stimuli/Experimental_stims/body_parts/tucker-good-36skLT5jZcc-unsplash.jpg"
NA,92,NA,NA,NA,35,"original","faces","rikonavt-HQjfrvdTfak-unsplash.jpg","Stimuli/Experimental_stims/faces/rikonavt-HQjfrvdTfak-unsplash.jpg"
NA,93,NA,NA,NA,13,"original","outdoor_scenes","ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","Stimuli/Experimental_stims/outdoor_scenes/ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg"
NA,94,NA,NA,NA,33,"original","faces","leilani-angel-K84vnnzxmTQ-unsplash.jpg","Stimuli/Experimental_stims/faces/leilani-angel-K84vnnzxmTQ-unsplash.jpg"
NA,95,NA,NA,NA,84,"scramble","faces","scrambled_abstral-official-cyOKLSgkgCE-unsplash.jpg","Stimuli/Experimental_stims/scramble/faces/scrambled_abstral-official-cyOKLSgkgCE-unsplash.jpg"
NA,96,NA,NA,NA,54,"original","objects","jess-bailey-nOeVi8DsN8U-unsplash.jpg","Stimuli/Experimental_stims/objects/jess-bailey-nOeVi8DsN8U-unsplash.jpg"
