"PID","practice","trial","block","run","gain_left","left_item_id","right_item_id","left_pair_id","right_pair_id","left_stimulus","right_stimulus","left_category","right_category","left_path","right_path","no_response","left_chosen","rt","higher_outcome_chosen","choice_type","iti"
NA,1,1,0,0,NA,"NaN","NaN",NA,NA,NA,NA,NA,NA,"Stimuli/Practice_stims/Final_decisions/debby-hudson-FmCSSSGge-0-unsplash.jpg","Stimuli/Practice_stims/Final_decisions/yassine-khalfalli-adsQ9d_Cx0c-unsplash.jpg",0,NA,NA,NA,"NaN",3000
NA,1,2,0,0,NA,"NaN","NaN",NA,NA,NA,NA,NA,NA,"Stimuli/Practice_stims/Final_decisions/florian-wehde-iVW7mZPwd4g-unsplash.jpg","Stimuli/Practice_stims/Final_decisions/patrick-perkins-3wylDrjxH-E-unsplash.jpg",0,NA,NA,NA,"NaN",1500
NA,1,3,0,0,NA,"NaN","NaN",NA,NA,NA,NA,NA,NA,"Stimuli/Practice_stims/Final_decisions/debby-hudson-FmCSSSGge-0-unsplash.jpg","Stimuli/Practice_stims/Final_decisions/florian-wehde-iVW7mZPwd4g-unsplash.jpg",0,NA,NA,NA,"NaN",2000
NA,1,4,0,0,NA,"NaN","NaN",NA,NA,NA,NA,NA,NA,"Stimuli/Practice_stims/Final_decisions/yassine-khalfalli-adsQ9d_Cx0c-unsplash.jpg","Stimuli/Practice_stims/Final_decisions/debby-hudson-FmCSSSGge-0-unsplash.jpg",0,NA,NA,NA,"NaN",1000
NA,0,5,1,1,0,"no_gain5","gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,6,1,1,1,"gain6","no_gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",3500
NA,0,7,1,1,0,"no_gain2","gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,8,1,1,1,"gain2","no_gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",2000
NA,0,9,1,1,1,"gain2","no_gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,10,1,1,1,"gain2","no_gain1",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",2000
NA,0,11,1,1,1,"gain6","no_gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,12,1,1,0,"no_gain6","gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
NA,0,13,1,1,1,"gain4","no_gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,14,1,1,1,"gain6","no_gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,15,1,1,0,"no_gain3","gain3",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",3000
NA,0,16,1,1,0,"no_gain2","gain6",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1500
NA,0,17,1,1,1,"gain1","no_gain5",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",2000
NA,0,18,1,1,0,"no_gain2","gain4",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1000
NA,0,19,1,1,1,"gain2","no_gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"chosen",1500
NA,0,20,1,1,1,"gain3","no_gain2",NA,NA,NA,NA,NA,NA,"NaN","NaN",0,NA,NA,NA,"unchosen",1000
