,PID,practice,run,block,trial,iti,pair_id,choice_type,reward_type,stimulus_id,path,outcome_response,outcome_rt,outcome_acc,long_iti,simulation,version
0,,1,0,,1,1500,,,,,Stimuli/Practice_stims/Outcome_estimation/becca-tapert-sY5RjMB1KkE-unsplash.jpg,,,,,43,3
1,,1,0,,2,1000,,,,,Stimuli/Practice_stims/Outcome_estimation/clay-banks-1KPfcPdbWFM-unsplash.jpg,,,,,43,3
2,,1,0,,3,3000,,,,,Stimuli/Practice_stims/Outcome_estimation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg,,,,,43,3
3,,0,1,1,4,1900,G,unchosen,,,,,,,0,43,3
4,,0,1,1,5,1200,G,chosen,,,,,,,0,43,3
5,,0,1,1,6,1200,C,chosen,,,,,,,0,43,3
6,,0,1,1,7,2100,J,unchosen,,,,,,,0,43,3
7,,0,1,1,8,2600,D,unchosen,,,,,,,0,43,3
8,,0,1,1,9,1100,I,chosen,,,,,,,0,43,3
9,,0,1,1,10,3400,H,unchosen,,,,,,,1,43,3
10,,0,1,1,11,1300,D,chosen,,,,,,,0,43,3
11,,0,1,1,12,1300,I,unchosen,,,,,,,0,43,3
12,,0,1,1,13,2900,C,unchosen,,,,,,,0,43,3
13,,0,1,1,14,1200,K,chosen,,,,,,,0,43,3
14,,0,1,1,15,4100,K,unchosen,,,,,,,1,43,3
15,,0,1,1,16,1400,E,chosen,,,,,,,0,43,3
16,,0,1,1,17,1300,F,unchosen,,,,,,,0,43,3
17,,0,1,1,18,1900,B,unchosen,,,,,,,0,43,3
18,,0,1,1,19,1200,A,chosen,,,,,,,0,43,3
19,,0,1,1,20,2100,F,chosen,,,,,,,0,43,3
20,,0,1,1,21,3500,A,unchosen,,,,,,,1,43,3
21,,0,1,1,22,2000,L,chosen,,,,,,,0,43,3
22,,0,1,1,23,1300,H,chosen,,,,,,,0,43,3
23,,0,1,1,24,2900,E,unchosen,,,,,,,0,43,3
24,,0,1,1,25,1600,B,chosen,,,,,,,0,43,3
25,,0,1,1,26,3500,J,chosen,,,,,,,1,43,3
26,,0,1,1,27,1000,L,unchosen,,,,,,,0,43,3
27,,0,1,2,28,1500,J,unchosen,,,,,,,0,43,3
28,,0,1,2,29,1700,E,chosen,,,,,,,0,43,3
29,,0,1,2,30,1000,D,unchosen,,,,,,,0,43,3
30,,0,1,2,31,2500,K,chosen,,,,,,,0,43,3
31,,0,1,2,32,4300,G,chosen,,,,,,,1,43,3
32,,0,1,2,33,1300,B,unchosen,,,,,,,0,43,3
33,,0,1,2,34,1900,H,unchosen,,,,,,,0,43,3
34,,0,1,2,35,1500,F,chosen,,,,,,,0,43,3
35,,0,1,2,36,2200,C,unchosen,,,,,,,0,43,3
36,,0,1,2,37,1200,A,unchosen,,,,,,,0,43,3
37,,0,1,2,38,1300,L,chosen,,,,,,,0,43,3
38,,0,1,2,39,1100,C,chosen,,,,,,,0,43,3
39,,0,1,2,40,3300,K,unchosen,,,,,,,1,43,3
40,,0,1,2,41,1200,L,unchosen,,,,,,,0,43,3
41,,0,1,2,42,1700,D,chosen,,,,,,,0,43,3
42,,0,1,2,43,1200,E,unchosen,,,,,,,0,43,3
43,,0,1,2,44,3000,I,unchosen,,,,,,,0,43,3
44,,0,1,2,45,3700,H,chosen,,,,,,,1,43,3
45,,0,1,2,46,1300,G,unchosen,,,,,,,0,43,3
46,,0,1,2,47,1200,B,chosen,,,,,,,0,43,3
47,,0,1,2,48,1500,I,chosen,,,,,,,0,43,3
48,,0,1,2,49,2900,F,unchosen,,,,,,,0,43,3
49,,0,1,2,50,1700,A,chosen,,,,,,,0,43,3
50,,0,1,2,51,3800,J,chosen,,,,,,,1,43,3
51,,0,1,3,52,3000,I,unchosen,,,,,,,1,1,3
52,,0,1,3,53,2500,D,chosen,,,,,,,0,1,3
53,,0,1,3,54,1100,C,chosen,,,,,,,0,1,3
54,,0,1,3,55,1500,K,unchosen,,,,,,,0,1,3
55,,0,1,3,56,2100,C,unchosen,,,,,,,0,1,3
56,,0,1,3,57,2200,A,chosen,,,,,,,0,1,3
57,,0,1,3,58,3200,J,unchosen,,,,,,,1,1,3
58,,0,1,3,59,2500,J,chosen,,,,,,,0,1,3
59,,0,1,3,60,1900,H,chosen,,,,,,,0,1,3
60,,0,1,3,61,2500,A,unchosen,,,,,,,0,1,3
61,,0,1,3,62,1800,G,chosen,,,,,,,0,1,3
62,,0,1,3,63,1800,F,chosen,,,,,,,0,1,3
63,,0,1,3,64,1500,B,unchosen,,,,,,,0,1,3
64,,0,1,3,65,3500,I,chosen,,,,,,,1,1,3
65,,0,1,3,66,2500,F,unchosen,,,,,,,0,1,3
66,,0,1,3,67,1400,E,chosen,,,,,,,0,1,3
67,,0,1,3,68,1100,E,unchosen,,,,,,,0,1,3
