PID,phase,run,trial,event,onset,duration,onset_time_elapsed,duration_time_elapsed
17620,localizer,0,0,stimulus,0,400,0,420
17620,localizer,0,0,iti,400,300,420,311
17620,localizer,0,0,stimulus,700,400,731,411
17620,localizer,0,0,iti,1100,300,1142,450
17620,localizer,0,0,stimulus,1400,400,1592,425
17620,localizer,0,0,iti,1800,300,2017,331
17620,localizer,0,1,stimulus,2100,400,2348,479
17620,localizer,0,1,iti,2500,300,2827,342
17620,localizer,0,2,stimulus,2800,400,3169,500
17620,localizer,0,2,iti,3200,300,3669,319
17620,localizer,0,3,stimulus,3500,400,3988,433
17620,localizer,0,3,iti,3900,300,4421,428
17620,localizer,0,4,stimulus,4200,400,4849,445
17620,localizer,0,4,iti,4600,300,5294,309
17620,localizer,0,5,stimulus,4900,400,5603,506
17620,localizer,0,5,iti,5300,300,6109,316
17620,localizer,1,6,stimulus,0,400,0,428
17620,localizer,1,6,iti,400,300,428,353
17620,localizer,1,7,stimulus,700,400,781,417
17620,localizer,1,7,iti,1100,300,1198,317
17620,localizer,1,8,stimulus,1400,400,1515,407
17620,localizer,1,8,iti,1800,300,1922,318
17620,localizer,1,9,stimulus,2100,400,2240,409
17620,localizer,1,9,iti,2500,300,2649,520
17620,localizer,1,10,stimulus,2800,400,3169,425
17620,localizer,1,10,iti,3200,300,3594,319
17620,localizer,1,11,stimulus,3500,400,3913,497
17620,localizer,1,11,iti,3900,300,4410,314
17620,localizer,1,12,stimulus,4200,400,4724,422
17620,localizer,1,12,iti,4600,300,5146,319
17620,localizer,1,13,stimulus,4900,400,5465,642
17620,localizer,1,13,iti,5300,300,6107,472
17620,localizer,1,14,stimulus,5600,400,6579,409
17620,localizer,1,14,iti,6000,300,6988,397
17620,localizer,1,15,stimulus,6300,400,7385,474
17620,localizer,1,15,iti,6700,300,7859,315
17620,localizer,1,16,stimulus,7000,400,8174,459
17620,localizer,1,16,iti,7400,300,8633,316
17620,localizer,1,17,stimulus,7700,400,8949,488
17620,localizer,1,17,iti,8100,300,9437,319
17620,localizer,1,18,stimulus,8400,400,9756,423
17620,localizer,1,18,iti,8800,300,10179,325
17620,localizer,1,19,stimulus,9100,400,10504,474
17620,localizer,1,19,iti,9500,300,10978,319
17620,localizer,1,20,stimulus,9800,400,11297,419
17620,localizer,1,20,iti,10200,300,11716,322
17620,localizer,1,21,stimulus,10500,400,12038,435
17620,localizer,1,21,iti,10900,300,12473,327
17620,localizer,1,22,stimulus,11200,400,12800,417
17620,localizer,1,22,iti,11600,300,13217,316
17620,localizer,1,23,stimulus,11900,400,13533,408
17620,localizer,1,23,iti,12300,300,13941,317
17620,localizer,1,24,stimulus,12600,400,14258,419
17620,localizer,1,24,iti,13000,300,14677,322
17620,localizer,1,25,stimulus,13300,400,14999,426
17620,localizer,1,25,iti,13700,14000,15425,14252
17620,localizer,1,26,stimulus,27700,400,29677,425
17620,localizer,1,26,iti,28100,300,30102,350
17620,localizer,1,27,stimulus,28400,400,30452,413
17620,localizer,1,27,iti,28800,300,30865,313
17620,localizer,1,28,stimulus,29100,400,31178,416
17620,localizer,1,28,iti,29500,300,31594,315
17620,localizer,1,29,stimulus,29800,400,31909,644
17620,localizer,1,29,iti,30200,300,32553,318
17620,localizer,1,30,stimulus,30500,400,32871,519
17620,localizer,1,30,iti,30900,300,33390,319
17620,localizer,1,31,stimulus,31200,400,33709,425
17620,localizer,1,31,iti,31600,300,34134,385
