PID,phase,run,trial,event,onset,duration,onset_time_elapsed,duration_time_elapsed
51659,localizer,0,0,stimulus,0,400,0,406
51659,localizer,0,0,iti,400,300,406,311
51659,localizer,0,0,stimulus,700,400,717,408
51659,localizer,0,0,iti,1100,300,1125,305
51659,localizer,0,0,stimulus,1400,400,1430,408
51659,localizer,0,0,iti,1800,300,1838,305
51659,localizer,0,0,stimulus,2100,400,2143,409
51659,localizer,0,0,iti,2500,300,2552,305
51659,localizer,0,0,stimulus,2800,400,2857,405
51659,localizer,0,0,iti,3200,300,3262,304
51659,localizer,0,1,stimulus,3500,400,3566,414
51659,localizer,0,1,iti,3900,300,3980,304
51659,localizer,0,2,stimulus,4200,400,4284,405
51659,localizer,0,2,iti,4600,300,4689,304
51659,localizer,0,3,stimulus,4900,400,4993,405
51659,localizer,0,3,iti,5300,300,5398,304
51659,localizer,0,4,stimulus,5600,400,5702,406
51659,localizer,0,4,iti,6000,300,6108,304
51659,localizer,0,5,stimulus,6300,400,6412,408
51659,localizer,0,5,iti,6700,300,6820,305
51659,localizer,1,6,stimulus,0,400,0,405
51659,localizer,1,6,iti,400,300,405,304
51659,localizer,1,7,stimulus,700,400,709,404
51659,localizer,1,7,iti,1100,300,1113,304
51659,localizer,1,8,stimulus,1400,400,1417,405
51659,localizer,1,8,iti,1800,300,1822,306
51659,localizer,1,9,stimulus,2100,400,2128,407
51659,localizer,1,9,iti,2500,300,2535,304
51659,localizer,1,10,stimulus,2800,400,2839,416
51659,localizer,1,10,iti,3200,300,3255,305
51659,localizer,1,11,stimulus,3500,400,3560,405
51659,localizer,1,11,iti,3900,300,3965,304
51659,localizer,1,12,stimulus,4200,400,4269,404
51659,localizer,1,12,iti,4600,300,4673,304
51659,localizer,1,13,stimulus,4900,400,4977,405
51659,localizer,1,13,iti,5300,300,5382,305
51659,localizer,1,14,stimulus,5600,400,5687,405
51659,localizer,1,14,iti,6000,300,6092,304
51659,localizer,1,15,stimulus,6300,400,6396,405
51659,localizer,1,15,iti,6700,300,6801,305
51659,localizer,1,16,stimulus,7000,400,7106,409
