PID,phase,run,trial,event,onset,duration,onset_time_elapsed,duration_time_elapsed
17399,deliberation,0,0,choice,0,306,0,310
17399,deliberation,0,0,choice_confirmation,306,694,310,705
17399,deliberation,0,0,iti,1000,100,1015,113
17399,deliberation,0,1,scramble,1100,2500,1128,2511
17399,deliberation,0,1,scramble_prompt,3600,-1500,3639,5
17399,deliberation,0,1,no_response,2100,100,3644,105
17399,deliberation,0,1,iti,2200,100,3749,112
17399,deliberation,0,2,scramble,2300,1500,3861,1513
17399,deliberation,0,2,scramble_prompt,3800,-500,5374,7
17399,deliberation,0,2,no_response,3300,100,5381,104
17399,deliberation,0,2,iti,3400,100,5485,110
17399,deliberation,0,3,choice,3500,109,5595,111
17399,deliberation,0,3,choice_confirmation,3609,891,5706,901
17399,deliberation,0,3,iti,4500,100,6607,111
17399,deliberation,1,4,scramble,0,1300,0,1309
17399,deliberation,1,4,scramble_prompt,1300,-300,1309,5
17399,deliberation,1,4,no_response,1000,100,1314,106
17399,deliberation,1,4,iti,1100,100,1420,116
17399,deliberation,1,5,scramble,1200,1500,1536,1508
17399,deliberation,1,5,scramble_prompt,2700,-500,3044,8
17399,deliberation,1,5,no_response,2200,100,3052,103
17399,deliberation,1,5,iti,2300,100,3155,105
17399,deliberation,1,6,choice,2400,569,3260,574
17399,deliberation,1,6,choice_confirmation,2969,431,3834,446
17399,deliberation,1,6,iti,3400,100,4280,108
17399,deliberation,1,7,choice,3500,1000,4388,1010
17399,deliberation,1,7,no_response,4500,100,5398,114
17399,deliberation,1,7,iti,4600,100,5512,113
17399,deliberation,1,8,scramble,4700,1800,5625,1803
17399,deliberation,1,8,scramble_prompt,6500,-800,7428,8
17399,deliberation,1,8,no_response,5700,100,7436,115
17399,deliberation,1,8,iti,5800,100,7551,111
17399,deliberation,1,9,choice,5900,1000,7662,1011
17399,deliberation,1,9,no_response,6900,100,8673,107
17399,deliberation,1,9,iti,7000,100,8780,114
17399,deliberation,1,10,scramble,7100,700,8894,709
17399,deliberation,1,10,scramble_prompt,7800,156,9603,158
17399,deliberation,1,10,scramble_confirmation,7956,144,9761,156
17399,deliberation,1,10,iti,8100,100,9917,112
