PID,phase,run,trial,event,onset,duration
90129,localizer,0,0,stimulus,0,0.4
90129,localizer,0,0,iti,0.4,0.3
90129,localizer,0,1,stimulus,0.7,0.4
90129,localizer,0,1,iti,1.1,0.3
90129,localizer,0,2,stimulus,1.4000000000000001,0.4
90129,localizer,0,2,iti,1.8000000000000003,0.3
90129,localizer,0,3,stimulus,2.1,0.4
90129,localizer,0,3,iti,2.5,0.3
90129,localizer,0,4,stimulus,2.8,0.4
90129,localizer,0,4,iti,3.1999999999999997,0.3
90129,localizer,0,5,stimulus,3.4999999999999996,0.4
90129,localizer,0,5,iti,3.8999999999999995,0.3
90129,localizer,1,6,stimulus,4.199999999999999,0.4
90129,localizer,1,6,iti,4.6,0.3
90129,localizer,1,7,stimulus,4.8999999999999995,0.4
90129,localizer,1,7,iti,5.3,0.3
90129,localizer,1,8,stimulus,5.6,0.4
90129,localizer,1,8,iti,6,0.3
90129,localizer,1,9,stimulus,6.3,0.4
90129,localizer,1,9,iti,6.7,0.3
90129,localizer,1,10,stimulus,7,0.4
90129,localizer,1,10,iti,7.4,0.3
90129,localizer,1,11,stimulus,7.7,0.4
90129,localizer,1,11,iti,8.1,0.3
90129,localizer,1,12,stimulus,8.4,0.4
90129,localizer,1,12,iti,8.8,0.3
90129,localizer,1,13,stimulus,9.100000000000001,0.4
90129,localizer,1,13,iti,9.500000000000002,0.3
90129,localizer,1,14,stimulus,9.800000000000002,0.4
90129,localizer,1,14,iti,10.200000000000003,0.3
90129,localizer,1,15,stimulus,10.500000000000004,0.4
90129,localizer,1,15,iti,10.900000000000004,0.3
90129,localizer,1,16,stimulus,11.200000000000005,0.4
90129,localizer,1,16,iti,11.600000000000005,0.3
90129,localizer,1,17,stimulus,11.900000000000006,0.4
90129,localizer,1,17,iti,12.300000000000006,0.3
90129,localizer,1,18,stimulus,12.600000000000007,0.4
90129,localizer,1,18,iti,13.000000000000007,0.3
90129,localizer,1,19,stimulus,13.300000000000008,0.4
90129,localizer,1,19,iti,13.700000000000008,0.3
90129,localizer,1,20,stimulus,14.000000000000009,0.4
90129,localizer,1,20,iti,14.40000000000001,0.3
90129,localizer,1,21,stimulus,14.70000000000001,0.4
90129,localizer,1,21,iti,15.10000000000001,0.3
90129,localizer,1,22,stimulus,15.400000000000011,0.4
90129,localizer,1,22,iti,15.800000000000011,0.3
90129,localizer,1,23,stimulus,16.100000000000012,0.4
90129,localizer,1,23,iti,16.50000000000001,0.3
90129,localizer,1,24,stimulus,16.80000000000001,0.4
90129,localizer,1,24,iti,17.20000000000001,0.3
90129,localizer,1,25,stimulus,17.50000000000001,0.4
90129,localizer,1,25,iti,17.90000000000001,14
90129,localizer,1,26,stimulus,31.90000000000001,0.4
90129,localizer,1,26,iti,32.30000000000001,0.3
90129,localizer,1,27,stimulus,32.60000000000001,0.4
90129,localizer,1,27,iti,33.00000000000001,0.3
90129,localizer,1,28,stimulus,33.300000000000004,0.4
90129,localizer,1,28,iti,33.7,0.3
90129,localizer,1,29,stimulus,34,0.4
90129,localizer,1,29,iti,34.4,0.3
90129,localizer,1,30,stimulus,34.699999999999996,0.4
90129,localizer,1,30,iti,35.099999999999994,0.3
90129,localizer,1,31,stimulus,35.39999999999999,0.4
90129,localizer,1,31,iti,35.79999999999999,0.3
90129,localizer,1,32,stimulus,36.09999999999999,0.4
90129,localizer,1,32,iti,36.499999999999986,0.3
90129,localizer,1,33,stimulus,36.79999999999998,0.4
90129,localizer,1,33,iti,37.19999999999998,0.3
90129,localizer,1,34,stimulus,37.49999999999998,0.4
90129,localizer,1,34,iti,37.89999999999998,0.3
90129,localizer,1,35,stimulus,38.199999999999974,0.4
90129,localizer,1,35,iti,38.59999999999997,0.3
90129,localizer,1,36,stimulus,38.89999999999997,0.4
90129,localizer,1,36,iti,39.29999999999997,0.3
90129,localizer,1,37,stimulus,39.599999999999966,0.4
90129,localizer,1,37,iti,39.999999999999964,0.3
90129,localizer,1,38,stimulus,40.29999999999996,0.4
90129,localizer,1,38,iti,40.69999999999996,0.3
90129,localizer,1,39,stimulus,40.99999999999996,0.4
90129,localizer,1,39,iti,41.399999999999956,0.3
90129,localizer,1,40,stimulus,41.69999999999995,0.4
90129,localizer,1,40,iti,42.09999999999995,0.3
90129,localizer,1,41,stimulus,42.39999999999995,0.4
90129,localizer,1,41,iti,42.79999999999995,0.3
90129,localizer,1,42,stimulus,43.099999999999945,0.4
90129,localizer,1,42,iti,43.49999999999994,0.3
90129,localizer,1,43,stimulus,43.79999999999994,0.4
90129,localizer,1,43,iti,44.19999999999994,0.3
90129,localizer,1,44,stimulus,44.499999999999936,0.4
