PID,phase,run,trial,event,onset,duration,onset_time_elapsed,duration_time_elapsed
98647,deliberation,0,0,choice,0,813,0,820
98647,deliberation,0,0,choice_confirmation,813,187,820,202
98647,deliberation,0,0,iti,1000,100,1022,110
98647,deliberation,0,1,scramble,1100,2500,1132,2509
98647,deliberation,0,1,scramble_prompt,3600,-1500,3641,6
98647,deliberation,0,1,no_response,2100,100,3647,109
98647,deliberation,0,1,iti,2200,100,3756,113
98647,deliberation,0,2,scramble,2300,1500,3869,1513
98647,deliberation,0,2,scramble_prompt,3800,-500,5382,9
98647,deliberation,0,2,no_response,3300,100,5391,108
98647,deliberation,0,2,iti,3400,100,5499,116
98647,deliberation,0,3,choice,3500,71,5615,76
98647,deliberation,0,3,choice_confirmation,3571,929,5691,940
98647,deliberation,0,3,iti,4500,100,6631,112
98647,deliberation,1,4,scramble,0,1300,0,1312
98647,deliberation,1,4,scramble_prompt,1300,-300,1312,6
98647,deliberation,1,4,no_response,1000,100,1318,110
98647,deliberation,1,4,iti,1100,100,1428,111
98647,deliberation,1,5,scramble,1200,1500,1539,1510
98647,deliberation,1,5,scramble_prompt,2700,-500,3049,7
98647,deliberation,1,5,no_response,2200,100,3056,104
98647,deliberation,1,5,iti,2300,100,3160,106
98647,deliberation,1,6,choice,2400,37,3266,41
98647,deliberation,1,6,choice_confirmation,2437,963,3307,974
98647,deliberation,1,6,iti,3400,100,4281,111
98647,deliberation,1,7,choice,3500,263,4392,266
98647,deliberation,1,7,choice_confirmation,3763,737,4658,743
98647,deliberation,1,7,iti,4500,100,5401,113
98647,deliberation,1,8,scramble,4600,1800,5514,1810
98647,deliberation,1,8,scramble_prompt,6400,-800,7324,5
98647,deliberation,1,8,no_response,5600,100,7329,111
98647,deliberation,1,8,iti,5700,100,7440,105
98647,deliberation,1,9,choice,5800,218,7545,222
98647,deliberation,1,9,choice_confirmation,6018,782,7767,795
98647,deliberation,1,9,iti,6800,100,8562,116
98647,deliberation,1,10,scramble,6900,700,8678,712
98647,deliberation,1,10,scramble_prompt,7600,300,9390,308
98647,deliberation,1,10,no_response,7900,100,9698,112
98647,deliberation,1,10,iti,8000,100,9810,116
98647,deliberation,1,11,choice,8100,432,9926,436
98647,deliberation,1,11,choice_confirmation,8532,568,10362,577
98647,deliberation,1,11,iti,9100,100,10939,111
98647,deliberation,1,12,choice,9200,425,11050,429
98647,deliberation,1,12,choice_confirmation,9625,575,11479,589
98647,deliberation,1,12,iti,10200,100,12068,114
98647,deliberation,1,13,scramble,10300,1600,12182,1614
98647,deliberation,1,13,scramble_prompt,11900,-600,13796,6
98647,deliberation,1,13,no_response,11300,100,13802,114
98647,deliberation,1,13,iti,11400,100,13916,111
98647,deliberation,1,14,choice,11500,76,14027,79
98647,deliberation,1,14,choice_confirmation,11576,924,14106,937
98647,deliberation,1,14,iti,12500,100,15043,111
98647,deliberation,1,15,scramble,12600,1500,15154,1509
98647,deliberation,1,15,scramble_prompt,14100,-500,16663,5
98647,deliberation,1,15,no_response,13600,100,16668,109
98647,deliberation,1,15,iti,13700,100,16777,113
98647,deliberation,1,16,choice,13800,417,16890,420
98647,deliberation,1,16,choice_confirmation,14217,583,17310,596
98647,deliberation,1,16,iti,14800,100,17906,110
98647,deliberation,1,17,scramble,14900,1300,18016,1305
98647,deliberation,1,17,scramble_prompt,16200,-300,19321,4
98647,deliberation,1,17,no_response,15900,100,19325,106
98647,deliberation,1,17,iti,16000,100,19431,106
98647,deliberation,1,18,choice,16100,114,19537,119
98647,deliberation,1,18,choice_confirmation,16214,886,19656,895
98647,deliberation,1,18,iti,17100,100,20551,108
